src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.200,172.30.0.20,49019,1883,6,2026-05-05 23:53:48,1.061136,2800.7720028346976,17.905339183667312,10.36624900107055,7.539090182596763,11,8,2432,540,1169,66,221.0909090909091,316.9618429990515,74,66,67.5,2.7838821814150108,1169,66,156.42105263157896,252.81932716540015,63917.61218836565,220,160,20,5,0.058952,1.004515,0.0,0.2295490121695147,1.061136,1.004538,0.0,0.1061135999999999,0.299745529652804,1.061021,1.004717,8.7e-05,0.1515744285714286,0.3486322634626664,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.42105263157896,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,221.0909090909091,67.5,0,11,8,2432,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,59657,1883,6,2026-05-05 23:53:49,1.051058,2827.6270196316477,18.077023342194245,10.4656450928493,7.611378249344946,11,8,2432,540,1169,66,221.0909090909091,316.9618429990515,74,66,67.5,2.7838821814150108,1169,66,156.42105263157896,252.81932716540015,63917.61218836565,220,160,20,5,0.0583921111111111,1.002464,0.0,0.229183869499261,1.0510579999999998,1.002484,0.0,0.1051057999999999,0.2993991472505558,1.051009,1.002479,0.000121,0.1501441428571428,0.3482926074899127,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.42105263157896,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,221.0909090909091,67.5,0,11,8,2432,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,36697,1883,6,2026-05-05 23:53:50,1.051212,2824.358930453609,18.074375102262916,10.464111901310106,7.610263200952804,11,8,2429,540,1166,66,220.8181818181818,316.1463464863926,74,66,67.5,2.7838821814150108,1166,66,156.26315789473685,252.18703211897133,63598.29916897508,220,160,20,5,0.0584006666666666,1.001092,0.0,0.2288259827238934,1.051212,1.001111,0.0,0.1051212,0.2989031234386151,1.051143,1.001117,3.9e-05,0.1501632857142857,0.3476843995882778,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.26315789473685,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,220.8181818181818,67.5,0,11,8,2429,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,58487,1883,6,2026-05-05 23:53:51,1.06218,2797.0777081097367,17.887740307669134,10.356060178124237,7.531680129544899,11,8,2431,540,1168,66,221.0,316.6899831926256,74,66,67.5,2.7838821814150108,1168,66,156.3684210526316,252.60854061619483,63811.07479224376,220,160,20,5,0.05901,1.003772,0.0,0.2293471164494262,1.06218,1.004174,0.0,0.106218,0.2995791917690546,1.062099,1.003804,0.00039,0.1517284285714285,0.3482035627736237,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.3684210526316,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,221.0,67.5,0,11,8,2431,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,37411,1883,6,2026-05-05 23:53:52,1.06784,2781.315552891819,17.792927779442614,10.301168714414146,7.49175906502847,11,8,2430,540,1167,66,220.9090909090909,316.4181509979978,74,66,67.5,2.7838821814150108,1167,66,156.31578947368422,252.3977755827368,63704.63711911358,220,160,20,5,0.0593244444444444,1.007328,0.0,0.2301538615499597,1.06784,1.00736,0.0,0.106784,0.300477164027152,1.067762,1.007389,9.3e-05,0.1525374285714285,0.3493471676128232,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.31578947368422,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,220.9090909090909,67.5,0,11,8,2430,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,42363,1883,6,2026-05-05 23:53:53,1.080745,2871.1675742196358,19.431040624754218,11.10345178557384,8.327588839180379,12,9,2497,606,892,66,208.08333333333331,236.16535814739825,74,66,67.33333333333333,2.6666666666666665,892,66,147.76190476190476,191.63902196376665,36725.514739229024,240,180,20,6,0.0540372499999999,1.003158,0.0,0.2179522092776017,1.080745,1.003234,0.0,0.0982495454545454,0.2864265702048936,1.080526,1.003429,0.00012,0.13506575,0.328720273606508,6,1,0,0,2,3,0,7,19,0,0,0.75,147.76190476190476,64240,65160,0,0,0,0,0,0,0,0,1653.0,4.0,0,0,28130.424423947446,0,208.08333333333331,67.33333333333333,0,12,9,2497,606,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,40267,1883,6,2026-05-05 23:53:54,1.055835,2813.886639484389,17.995235998048937,10.418294525186226,7.57694147286271,11,8,2431,540,1168,66,221.0,316.6899831926256,74,66,67.5,2.7838821814150108,1168,66,156.3684210526316,252.6085406161949,63811.07479224377,220,160,20,5,0.0586575,1.004116,0.0,0.2295073543133567,1.055835,1.004135,0.0,0.1055835,0.2997707268668006,1.055469,1.004418,0.00058,0.1507812857142857,0.348797811847541,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.3684210526316,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,221.0,67.5,0,11,8,2431,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,43459,1883,6,2026-05-05 23:53:55,1.066819,2783.977413225674,17.809956515585117,10.311027456391384,7.498929059193734,11,8,2430,540,1167,66,220.9090909090909,316.4181509979978,74,66,67.5,2.7838821814150108,1167,66,156.31578947368422,252.3977755827368,63704.63711911358,220,160,20,5,0.0592677222222222,1.004454,0.0,0.2294435409552631,1.066819,1.004497,0.0,0.1066819,0.2995176223418081,1.066681,1.004499,6.9e-05,0.152383,0.3482341194344485,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.31578947368422,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,220.9090909090909,67.5,0,11,8,2430,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,59703,1883,6,2026-05-05 23:53:56,1.067236,2907.5106162085985,19.676997402636346,11.243998515792196,8.432998886844146,12,9,2497,606,893,66,208.08333333333331,236.35970409996327,74,66,67.33333333333333,2.6666666666666665,893,66,147.76190476190476,191.7758872478634,36777.990929705215,240,180,20,6,0.0533618,1.002969,0.0,0.2180510352354696,1.067236,1.003024,0.0,0.0970214545454545,0.2867445420231501,1.06716,1.003004,0.000135,0.1333949999999999,0.3289588286849131,6,1,0,0,2,3,0,7,19,0,0,0.75,147.76190476190476,64240,65160,0,0,0,0,0,0,0,0,1653.0,4.0,0,0,30118.615964870725,0,208.08333333333331,67.33333333333333,0,12,9,2497,606,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
172.30.0.200,172.30.0.20,52803,1883,6,2026-05-05 23:53:57,1.061453,2798.993455197733,17.899991803687964,10.363153149503558,7.536838654184406,11,8,2431,540,1169,66,221.0,316.9272930672098,74,66,67.5,2.7838821814150108,1169,66,156.3684210526316,252.78078926972023,63898.12742382272,220,160,20,5,0.0589696111111111,1.004005,0.0,0.2294659001425651,1.061453,1.004028,0.0,0.1061452999999999,0.2996259889772747,1.0613910000000002,1.004034,5.3e-05,0.1516272857142857,0.3484708712830608,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,156.3684210526316,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,221.0,67.5,0,11,8,2431,540,1,mqtt_abuse,mqtt_abuse_02,train,mqtt_abuse_02.csv
