src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.200,172.30.0.10,57328,8080,6,2026-05-06 00:14:20,60.166633,38.21054769676076,0.4487537137070642,0.2493076187261468,0.1994460949809174,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.314101269230769,42.015135,0.0,7.996741826708505,60.166633,42.015191,0.0,4.297616642857143,10.499362365999632,60.166576000000006,42.015472,0.000543,5.469688727272728,11.571185860299163,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57342,8080,6,2026-05-06 00:14:20,60.128631,38.23469721105076,0.4490373313172555,0.2494651840651419,0.1995721472521135,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.312639653846154,42.015197,0.0,7.996786183026513,60.128631,42.01521,0.0,4.294902214285714,10.499912291993112,60.128587,42.018218,9.3e-05,5.466235181818181,11.5730745451853,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57356,8080,6,2026-05-06 00:14:20,60.088112,38.26047987661852,0.4493401290424967,0.2496334050236093,0.1997067240188874,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.311081230769231,42.014351,0.0,7.996672713437513,60.088112,42.015171,0.0,4.292008,10.500528464810888,60.088068,42.017496,0.000122,5.462551636363636,11.573945946118734,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57364,8080,6,2026-05-06 00:14:20,60.047283,38.28649499428642,0.4496456567402059,0.2498031426334477,0.1998425141067581,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.309510884615385,42.011358,0.0,7.996166812651717,60.047283,42.01138,0.0,4.289091642857143,10.500135238023294,60.047247000000006,42.014605,0.000418,5.458840636363637,11.574151172888538,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57372,8080,6,2026-05-06 00:14:20,60.005356,38.31324657085611,0.4499598335855219,0.2499776853252899,0.1999821482602319,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.307898307692308,42.010449,0.0,7.996067075922758,60.005356,42.010463,0.0,4.286096857142857,10.50055559624505,60.005324,42.013785,0.000465,5.455029454545454,11.575053254954677,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57384,8080,6,2026-05-06 00:14:20,59.962732,38.34048121756694,0.4502796837208818,0.2501553798449343,0.2001243038759474,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.306258923076923,42.010189,0.0,7.996098620937655,59.962732,42.0102,0.0,4.283052285714286,10.501172753875114,59.962686,42.013605,0.000727,5.4511532727272725,11.576184798505428,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57394,8080,6,2026-05-06 00:14:20,59.920322,38.3676175838975,0.4505983796282002,0.2503324331267779,0.2002659465014223,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.3046277692307693,42.010077,0.0,7.9961709959701315,59.920322000000006,42.010094,0.0,4.280023000000001,10.501852339353173,59.920293,42.013572,0.000131,5.447299363636364,11.577381792929213,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57402,8080,6,2026-05-06 00:14:20,59.879804,38.39357924418056,0.4509032795097325,0.2505018219498514,0.2004014575598811,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.3030693846153847,42.010002,0.0,7.996255987269389,59.879804,42.010011,0.0,4.277128857142857,10.50250978519244,59.879774000000005,42.013575,0.000129,5.443615818181819,11.57854039403464,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57404,8080,6,2026-05-06 00:14:20,59.839108,38.41969034698846,0.4512099344796382,0.2506721858220213,0.200537748657617,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.301504153846154,42.009941,0.0,7.996348974449877,59.839108,42.00995,0.0,4.274222,10.50318662412472,59.839078,42.013594,0.000137,5.439916181818182,11.579720703576823,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57414,8080,6,2026-05-06 00:14:20,59.798118,38.44602601038381,0.4515192267422195,0.2508440148567886,0.2006752118854309,15,12,1499,800,199,66,99.93333333333334,31.56467786765594,74,66,66.66666666666667,2.2110831935702664,199,66,85.14814814814815,28.791335764239264,828.941015089163,300,240,20,10,2.299927615384615,42.00983,0.0,7.996437859924794,59.798118,42.009841,0.0,4.271294142857143,10.503865272529731,59.798068,42.013605,0.000145,5.4361880000000005,11.580919408348308,10,0,0,0,2,3,0,10,25,0,0,0.8,85.14814814814815,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.93333333333334,66.66666666666667,0,15,12,1499,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57428,8080,6,2026-05-06 00:14:20,59.757508,38.48888745494541,0.4518260701232722,0.2510144834018178,0.2008115867214543,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.2983656923076925,42.009745,0.0,7.996539871533845,59.757508,42.009753,0.0,4.268393428571429,10.504552835620236,59.757467,42.013645,0.000229,5.432496999999999,11.582126026745543,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57436,8080,6,2026-05-06 00:14:20,59.716517,38.51530724740695,0.452136215513038,0.2511867863961322,0.2009494291169057,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.296789115384615,42.009684,0.0,7.996658092220176,59.716517,42.009692,0.0,4.2654655,10.50526666185549,59.716482,42.013671,0.000194,5.428771090909091,11.583352977895505,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57448,8080,6,2026-05-06 00:14:20,59.676114,38.54138357601502,0.4524423289358285,0.2513568494087936,0.2010854795270349,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.295235153846154,42.009485,0.0,7.996753859985007,59.676114000000005,42.009497,0.0,4.262579571428572,10.505942997350491,59.676075,42.013549,0.000269,5.425097727272727,11.584526555946365,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57460,8080,6,2026-05-06 00:14:20,59.634674,38.56816589623681,0.4527567300862582,0.2515315167145879,0.2012252133716703,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.293641307692308,42.009405,0.0,7.996883065777316,59.634674,42.009413,0.0,4.259619571428572,10.50667939139803,59.634634,42.013543,0.000301,5.421330363636364,11.585780170824448,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57470,8080,6,2026-05-06 00:14:20,59.59348,38.594826145410536,0.4530696982287324,0.2517053879048513,0.201364310323881,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.292056923076923,42.009342,0.0,7.997025145231925,59.59348,42.009346,0.0,4.256677142857143,10.507428962990089,59.593436,42.01356,9.7e-05,5.417585090909091,11.587048482951028,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57482,8080,6,2026-05-06 00:14:20,59.550571,38.62263554114368,0.4533961563525562,0.2518867535291979,0.2015094028233583,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.2904065769230764,42.009229,0.0,7.997177629991073,59.550571,42.009318,0.0,4.253612214285715,10.50824759482926,59.550525,42.0117,0.000108,5.41368409090909,11.587781561294436,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
172.30.0.200,172.30.0.10,57498,8080,6,2026-05-06 00:14:20,59.508389,38.65001285785102,0.453717542244338,0.2520653012468544,0.2016522409974835,15,12,1500,800,200,66,100.0,31.7742033731768,74,66,66.66666666666667,2.2110831935702664,200,66,85.18518518518519,28.938039859182453,837.4101508916324,300,240,20,10,2.288784192307692,42.009306,0.0,7.997358893467276,59.508389,42.009314,0.0,4.250599214285715,10.509037206300038,59.508356,42.013481,6.9e-05,5.409850545454545,11.589663086080764,10,0,0,0,2,3,0,10,25,0,0,0.8,85.18518518518519,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,66.66666666666667,0,15,12,1500,800,1,slow_dos,slow_dos_04,test,slow_dos_04.csv
