src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.13,172.30.0.100,36508,9090,6,2026-05-03 18:27:27,0.00469,158848.61407249467,1918.9765458422175,1279.317697228145,639.6588486140726,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.0005862500000000001,0.002923,0.0,0.0009770671356155625,0.00469,0.00319,0.0,0.0009379999999999999,0.001230887159734799,0.004403,0.004247,0.000156,0.0022015,0.0020455,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,36520,9090,6,2026-05-03 18:27:29,0.000427,1744730.6791569085,21077.28337236534,14051.522248243558,7025.761124121779,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,5.3375e-05,0.000282,0.0,8.889591877583583e-05,0.00042699999999999997,0.000298,0.0,8.539999999999999e-05,0.00010891023826987066,0.00039,0.000298,9.2e-05,0.000195,0.00010299999999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,36534,9090,6,2026-05-03 18:27:32,0.000278,2676258.9928057557,32374.100719424463,17985.61151079137,14388.489208633095,5,4,472,272,192,66,94.4,48.930971786793684,74,66,68.0,3.4641016151377544,192,66,82.66666666666667,38.82725274282943,1507.5555555555557,100,80,20,1,3.4750000000000004e-05,0.00012,0.0,3.9101630400790194e-05,0.00026900000000000003,0.00012,0.0,6.725e-05,5.373720778008474e-05,0.000259,0.00014,4.4e-05,8.633333333333332e-05,4.0002777681333855e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,68.0,0,5,4,472,272
172.30.0.13,172.30.0.100,36544,9090,6,2026-05-03 18:27:34,0.001038,717726.3969171483,8670.520231213872,5780.346820809248,2890.173410404624,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.00012975,0.000549,0.0,0.00017132115310141945,0.001038,0.00058,0.0,0.0002076,0.00019916887307006584,0.0008470000000000001,0.000613,0.000234,0.00042350000000000005,0.00018950000000000005,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,44506,9090,6,2026-05-03 18:27:36,0.000587,1269165.2470187393,15332.197614991483,8517.887563884158,6814.310051107326,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7.3375e-05,0.000295,0.0,9.422438312347819e-05,0.00056,0.000386,0.0,0.00014,0.0001509486667711908,0.000566,0.000322,7.9e-05,0.00018866666666666665,0.00010060594194954669,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,44508,9090,6,2026-05-03 18:27:39,0.00056,1330357.142857143,16071.428571428572,8928.57142857143,7142.857142857143,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7e-05,0.00027,0.0,8.892693630166284e-05,0.000547,0.000358,0.0,0.00013675,0.0001388909194296013,0.000534,0.000283,7.9e-05,0.000178,8.339064695755754e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,44522,9090,6,2026-05-03 18:27:41,0.000677,1100443.131462334,13293.943870014771,7385.5243722304285,5908.419497784343,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,8.4625e-05,0.000313,0.0,0.00010277273167041926,0.000653,0.000433,0.0,0.00016324999999999998,0.00016867035157371317,0.00065,0.000313,0.000129,0.00021666666666666666,7.536724900261535e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,44532,9090,6,2026-05-03 18:27:44,0.00093,801075.2688172043,9677.419354838708,6451.612903225806,3225.806451612903,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.00011624999999999999,0.000639,0.0,0.00020208646045690443,0.0009299999999999999,0.000673,0.0,0.00018600000000000002,0.0002481829970001974,0.000855,0.000672,0.000183,0.0004275,0.0002445,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,37044,9090,6,2026-05-03 18:27:46,0.00078,955128.2051282051,11538.461538461539,6410.25641025641,5128.205128205128,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,9.75e-05,0.000434,0.0,0.0001399321264041964,0.000763,0.000531,0.0,0.00019075,0.0002083859100323244,0.0007520000000000001,0.000451,8.7e-05,0.00025066666666666667,0.00015084723692825432,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,37052,9090,6,2026-05-03 18:27:49,0.000816,914215.6862745098,11029.411764705883,6127.450980392157,4901.9607843137255,5,4,474,272,194,66,94.8,49.72886485734417,74,66,68.0,3.4641016151377544,194,66,82.88888888888889,39.45305070430604,1556.543209876543,100,80,20,1,0.000102,0.000422,0.0,0.00013567239955127204,0.000771,0.000615,0.0,0.00019275,0.00024790761888251843,0.000794,0.000422,0.000141,0.0002646666666666667,0.00011716180644258132,1,0,0,0,2,3,0,1,7,0,0,0.8,82.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8,68.0,0,5,4,474,272
172.30.0.13,172.30.0.100,37066,9090,6,2026-05-03 18:27:52,0.000474,1573839.6624472574,18987.3417721519,12658.227848101267,6329.113924050634,6,3,540,206,194,66,90.0,46.647615158762406,74,66,68.66666666666667,3.7712361663282534,194,66,82.88888888888889,39.45305070430604,1556.543209876543,120,60,20,1,5.924999999999999e-05,0.000329,0.0,0.00010364573073696763,0.00047400000000000003,0.000344,0.0,9.48e-05,0.00012655970922849025,0.000417,0.000341,7.6e-05,0.0002085,0.0001325,1,0,0,0,2,3,0,1,7,0,0,0.5,82.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,68.66666666666667,0,6,3,540,206
172.30.0.13,172.30.0.100,46882,9090,6,2026-05-03 18:27:55,0.000698,1067335.2435530084,12893.982808022922,7163.3237822349565,5730.659025787965,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,8.725e-05,0.00032,0.0,0.00011016776978771968,0.00068,0.000408,0.0,0.00017,0.0001594004391461956,0.000664,0.00032,9.3e-05,0.00022133333333333334,9.501695755086153e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,46890,9090,6,2026-05-03 18:27:58,0.000735,1013605.4421768708,12244.897959183674,8163.265306122449,4081.6326530612246,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,9.1875e-05,0.000497,0.0,0.00015671346264759772,0.000735,0.000526,0.0,0.000147,0.00019328424664208927,0.00067,0.000522,0.000148,0.000335,0.000187,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,46896,9090,6,2026-05-03 18:28:01,0.000615,1211382.1138211382,14634.146341463415,9756.09756097561,4878.048780487805,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,7.687500000000001e-05,0.000424,0.0,0.00013408620128484513,0.000615,0.000447,0.0,0.000123,0.00016505393058028036,0.000561,0.000442,0.000119,0.0002805,0.0001615,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,46912,9090,6,2026-05-03 18:28:03,0.000696,1070402.2988505748,12931.034482758621,8620.689655172413,4310.3448275862065,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,8.7e-05,0.000558,0.0,0.0001791221650159466,0.000696,0.000574,0.0,0.0001392,0.00021857300839765186,0.0006580000000000001,0.000572,8.6e-05,0.00032900000000000003,0.00024300000000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,43262,9090,6,2026-05-03 18:28:05,0.000497,1501006.0362173037,18108.651911468813,12072.434607645873,6036.217303822937,6,3,540,206,194,66,90.0,46.647615158762406,74,66,68.66666666666667,3.7712361663282534,194,66,82.88888888888889,39.45305070430604,1556.543209876543,120,60,20,1,6.2125e-05,0.00028,0.0,8.947965900136186e-05,0.0004969999999999999,0.000296,0.0,9.94e-05,0.0001060143386528445,0.000419,0.000292,0.000127,0.0002095,8.25e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,82.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,68.66666666666667,0,6,3,540,206
