src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.20,54843,1883,6,2026-05-05 23:50:02,1.061793,2302.708720061255,17.89425999229605,10.359834732381923,7.534425259914126,11,8,1905,540,741,66,173.1818181818182,198.33342824730926,74,66,67.5,2.7838821814150108,741,66,128.68421052631578,159.68523401122232,25499.373961218833,220,160,20,5,0.0589885,1.003433,0.0,0.2292825663131388,1.0617930000000002,1.003594,0.0,0.10617930000000002,0.2994144268722034,1.061688,1.003471,0.000215,0.15166971428571427,0.3481410246731772,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.1818181818182,67.5,0,11,8,1905,540
172.30.0.200,172.30.0.20,44785,1883,6,2026-05-05 23:50:03,1.05675,2311.8050626922163,17.97965460137213,10.409273716583865,7.570380884788265,11,8,1903,540,741,66,173.0,198.22484937335912,74,66,67.5,2.7838821814150108,741,66,128.57894736842104,159.57783640774232,25465.085872576175,220,160,20,5,0.058708333333333314,1.002623,0.0,0.2291432382766048,1.05675,1.002658,0.0,0.105675,0.29925989639007766,1.0566900000000001,1.002671,0.00022,0.1509557142857143,0.34807833247897946,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.57894736842104,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,67.5,0,11,8,1903,540
172.30.0.200,172.30.0.20,50017,1883,6,2026-05-05 23:50:04,1.052319,2323.439945491814,18.055361539609187,10.453104049247424,7.602257490361763,11,8,1905,540,743,66,173.1818181818182,198.74598597745,74,66,67.5,2.7838821814150108,743,66,128.68421052631578,159.98192418670928,25594.216066481993,220,160,20,5,0.058462166666666655,1.002174,0.0,0.22908548327043768,1.052319,1.002218,0.0,0.10523189999999998,0.2992520994637966,1.0522310000000001,1.002204,7.3e-05,0.1503187142857143,0.3480954623000972,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.1818181818182,67.5,0,11,8,1905,540
172.30.0.200,172.30.0.20,46701,1883,6,2026-05-05 23:50:05,1.053369,2320.174601682791,18.03736392470255,10.44268437745937,7.594679547243179,11,8,1904,540,742,66,173.0909090909091,198.485380522072,74,66,67.5,2.7838821814150108,742,66,128.6315789473684,159.77985200904786,25529.60110803324,220,160,20,5,0.0585205,1.001905,0.0,0.22901410261094066,1.053369,1.001933,0.0,0.1053369,0.29913198110180395,1.053286,1.001946,0.000191,0.15046942857142856,0.3479633345757884,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.6315789473684,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0909090909091,67.5,0,11,8,1904,540
172.30.0.200,172.30.0.20,53271,1883,6,2026-05-05 23:50:06,1.057252,2311.6532293152436,17.971117576509666,10.404331228505598,7.5667863480040705,11,8,1904,540,742,66,173.0909090909091,198.485380522072,74,66,67.5,2.7838821814150108,742,66,128.6315789473684,159.77985200904786,25529.60110803324,220,160,20,5,0.05873622222222222,1.00365,0.0,0.22938623588213142,1.0572519999999999,1.003677,0.0,0.10572519999999999,0.29958392316571325,1.057194,1.003685,0.000216,0.1510277142857143,0.3484489425561366,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.6315789473684,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0909090909091,67.5,0,11,8,1904,540
172.30.0.200,172.30.0.20,47339,1883,6,2026-05-05 23:50:08,1.054376,2317.0102506126846,18.02013702891568,10.4327109114775,7.587426117438182,11,8,1903,540,741,66,173.0,198.22484937335912,74,66,67.5,2.7838821814150108,741,66,128.57894736842104,159.57783640774232,25465.085872576175,220,160,20,5,0.05857644444444443,1.002592,0.0,0.22917462383257545,1.054376,1.002619,0.0,0.10543759999999999,0.2993371103649529,1.054311,1.002621,7.5e-05,0.15061585714285713,0.34822360442165345,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.57894736842104,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,67.5,0,11,8,1903,540
172.30.0.200,172.30.0.20,33165,1883,6,2026-05-05 23:50:09,1.0562,2313.008899829578,17.989017231584928,10.414694186707063,7.574323044877864,11,8,1903,540,741,66,173.0,198.22484937335912,74,66,67.5,2.7838821814150108,741,66,128.57894736842104,159.57783640774232,25465.085872576175,220,160,20,5,0.058677777777777766,1.003715,0.0,0.22940765807075003,1.0562,1.003749,0.0,0.10562,0.299632389021948,1.0560740000000002,1.003748,0.000178,0.1508677142857143,0.3485103070628776,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.57894736842104,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,67.5,0,11,8,1903,540
172.30.0.200,172.30.0.20,36513,1883,6,2026-05-05 23:50:10,1.052481,2321.18204509155,18.052582421915456,10.451495086372105,7.601087335543349,11,8,1903,540,741,66,173.0,198.22484937335912,74,66,67.5,2.7838821814150108,741,66,128.57894736842104,159.57783640774232,25465.085872576175,220,160,20,5,0.058471166666666664,1.002622,0.0,0.2291897306440549,1.052481,1.002653,0.0,0.1052481,0.2993890793570968,1.05224,1.002677,0.000206,0.15032,0.34827720614599106,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.57894736842104,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,67.5,0,11,8,1903,540
172.30.0.200,172.30.0.20,58567,1883,6,2026-05-05 23:50:11,1.053815,2318.243714503969,18.0297300759621,10.438264780820164,7.591465295141937,11,8,1903,540,741,66,173.0,198.22484937335912,74,66,67.5,2.7838821814150108,741,66,128.57894736842104,159.57783640774232,25465.085872576175,220,160,20,5,0.058545277777777766,1.002627,0.0,0.22920437558161094,1.053815,1.002643,0.0,0.10538150000000002,0.29938314248409176,1.0536400000000001,1.002685,6.8e-05,0.15052,0.34828182515231626,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.57894736842104,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,67.5,0,11,8,1903,540
172.30.0.200,172.30.0.20,48489,1883,6,2026-05-05 23:50:12,1.063257,2298.597610925675,17.86962136153348,9.405063874491304,8.464557487042175,10,9,1838,606,741,66,183.8,204.90134211371094,74,66,67.33333333333333,2.6666666666666665,741,66,128.6315789473684,159.63155291790093,25482.232686980606,200,180,20,5,0.05906983333333334,1.003245,0.0,0.22921741503555815,1.0632199999999998,1.003278,0.0,0.11813555555555556,0.3132276221720879,1.06321,1.003278,6.3e-05,0.13290125,0.32934726896459526,5,1,0,0,2,3,0,6,17,0,0,0.9,128.6315789473684,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.8,67.33333333333333,0,10,9,1838,606
172.30.0.200,172.30.0.20,48637,1883,6,2026-05-05 23:50:13,1.060868,2303.773890813937,17.909862489961053,9.426243415768974,8.483619074192077,10,9,1838,606,741,66,183.8,204.80810530835933,74,66,67.33333333333333,2.6666666666666665,741,66,128.6315789473684,159.56856652806877,25462.127423822712,200,180,20,5,0.05893711111111112,1.003314,0.0,0.229264740696061,1.06081,1.003335,0.0,0.11786777777777778,0.3133433060082389,1.060817,1.00335,0.000115,0.132602125,0.32957718889034077,5,1,0,0,2,3,0,6,17,0,0,0.9,128.6315789473684,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.8,67.33333333333333,0,10,9,1838,606
172.30.0.200,172.30.0.20,57955,1883,6,2026-05-05 23:50:14,1.054482,2318.674002970179,18.018325585453333,10.43166218105193,7.586663404401404,11,8,1905,540,742,66,173.1818181818182,198.45210925919,74,66,67.5,2.7838821814150108,742,66,128.68421052631578,159.77057651242788,25526.637119113573,220,160,20,5,0.05858233333333333,1.002574,0.0,0.2291526652326397,1.0544820000000001,1.002604,0.0,0.10544819999999999,0.29930612834180326,1.0544120000000001,1.002615,6.9e-05,0.15063028571428574,0.3481640573492881,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.1818181818182,67.5,0,11,8,1905,540
172.30.0.200,172.30.0.20,35993,1883,6,2026-05-05 23:50:15,1.060403,2305.727162220401,17.917716189033793,10.373414635756406,7.5443015532773865,11,8,1905,540,741,66,173.1818181818182,198.24586121178748,74,66,67.5,2.7838821814150108,741,66,128.68421052631578,159.62226880376352,25479.268698060936,220,160,20,5,0.058911277777777764,1.004806,0.0,0.22961878653634343,1.060403,1.005054,0.0,0.10604029999999995,0.29992968437520484,1.060331,1.00501,0.000163,0.15147585714285716,0.3488034227483721,5,1,0,0,2,3,0,6,17,0,0,0.7272727272727273,128.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.1818181818182,67.5,0,11,8,1905,540
