src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,56466,8080,6,2026-05-03 18:28:43,0.003561,212580.73574838528,2527.379949452401,1684.9199663016007,842.4599831508003,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.000445125,0.00317,0.0,0.0010345613125257488,0.003561,0.003192,0.0,0.0007122,0.0012451275276051043,0.003518,0.003186,0.000332,0.001759,0.001427,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56482,8080,6,2026-05-03 18:28:43,0.000613,1234910.277324633,14681.892332789559,9787.928221859705,4893.964110929853,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,7.662499999999999e-05,0.000503,0.0,0.00016158506853976328,0.0006129999999999999,0.000542,0.0,0.0001226,0.00020993198898690973,0.000556,0.000516,4e-05,0.000278,0.00023799999999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56488,8080,6,2026-05-03 18:28:43,0.000922,821041.2147505423,9761.388286334057,6507.5921908893715,3253.7960954446858,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.00011525,0.000645,0.0,0.00020928016508976665,0.000922,0.000668,0.0,0.00018439999999999998,0.00025178848265955297,0.000879,0.000663,0.000216,0.0004395,0.00022349999999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56498,8080,6,2026-05-03 18:28:43,0.000569,1330404.2179261865,15817.223198594025,10544.81546572935,5272.407732864675,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,7.1125e-05,0.000486,0.0,0.00015697885008815677,0.000569,0.000503,0.0,0.00011379999999999999,0.00019481519447928078,0.000535,0.000499,3.6e-05,0.0002675,0.0002315,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56500,8080,6,2026-05-03 18:28:43,0.00119,636134.4537815126,7563.0252100840335,5042.016806722689,2521.0084033613443,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.00014875,0.000594,0.0,0.0002259013888846193,0.00119,0.000621,0.0,0.000238,0.0002592234557288364,0.001131,0.000621,0.00051,0.0005655,5.5499999999999994e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56516,8080,6,2026-05-03 18:28:43,0.000824,918689.3203883496,10922.330097087379,7281.553398058252,3640.776699029126,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.000103,0.000636,0.0,0.00020398590637590625,0.000824,0.000655,0.0,0.0001648,0.00024776714875059607,0.000783,0.000654,0.000129,0.0003915,0.0002625,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56522,8080,6,2026-05-03 18:28:43,0.001454,520632.73727647867,6189.821182943604,4126.547455295736,2063.273727647868,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.00018175,0.001238,0.0,0.0004003622578365748,0.001454,0.001258,0.0,0.0002908,0.0004848832436783107,0.0014140000000000001,0.001255,0.000159,0.0007070000000000001,0.000548,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56528,8080,6,2026-05-03 18:28:43,0.001096,690693.4306569343,8211.678832116788,5474.4525547445255,2737.2262773722628,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.000137,0.000797,0.0,0.00025547504770525047,0.001096,0.000818,0.0,0.0002192,0.00030593685623017046,0.001052,0.000813,0.000239,0.000526,0.00028700000000000004,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56540,8080,6,2026-05-03 18:28:43,0.002045,370171.1491442543,4400.9779951100245,2933.98533007335,1466.992665036675,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.000255625,0.001768,0.0,0.0005728889372077279,0.002045,0.001768,0.0,0.00040899999999999997,0.0006814111827670573,0.002006,0.001848,0.000158,0.001003,0.000845,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
172.30.0.200,172.30.0.10,56552,8080,6,2026-05-03 18:28:43,0.001495,506354.5150501672,6020.066889632107,4013.3779264214045,2006.6889632107022,6,3,551,206,205,66,91.83333333333333,50.73597233609394,74,66,68.66666666666667,3.7712361663282534,205,66,84.11111111111111,42.8963724041101,1840.0987654320988,120,60,20,1,0.000186875,0.001287,0.0,0.00041779493699062466,0.001495,0.001307,0.0,0.000299,0.0005061418773427072,0.001455,0.001303,0.000152,0.0007275,0.0005755,1,0,0,0,2,3,0,1,7,0,0,0.5,84.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83333333333333,68.66666666666667,0,6,3,551,206
