src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,45046,8080,6,2026-05-06 13:48:25,0.000526,501901.14068441064,7604.5627376425855,5703.42205323194,1901.1406844106464,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00017533333333333333,0.000494,0.0,0.00022570974478052313,0.000526,0.000526,0.0,0.000263,0.000263,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,45052,8080,6,2026-05-06 13:48:25,2.003538,489.63383774103613,4.492053557257212,2.9947023715048084,1.4973511857524042,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25044225,2.003028,0.0,0.6624151608792537,2.003538,2.003033,0.0,0.40070759999999994,0.8011627157676771,2.003475,2.003422,5.3e-05,1.0017375,1.0016845,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,38471,1883,6,2026-05-06 13:48:27,1.203045,2413.8747927134896,17.4557061456554,9.9746892260888,7.4810169195666,12,9,2298,606,792,66,191.5,207.20219593430954,74,66,67.33333333333333,2.6666666666666665,792,66,138.28571428571428,168.26089234030727,28311.72789115647,240,180,20,6,0.06015225,1.127777,0.0,0.24515316592813466,1.203045,1.127799,0.0,0.10936772727272727,0.32232787704816995,1.2027530000000002,1.127852,2.2e-05,0.150344125,0.36976507594465896,6,1,0,0,2,3,0,7,19,0,0,0.75,138.28571428571428,64240,65160,0,0,0,0,0,0,0,0,1452.0,4.0,0,0,22103.48449559300360780015527,0,191.5,67.33333333333333,0,12,9,2298,606
172.30.0.200,172.30.0.10,45060,8080,6,2026-05-06 13:48:27,2.544634,385.51713134383965,3.536854415998529,2.357902943999019,1.1789514719995096,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.31807925,2.544035,0.0,0.8413321993672818,2.544634,2.544043,0.0,0.5089268,1.017558107124974,2.544588,2.544244,0.000344,1.272294,1.27195,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,43007,1883,6,2026-05-06 13:48:28,1.364739,2129.3448783979943,15.387557620907735,8.06014922999929,7.327408390908445,11,10,2234,672,793,66,203.0909090909091,213.07295146176605,74,66,67.2,2.5612496949731396,793,66,138.38095238095238,168.49402312148763,28390.235827664408,220,200,20,6,0.06823695,1.221285,0.0,0.26542364249129635,1.364726,1.221308,0.0,0.1364726,0.3627580565057653,1.364717,1.221299,6.2e-05,0.15163522222222223,0.3793914807907754,6,1,0,0,2,3,0,7,19,0,0,0.9090909090909091,138.38095238095238,64240,65160,0,0,0,0,0,0,0,0,1454.0,4.0,0,0,10367.71888793023537716677481,0,203.0909090909091,67.2,0,11,10,2234,672
172.30.0.200,172.30.0.20,44729,1883,6,2026-05-06 13:48:29,1.107468,2862.3851885562385,22.57401568262018,12.641448782267299,9.932566900352878,14,11,2432,738,309,66,173.71428571428572,116.90926186664632,74,66,67.0909090909091,2.466301812045552,309,66,126.8,102.26358100516528,10457.84,280,220,20,8,0.046144500000000005,1.005243,0.0,0.20028465843581233,1.107468,1.005267,0.0,0.08518984615384614,0.2659596749485635,1.107412,1.005365,9.2e-05,0.11074120000000001,0.29889174705494964,8,1,0,0,2,3,0,9,23,0,0,0.7857142857142857,126.8,64240,65160,0,0,0,0,0,0,0,0,1212.0,5.0,0,0,15006.87195869395639092158538,0,173.71428571428572,67.0909090909091,0,14,11,2432,738
172.30.0.200,172.30.0.10,45068,8080,6,2026-05-06 13:48:29,2.001074,490.2367428690793,4.497584796964031,2.9983898646426868,1.4991949323213434,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25013425,2.000767,0.0,0.661676988944332,2.001074,2.00077,0.0,0.4002148,0.8002776056222991,2.001038,2.001004,3.4e-05,1.000519,1.0004849999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,57041,1883,6,2026-05-06 13:48:30,1.087339,2793.0571790398394,21.152556838299738,11.95579299556072,9.196763842739017,13,10,2365,672,550,66,181.92307692307693,150.82565663117416,74,66,67.2,2.5612496949731396,550,66,132.04347826086956,126.86606366416844,16094.998109640837,260,200,20,7,0.0494245,1.01049,0.0,0.20996045369626376,1.087339,1.010618,0.0,0.09061158333333334,0.2776863588971853,1.0872769999999998,1.010511,0.000216,0.12080855555555556,0.3148851575074143,7,1,0,0,2,3,0,8,21,0,0,0.7692307692307693,132.04347826086956,64240,65160,0,0,0,0,0,0,0,0,1453.0,5.0,0,0,19711.85153028000868243976557,0,181.92307692307693,67.2,0,13,10,2365,672
172.30.0.200,172.30.0.10,43042,8080,6,2026-05-06 13:48:31,2.0014,490.15689017687623,4.49685220345758,2.99790146897172,1.49895073448586,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.2501749999999999,2.00087,0.0,0.6617005195534079,2.0014000000000003,2.000878,0.0,0.40027999999999997,0.8002990068528137,2.0013509999999997,2.001095,0.000256,1.0006754999999998,1.0004194999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,52191,1883,6,2026-05-06 13:48:32,1.105494,2747.188134897159,20.805178499385796,10.85487573880998,9.950302760575815,12,11,2299,738,550,66,191.58333333333334,153.0715836536038,74,66,67.0909090909091,2.466301812045552,550,66,132.04347826086956,126.86606366416844,16094.998109640837,240,220,20,7,0.05024972727272727,1.010122,0.0,0.20976986062613343,1.1054680000000001,1.010145,0.0,0.1004970909090909,0.2880315230527427,1.10547,1.010349,6.1e-05,0.11054699999999998,0.30032944680567036,7,1,0,0,2,3,0,8,21,0,0,0.9166666666666666,132.04347826086956,64240,65160,0,0,0,0,0,0,0,0,1453.0,5.0,0,0,16028.68174296745725317153889,0,191.58333333333334,67.0909090909091,0,12,11,2299,738
172.30.0.200,172.30.0.20,40495,1883,6,2026-05-06 13:48:33,1.082416,2684.73488935862,19.401043591373373,10.162451405005099,9.238592186368273,11,10,2234,672,793,66,203.0909090909091,213.07295146176605,74,66,67.2,2.5612496949731396,793,66,138.38095238095238,168.49402312148763,28390.235827664408,220,200,20,6,0.054120800000000004,1.001945,0.0,0.21771934191904035,1.082402,1.001989,0.0,0.10824020000000001,0.29825280187947945,1.082396,1.001957,4.1e-05,0.12026622222222223,0.31208062672641285,6,1,0,0,2,3,0,7,19,0,0,0.9090909090909091,138.38095238095238,64240,65160,0,0,0,0,0,0,0,0,1454.0,4.0,0,0,18618.11104281909444785904528,0,203.0909090909091,67.2,0,11,10,2234,672
172.30.0.200,172.30.0.10,43052,8080,6,2026-05-06 13:48:33,2.002168,489.96887374086486,4.495127282026283,2.9967515213508555,1.4983757606754278,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25027099999999997,2.001801,0.0,0.6620161162868319,2.002168,2.001809,0.0,0.40043360000000006,0.8006877032103342,2.002126,2.001986,0.00014,1.001063,1.000923,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,39175,1883,6,2026-05-06 13:48:34,1.132691,2683.874066272267,20.305626159296757,11.477093046559036,8.82853311273772,13,10,2368,672,551,66,182.15384615384616,151.1422387400721,74,66,67.2,2.5612496949731396,551,66,132.17391304347825,127.1300779153975,16162.056710775038,260,200,20,7,0.05148595454545454,1.036003,0.0,0.21510372050826534,1.1326910000000001,1.036083,0.0,0.09439091666666667,0.2842401925943557,1.132645,1.036028,8.6e-05,0.12584944444444443,0.3221292319875884,7,1,0,0,2,3,0,8,21,0,0,0.7692307692307693,132.17391304347825,64240,65160,0,0,0,0,0,0,0,0,1456.0,5.0,0,0,16677.35728030788967286722258,0,182.15384615384616,67.2,0,13,10,2368,672
172.30.0.200,172.30.0.20,59889,1883,6,2026-05-06 13:48:35,1.069511,2718.064610836167,19.635141667547128,11.220080952884073,8.415060714663056,12,9,2301,606,794,66,191.75,207.7322495425301,74,66,67.33333333333333,2.6666666666666665,794,66,138.42857142857142,168.67906168324546,28452.62585034013,240,180,20,6,0.05347555000000002,1.001532,0.0,0.21772774810011586,1.069511,1.00156,0.0,0.09722827272727272,0.2862569129067901,1.069478,1.00165,0.000114,0.13368475,0.32840341353956337,6,1,0,0,2,3,0,7,19,0,0,0.75,138.42857142857142,64240,65160,0,0,0,0,0,0,0,0,1455.0,4.0,0,0,22545.55596876162142060245444,0,191.75,67.33333333333333,0,12,9,2301,606
172.30.0.200,172.30.0.10,43062,8080,6,2026-05-06 13:48:35,2.002141,489.97548124732475,4.495187901351604,2.9967919342344023,1.4983959671172011,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.250267625,2.001445,0.0,0.6618828526823946,2.002141,2.001452,0.0,0.4004282,0.8005119221321816,2.002096,2.001947,0.000149,1.001048,1.000899,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,34389,1883,6,2026-05-06 13:48:36,1.121082,2591.2466706271266,18.731903643087662,10.703944938907235,8.027958704180426,12,9,2299,606,792,66,191.58333333333334,207.24922932439472,74,66,67.33333333333333,2.6666666666666665,792,66,138.33333333333334,168.30905058236326,28327.936507936512,240,180,20,6,0.056054100000000016,1.032182,0.0,0.2242518492735121,1.121082,1.032206,0.0,0.10191654545454544,0.29455955035901055,1.121046,1.032192,8.5e-05,0.14013075,0.33759047772624967,6,1,0,0,2,3,0,7,19,0,0,0.75,138.33333333333334,64240,65160,0,0,0,0,0,0,0,0,1453.0,4.0,0,0,16838.76276234514248629605164,0,191.58333333333334,67.33333333333333,0,12,9,2299,606
172.30.0.200,172.30.0.20,51673,1883,6,2026-05-06 13:48:37,1.287052,2361.9869282670784,17.870295838862763,10.100601995878954,7.769693842983811,13,10,2368,672,551,66,182.15384615384616,151.1422387400721,74,66,67.2,2.5612496949731396,551,66,132.17391304347825,127.13007791539751,16162.056710775041,260,200,20,7,0.05850236363636363,1.208119,0.0,0.2510485813203466,1.287052,1.208225,0.0,0.10725433333333334,0.33217663062451513,1.287018,1.208134,4.6e-05,0.143002,0.37681668192548656,7,1,0,0,2,3,0,8,21,0,0,0.7692307692307693,132.17391304347825,64240,65160,0,0,0,0,0,0,0,0,1456.0,5.0,0,0,18865.96869493106665284544418,0,182.15384615384616,67.2,0,13,10,2368,672
172.30.0.200,172.30.0.10,43072,8080,6,2026-05-06 13:48:37,2.178446,450.3210086456125,4.131385400418464,2.7542569336123086,1.3771284668061543,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.27230574999999996,2.177696,0.0,0.7201698404600039,2.178446,2.177705,0.0,0.43568919999999994,0.8710079213190659,2.178395,2.178216,0.000179,1.0891975,1.0890185000000001,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,37683,1883,6,2026-05-06 13:48:38,1.111743,2613.9134674110833,18.889257679157865,10.793861530947352,8.095396148210513,12,9,2300,606,792,66,191.66666666666666,207.2133897432521,74,66,67.33333333333333,2.6666666666666665,792,66,138.38095238095238,168.2989053498273,28324.521541950122,240,180,20,6,0.05558715000000001,1.003254,0.0,0.21784600388009762,1.1117430000000001,1.003438,0.0,0.10106754545454545,0.28587881946643173,1.111714,1.003344,7.8e-05,0.13896425,0.32737551996512737,6,1,0,0,2,3,0,7,19,0,0,0.75,138.38095238095238,64240,65160,0,0,0,0,0,0,0,0,1453.0,4.0,0,0,14809.75629643974681738031413,0,191.66666666666666,67.33333333333333,0,12,9,2300,606
