src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.100,45528,9090,6,2026-05-06 18:21:57,0.000447,2172259.5078299777,20134.228187919463,11185.682326621923,8948.545861297538,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,5.5874999999999996e-05,0.000268,0.0,8.473995146918601e-05,0.00043599999999999997,0.000345,0.0,0.00010899999999999999,0.0001386019480382581,0.00043400000000000003,0.000268,8.2e-05,0.00014466666666666667,8.721365846140283e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45530,9090,6,2026-05-06 18:21:58,0.000808,1201732.6732673268,11138.613861386139,6188.118811881188,4950.495049504951,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,0.00010099999999999999,0.000295,0.0,0.0001089850907234563,0.000799,0.000544,0.0,0.00019975,0.0002068989789728311,0.000791,0.000304,0.000243,0.00026366666666666666,2.8522895287041882e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45544,9090,6,2026-05-06 18:21:58,0.000538,1804832.713754647,16728.624535315987,9293.68029739777,7434.9442379182165,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,6.725000000000001e-05,0.00022,0.0,8.880843146908969e-05,0.000529,0.00044,0.0,0.00013225,0.00017919315695639722,0.000522,0.000224,7.8e-05,0.000174,6.790189000805991e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45558,9090,6,2026-05-06 18:21:59,0.000822,1181265.206812652,10948.905109489051,6082.725060827251,4866.1800486618,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,0.00010275,0.000414,0.0,0.00013427467184841675,0.0008049999999999999,0.000414,0.0,0.00020124999999999999,0.00017982126542764624,0.000789,0.000444,0.000152,0.000263,0.00012907620488171578,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45574,9090,6,2026-05-06 18:21:59,0.00038,2555263.1578947366,23684.210526315786,13157.894736842105,10526.315789473683,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,4.7499999999999996e-05,0.000208,0.0,6.582932477247506e-05,0.000372,0.000281,0.0,9.3e-05,0.00011097972787856349,0.000362,0.000208,7.7e-05,0.00012066666666666667,6.175399222362514e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45576,9090,6,2026-05-06 18:22:00,0.000438,2216894.97716895,20547.945205479453,11415.52511415525,9132.4200913242,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,5.475e-05,0.00021,0.0,7.239086613655068e-05,0.000429,0.000348,0.0,0.00010725,0.00014040543970943577,0.00042100000000000004,0.00021,6.7e-05,0.00014033333333333335,5.843705065186717e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,45586,9090,6,2026-05-06 18:22:00,0.000592,1640202.7027027027,15202.702702702703,8445.945945945947,6756.756756756757,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,7.400000000000001e-05,0.000276,0.0,0.00010307885331143337,0.000582,0.0005,0.0,0.0001455,0.00020570549336369217,0.000576,0.000276,6.9e-05,0.000192,8.889319434017433e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,37806,9090,6,2026-05-06 18:22:01,0.007188,135086.25486922648,1252.0868113522538,695.6037840845854,556.4830272676684,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,0.0008985,0.006873,0.0,0.002259153657899347,0.007178,0.007092,0.0,0.0017945,0.003058592936302574,0.007173,0.006873,7.5e-05,0.0023910000000000003,0.003169844160207249,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,37818,9090,6,2026-05-06 18:22:01,0.000226,4296460.176991151,39823.008849557526,22123.893805309734,17699.11504424779,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,2.825e-05,0.000142,0.0,4.391397841234611e-05,0.00022,0.00017,0.0,5.5e-05,6.717514421272201e-05,0.000209,0.000142,3.1e-05,6.966666666666668e-05,5.118810625743272e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,37830,9090,6,2026-05-06 18:22:02,0.000252,3853174.603174603,35714.28571428572,19841.26984126984,15873.015873015873,5,4,699,272,419,66,139.8,139.64583774678,74,66,68.0,3.4641016151377544,419,66,107.88888888888889,110.05498064800202,12112.098765432098,100,80,20,1,3.149999999999999e-05,0.000167,0.0,5.2002403790594136e-05,0.000245,0.000197,0.0,6.125e-05,7.898536256801003e-05,0.000236,0.000167,3.4e-05,7.866666666666666e-05,6.246243315430127e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,107.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,68.0,0,5,4,699,272
172.30.0.200,172.30.0.100,37838,9090,6,2026-05-06 18:22:02,0.000295,3294915.254237288,30508.474576271186,16949.15254237288,13559.322033898305,5,4,700,272,420,66,140.0,140.0457068245935,74,66,68.0,3.4641016151377544,420,66,108.0,110.36907779506602,12181.333333333334,100,80,20,1,3.6875e-05,0.000212,0.0,6.675409631625612e-05,0.000288,0.000241,0.0,7.2e-05,9.804335775563788e-05,0.000279,0.000212,3.3e-05,9.3e-05,8.414669730100324e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,108.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,68.0,0,5,4,700,272
