src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,49548,8080,6,2026-05-06 18:23:56,2.001917,529.9920026654452,4.4956908802912405,2.9971272535274935,1.4985636267637468,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25023962499999997,2.001652,0.0,0.661971657363995,2.0019169999999997,2.001657,0.0,0.40038339999999994,0.8006368020561133,2.001891,2.001714,0.000177,1.0009455,1.0007685,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,49562,8080,6,2026-05-06 18:23:58,2.003382,529.6044388938304,4.492403345942011,2.994935563961341,1.4974677819806705,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25042274999999997,2.003233,0.0,0.6625000027820283,2.0033819999999998,2.003236,0.0,0.40067639999999993,0.8012798004254442,2.0033570000000003,2.003296,6.1e-05,1.0016785000000001,1.0016175,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,49570,8080,6,2026-05-06 18:24:00,2.002714,529.781087064853,4.49390177529093,2.99593451686062,1.49796725843031,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25033925,2.00257,0.0,0.6622809723228785,2.002714,2.002574,0.0,0.40054280000000003,0.8010156003780201,2.0026879999999996,2.002626,6.2e-05,1.0013439999999998,1.001282,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,37244,8080,6,2026-05-06 18:24:02,2.002161,529.9274134297891,4.495142997990671,2.9967619986604475,1.4983809993302237,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.250270125,2.002019,0.0,0.6620988406800448,2.002161,2.002023,0.0,0.4004321999999999,0.8007954003652618,2.002135,2.002074,6.1e-05,1.0010675,1.0010065,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,37254,8080,6,2026-05-06 18:24:04,2.002539,529.8273841358396,4.494294493140957,2.996196328760638,1.498098164380319,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25031737499999995,2.002357,0.0,0.6622087342358408,2.002539,2.00236,0.0,0.4005077999999999,0.8009261008678391,2.002512,2.002452,6e-05,1.001256,1.001196,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,37266,8080,6,2026-05-06 18:24:06,2.005048,529.1643890819572,4.488670595417167,2.992447063611445,1.4962235318057224,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25063100000000005,2.004884,0.0,0.6630453110532869,2.005048,2.004888,0.0,0.40100959999999997,0.8019392004177373,2.0050179999999997,2.00494,7.8e-05,1.0025089999999999,1.0024309999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,37270,8080,6,2026-05-06 18:24:08,2.003646,529.5346583178865,4.491811427767181,2.994540951844787,1.4972704759223936,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25045575,2.003503,0.0,0.6625895803100419,2.003646,2.003507,0.0,0.40072919999999995,0.8013889003657088,2.0036199999999997,2.00356,6e-05,1.0018099999999999,1.00175,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,37272,8080,6,2026-05-06 18:24:10,2.013338,526.9855334772402,4.470188314133047,2.9801255427553643,1.4900627713776822,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25166725000000006,2.013132,0.0,0.6657710969510748,2.0133379999999996,2.013136,0.0,0.4026676,0.8052342009946174,2.013312,2.013187,0.000125,1.006656,1.0065309999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,50858,8080,6,2026-05-06 18:24:12,2.006246,528.8484064267293,4.485990252441625,2.9906601682944167,1.4953300841472084,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.25078075,2.002658,0.0,0.6621478443274111,2.006246,2.002661,0.0,0.4012492,0.8007070700760421,2.0038839999999998,2.003856,2.8e-05,1.0019419999999999,1.001914,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
172.30.0.200,172.30.0.10,50866,8080,6,2026-05-06 18:24:14,2.002373,529.8713076934217,4.494667077512531,2.996444718341688,1.498222359170844,6,3,855,206,509,66,142.5,163.94282539958863,74,66,68.66666666666667,3.7712361663282534,509,66,117.88888888888889,138.3268628562591,19134.32098765432,120,60,20,1,0.250296625,2.002088,0.0,0.6621149066285507,2.002373,2.00209,0.0,0.4004746,0.8008077052570362,2.002307,2.002281,2.6e-05,1.0011535,1.0011275,1,0,0,0,2,3,0,1,7,0,0,0.5,117.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,68.66666666666667,0,6,3,855,206
