src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.14,172.30.0.20,36179,1883,6,2026-05-07 12:19:28,0.00357,314565.8263305322,3641.4565826330536,2240.8963585434176,1400.560224089636,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.00029749999999999997,0.001385,0.0,0.00041749161668229933,0.00357,0.001395,0.0,0.0005099999999999999,0.0005173572957140658,0.003123,0.001392,0.000162,0.00078075,0.0004350076867136947,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.11,172.30.0.10,53390,8080,6,2026-05-07 12:19:32,0.004539,169861.20290812955,1982.8155981493724,1321.8770654329148,660.9385327164574,6,3,565,206,219,66,94.16666666666667,55.94168590793651,74,66,68.66666666666667,3.7712361663282534,219,66,85.66666666666667,47.281661937325715,2235.555555555555,120,60,20,1,0.000567375,0.002274,0.0,0.0009022034052113746,0.0045390000000000005,0.002274,0.0,0.0009078,0.001018007937100689,0.004444,0.002326,0.002118,0.002222,0.00010399999999999993,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16666666666667,68.66666666666667,0,6,3,565,206
172.30.0.14,172.30.0.20,33327,1883,6,2026-05-07 12:19:33,0.003663,309855.30985530984,3549.003549003549,2184.002184002184,1365.001365001365,8,5,793,342,281,66,99.125,69.46480673693694,74,66,68.4,3.1999999999999997,281,66,87.3076923076923,56.540502317956665,3196.828402366863,160,100,20,3,0.00030525,0.00203,0.0,0.0005612608016777941,0.003663,0.002083,0.0,0.0005232857142857143,0.000681719614396609,0.00345,0.00203,0.000266,0.0008625000000000001,0.0007139133350764643,3,1,0,0,1,3,1,4,11,0,0,0.625,87.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.125,68.4,0,8,5,793,342
172.30.0.12,172.30.0.10,45676,8080,6,2026-05-07 12:19:33,0.00165,467272.7272727273,5454.545454545455,3636.3636363636365,1818.1818181818182,6,3,565,206,219,66,94.16666666666667,55.94168590793651,74,66,68.66666666666667,3.7712361663282534,219,66,85.66666666666667,47.281661937325715,2235.555555555555,120,60,20,1,0.00020625,0.001336,0.0,0.00043195854835852013,0.00165,0.001368,0.0,0.00033,0.0005244109075906032,0.0015960000000000002,0.00136,0.000236,0.0007980000000000001,0.000562,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16666666666667,68.66666666666667,0,6,3,565,206
172.30.0.11,172.30.0.10,53404,8080,6,2026-05-07 12:19:36,0.019639,39309.537145475835,458.2718061001069,305.5145374000713,152.75726870003564,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0024548749999999996,0.011007,0.0,0.0037191601349464637,0.019639,0.014319,0.0,0.0039278,0.005561404477288089,0.016281,0.011052,0.005229,0.0081405,0.0029114999999999996,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.14,172.30.0.20,43223,1883,6,2026-05-07 12:19:38,0.008887,126364.35242489028,1462.8108473050522,900.1912906492629,562.6195566557893,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.0007405833333333334,0.004657,0.0,0.001341049741703201,0.008887,0.004675,0.0,0.0012695714285714285,0.0015706548095021533,0.008794,0.004697,0.000291,0.0021985,0.001585899350526382,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.11,172.30.0.10,53410,8080,6,2026-05-07 12:19:39,0.003759,205639.79781856877,2394.2537909018356,1596.169193934557,798.0845969672785,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000469875,0.001459,0.0,0.0005663732067947777,0.003759,0.001459,0.0,0.0007518000000000001,0.0005791249951435355,0.002495,0.001532,0.000963,0.0012475,0.0002845,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.12,172.30.0.10,45688,8080,6,2026-05-07 12:19:40,0.013361,57854.9509767233,673.6022752787965,449.0681835191977,224.53409175959885,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.001670125,0.010359,0.0,0.0034055703794482065,0.013361,0.010404,0.0,0.0026722,0.004008330146083279,0.013276999999999999,0.010431,0.002846,0.0066384999999999994,0.0037924999999999994,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.11,172.30.0.10,55620,8080,6,2026-05-07 12:19:42,0.001669,462552.42660275614,5392.450569203116,3594.967046135411,1797.4835230677054,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000208625,0.001357,0.0,0.0004370222927666276,0.0016690000000000001,0.001378,0.0,0.00033380000000000004,0.0005251507973906163,0.001575,0.001382,0.000193,0.0007875,0.0005945,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.14,172.30.0.20,38017,1883,6,2026-05-07 12:19:45,0.0009,1038888.8888888889,11111.111111111111,7777.777777777778,3333.3333333333335,7,3,725,210,281,66,103.57142857142857,73.18832292275113,74,66,70.0,3.265986323710904,281,66,93.5,63.162093062215725,3989.45,140,60,20,2,9.999999999999999e-05,0.000576,0.0,0.00017218788188100423,0.0009,0.000576,0.0,0.00015,0.0001982338686165073,0.0007650000000000001,0.00064,0.000125,0.00038250000000000003,0.0002575,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.5,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.57142857142857,70.0,0,7,3,725,210
