src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,34418,8081,6,2026-05-07 12:27:36,0.001593,165725.04708097928,2510.9855618330193,1883.2391713747645,627.7463904582548,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000531,0.001555,0.0,0.0007242435133756233,0.001593,0.001593,0.0,0.0007965,0.0007965,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,34436,8081,6,2026-05-07 12:27:37,2.00292,388.432887983544,4.4934395782158045,2.995626385477203,1.4978131927386016,6,3,572,206,226,66,95.33333333333333,58.54532906693373,74,66,68.66666666666667,3.7712361663282534,226,66,86.44444444444444,49.47527128915821,2447.8024691358023,120,60,20,1,0.250365,2.002459,0.0,0.662229294429052,2.00292,2.002465,0.0,0.400584,0.8009405118336816,2.002869,2.00281,5.9e-05,1.0014345,1.0013755000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,86.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333333,68.66666666666667,0,6,3,572,206
172.30.0.200,172.30.0.10,34428,8081,6,2026-05-07 12:27:38,0.00106,249056.6037735849,3773.5849056603774,2830.1886792452833,943.3962264150944,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0003533333333333333,0.0009,0.0,0.0003920317447463775,0.00106,0.00106,0.0,0.00053,0.00053,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,34452,8081,6,2026-05-07 12:27:38,2.004081,386.71091637513655,4.490836448227393,2.9938909654849284,1.4969454827424642,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.250510125,2.000889,0.0,0.6615813493619733,2.0040810000000002,2.000916,0.0,0.40081619999999996,0.8000502055199786,2.003997,2.002121,0.001876,1.0019985,1.0001225,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,34468,8081,6,2026-05-07 12:27:39,2.130142,362.8866056816869,4.225070441313302,2.8167136275422013,1.4083568137711007,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.26626774999999997,2.129421,0.0,0.7042057494716565,2.130142,2.129433,0.0,0.42602840000000003,0.8517023144149839,2.1299759999999996,2.12951,0.000466,1.0649879999999998,1.064522,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.200,172.30.0.10,56990,8081,6,2026-05-07 12:27:40,2.052762,377.5401142460743,4.384336810599573,2.9228912070663817,1.4614456035331909,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.25659524999999994,2.052069,0.0,0.6786253038066643,2.052762,2.052075,0.0,0.41055239999999993,0.82076131703452,2.052692,2.052522,0.00017,1.026346,1.026176,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,57004,8081,6,2026-05-07 12:27:40,2.026819,384.8394947945524,4.440455709167913,2.9603038061119418,1.4801519030559709,6,3,574,206,228,66,95.66666666666667,59.289309510418676,74,66,68.66666666666667,3.7712361663282534,228,66,86.66666666666667,50.1021179414825,2510.222222222222,120,60,20,1,0.25335237499999996,2.026297,0.0,0.6701100855394838,2.0268189999999997,2.026312,0.0,0.40536379999999994,0.8104741051188249,2.026731,2.026445,0.000286,1.0133655,1.0130795,1,0,0,0,2,3,0,1,7,0,0,0.5,86.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66666666666667,68.66666666666667,0,6,3,574,206
172.30.0.200,172.30.0.10,57006,8081,6,2026-05-07 12:27:41,2.098877,372.1037488142469,4.288007348691705,2.85867156579447,1.429335782897235,6,3,575,206,229,66,95.83333333333333,59.66131260894469,74,66,68.66666666666667,3.7712361663282534,229,66,86.77777777777777,50.41555707380142,2541.7283950617284,120,60,20,1,0.262359625,2.09443,0.0,0.6924584703640966,2.098877,2.094439,0.0,0.41977539999999997,0.8373328569797318,2.098807,2.09801,0.000797,1.0494035,1.0486065,1,0,0,0,2,3,0,1,7,0,0,0.5,86.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.83333333333333,68.66666666666667,0,6,3,575,206
172.30.0.200,172.30.0.10,57010,8081,6,2026-05-07 12:27:42,2.003496,387.8220869919381,4.492147725775344,2.9947651505168964,1.4973825752584482,6,3,571,206,225,66,95.16666666666667,58.1733520513378,74,66,68.66666666666667,3.7712361663282534,225,66,86.33333333333333,49.16186417223099,2416.888888888889,120,60,20,1,0.250437,2.000805,0.0,0.6615771259739865,2.0034959999999997,2.001419,0.0,0.4006991999999999,0.8003601240365238,2.003437,2.001152,0.002285,1.0017185,0.9994334999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,86.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.16666666666667,68.66666666666667,0,6,3,571,206
172.30.0.200,172.30.0.10,57026,8081,6,2026-05-07 12:27:42,2.062551,377.6876305119243,4.363528465477945,2.9090189769852963,1.4545094884926482,6,3,573,206,227,66,95.5,58.91731494221372,74,66,68.66666666666667,3.7712361663282534,227,66,86.55555555555556,49.788689280266404,2478.9135802469145,120,60,20,1,0.25781887500000006,2.061354,0.0,0.6816722400025612,2.062551,2.061374,0.0,0.4125102,0.82443193601301,2.0624860000000003,2.061971,0.000515,1.0312430000000001,1.030728,1,0,0,0,2,3,0,1,7,0,0,0.5,86.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,68.66666666666667,0,6,3,573,206
