src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.100,39082,9090,6,2026-05-06 15:10:48,0.000572,1592657.3426573426,15734.265734265733,8741.25874125874,6993.006993006993,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,7.15e-05,0.000335,0.0,0.00010329932235982965,0.000561,0.000387,0.0,0.00014025,0.00014731322920905646,0.0004930000000000001,0.000335,5.7e-05,0.00016433333333333336,0.00012200910712820671,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,39086,9090,6,2026-05-06 15:10:49,0.003699,246282.77912949445,2433.0900243309,1351.7166801838334,1081.3733441470667,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,0.000462375,0.001846,0.0,0.0007504373620596191,0.003665,0.003529,0.0,0.00091625,0.0015087379452708148,0.003662,0.001846,0.000109,0.0012206666666666668,0.0007881126541019092,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,39090,9090,6,2026-05-06 15:10:50,0.000447,2038031.3199105144,20134.228187919463,11185.682326621923,8948.545861297538,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,5.5874999999999996e-05,0.000179,0.0,6.835465876588077e-05,0.000422,0.000349,0.0,0.0001055,0.00014137627099340257,0.000424,0.000191,5.4e-05,0.00014133333333333334,6.19480068731477e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33802,9090,6,2026-05-06 15:10:51,0.000684,1331871.3450292398,13157.894736842105,7309.941520467836,5847.953216374269,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,8.55e-05,0.000299,0.0,0.00011990517086431259,0.0006720000000000001,0.00059,0.0,0.00016800000000000002,0.00024422018753575636,0.0006580000000000001,0.000299,6.2e-05,0.00021933333333333332,0.00011125446308151219,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33812,9090,6,2026-05-06 15:10:52,0.000724,1258287.2928176795,12430.939226519336,6906.077348066298,5524.861878453038,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,9.05e-05,0.000282,0.0,0.00010605658866850282,0.0007,0.00055,0.0,0.00017500000000000003,0.0002187167117528974,0.00068,0.000282,0.000117,0.00022666666666666668,7.754711829304528e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33818,9090,6,2026-05-06 15:10:53,0.007058,129073.39189572117,1275.1487673561915,708.4159818645509,566.7327854916407,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,0.00088225,0.003498,0.0,0.0011396238140281205,0.007043,0.003498,0.0,0.00176075,0.0012369170091400636,0.0060160000000000005,0.004223,0.000124,0.0020053333333333334,0.001690224902852346,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33826,9090,6,2026-05-06 15:10:54,0.003371,270246.2177395432,2669.8309107089885,1483.239394838327,1186.5915158706616,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,0.000421375,0.002087,0.0,0.000655170576548581,0.003341,0.002838,0.0,0.00083525,0.0011702519760718201,0.003345,0.002117,0.00034,0.0011149999999999999,0.0007430024674701064,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33838,9090,6,2026-05-06 15:10:55,0.012746,76651.49850933626,784.5598619174643,470.73591715047854,313.82394476698573,6,4,705,272,359,66,117.5,108.06132518158381,74,66,68.0,3.4641016151377544,359,66,97.7,87.17344779231806,7599.210000000001,120,80,20,1,0.0014162222222222221,0.007043,0.0,0.002522235858993972,0.012731,0.012109,0.0,0.0025462,0.004782787697567184,0.012411,0.007043,0.000143,0.004136999999999999,0.0029200808207993146,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,97.7,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5,68.0,0,6,4,705,272
172.30.0.200,172.30.0.100,33854,9090,6,2026-05-06 15:10:56,0.002631,346256.1763587989,3420.752565564424,1900.4180919802357,1520.3344735841886,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,0.00032887499999999996,0.001387,0.0,0.000488429482499777,0.00261,0.001592,0.0,0.0006525000000000001,0.0006433045546240133,0.00253,0.001408,0.000166,0.0008433333333333334,0.0005132649305075196,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33862,9090,6,2026-05-06 15:10:57,0.012752,71439.77415307403,705.771643663739,392.09535759096616,313.67628607277294,5,4,639,272,359,66,127.8,115.65535007080304,74,66,68.0,3.4641016151377544,359,66,101.22222222222223,91.21132699856695,8319.506172839507,100,80,20,1,0.001594,0.010653,0.0,0.0034606927774652285,0.01273,0.012217,0.0,0.0031825,0.005219558147008231,0.012731999999999999,0.010653,0.000502,0.004244,0.004553047843661064,1,0,0,0,2,3,0,1,7,0,0,0.8,101.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,68.0,0,5,4,639,272
172.30.0.200,172.30.0.100,33872,9090,6,2026-05-06 15:10:58,0.001564,583120.2046035805,5754.475703324808,3196.93094629156,2557.544757033248,5,4,640,272,360,66,128.0,116.05515929936075,74,66,68.0,3.4641016151377544,360,66,101.33333333333333,91.5253456092294,8376.888888888889,100,80,20,1,0.0001955,0.000616,0.0,0.00023044033935055728,0.0015270000000000001,0.001146,0.0,0.00038175000000000004,0.00045375344351310443,0.001497,0.000616,0.000335,0.000499,0.00011943477997077178,1,0,0,0,2,3,0,1,7,0,0,0.8,101.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,68.0,0,5,4,640,272
172.30.0.200,172.30.0.100,33882,9090,6,2026-05-06 15:10:59,0.002073,471780.02894356,4823.92667631452,2894.3560057887116,1929.5706705258078,6,4,706,272,360,66,117.66666666666667,108.43379956862567,74,66,68.0,3.4641016151377544,360,66,97.8,87.47319589451388,7651.56,120,80,20,1,0.0002303333333333333,0.000973,0.0,0.00031367782481039007,0.002048,0.001554,0.0,0.0004096,0.0005798898516097691,0.002023,0.001129,0.000335,0.0006743333333333333,0.0003342507375542432,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,97.8,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.66666666666667,68.0,0,6,4,706,272
