src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,60086,8080,6,2026-05-06 16:14:04,0.000115,2295652.1739130435,34782.608695652176,26086.95652173913,8695.652173913044,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,3.833333333333333e-05,9.9e-05,0.0,4.3392267616349444e-05,0.000115,0.000115,0.0,5.75e-05,5.75e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,60100,8080,6,2026-05-06 16:14:04,2.00129,470.1967231135917,4.497099370905766,2.9980662472705104,1.4990331236352552,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25016125000000006,2.000945,0.0,0.661734059654207,2.00129,2.000955,0.0,0.400258,0.8003485022691053,2.001239,2.001044,0.000195,1.0006195,1.0004245,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,60092,8080,6,2026-05-06 16:14:04,9.1e-05,2901098.901098901,43956.043956043955,32967.03296703297,10989.010989010989,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,3.033333333333333e-05,7.4e-05,0.0,3.1647362537114455e-05,9.1e-05,9.1e-05,0.0,4.55e-05,4.55e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,60102,8080,6,2026-05-06 16:14:04,2.002953,469.8063309523488,4.493365545771668,2.995577030514445,1.4977885152572226,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250369125,2.001796,0.0,0.6619771690363343,2.002953,2.001841,0.0,0.4005906,0.8006252342799596,2.0028799999999998,2.002233,0.000647,1.0014399999999999,1.0007929999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,60094,8080,6,2026-05-06 16:14:05,0.000662,398791.54078549845,6042.296072507553,4531.722054380664,1510.5740181268882,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00022066666666666665,0.000615,0.0,0.00027949517984315143,0.000662,0.000662,0.0,0.000331,0.000331,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,60112,8080,6,2026-05-06 16:14:05,2.003564,509.5919072213316,4.491995264438771,2.994663509625847,1.4973317548129235,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.2504455,2.003222,0.0,0.6624872505631713,2.003564,2.003227,0.0,0.4007128,0.8012571060138935,2.00352,2.00347,5e-05,1.00176,1.0017099999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
172.30.0.200,172.30.0.10,60116,8080,6,2026-05-06 16:14:06,2.003491,469.68017325757893,4.492158936576207,2.9947726243841375,1.4973863121920687,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250436375,2.002725,0.0,0.6623028752262701,2.003491,2.002739,0.0,0.4006982,0.8010204309575132,2.0034430000000003,2.002794,0.000649,1.0017215000000002,1.0010725000000003,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,60120,8080,6,2026-05-06 16:14:06,2.004956,469.33698295623446,4.488876563874719,2.992584375916479,1.4962921879582396,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.2506195,2.004262,0.0,0.662814577077745,2.004956,2.004269,0.0,0.4009911999999999,0.8016389151133818,2.004904,2.004669,0.000235,1.002452,1.002217,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,60130,8080,6,2026-05-06 16:14:07,2.003389,539.5856720786627,4.492387649128552,2.9949250994190346,1.4974625497095173,6,3,875,206,529,66,145.83333333333334,171.3946874581849,74,66,68.66666666666667,3.7712361663282534,529,66,120.11111111111111,144.61016134916696,20912.098765432103,120,60,20,1,0.25042362500000004,2.002046,0.0,0.6620510700948488,2.003389,2.002075,0.0,0.4006778000000001,0.8006986378940332,2.0026710000000003,2.002168,0.000503,1.0013355000000002,1.0008325,1,0,0,0,2,3,0,1,7,0,0,0.5,120.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.83333333333334,68.66666666666667,0,6,3,875,206
172.30.0.200,172.30.0.10,60134,8080,6,2026-05-06 16:14:07,2.002119,509.95969770028654,4.495237296084798,2.9968248640565323,1.4984124320282661,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.250264875,2.001113,0.0,0.6617584218699898,2.002119,2.001121,0.0,0.4004238,0.8003486357338032,2.002065,2.001749,0.000316,1.0010325,1.0007165,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
