src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.14,172.30.0.20,50917,1883,6,2026-05-07 12:22:44,0.002066,452081.31655372697,4840.27105517909,3388.1897386253627,1452.081316553727,7,3,724,210,280,66,103.42857142857143,72.84201523621837,74,66,70.0,3.265986323710904,280,66,93.4,62.86525272358332,3952.04,140,60,20,2,0.00022955555555555557,0.000833,0.0,0.0003166660038979419,0.002066,0.000886,0.0,0.00034433333333333337,0.0003693583024050705,0.0017200000000000002,0.000929,0.000791,0.0008600000000000001,6.9e-05,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.42857142857143,70.0,0,7,3,724,210
172.30.0.11,172.30.0.10,52392,8080,6,2026-05-07 12:22:48,0.005409,142725.08781660197,1663.893510815308,1109.2623405435386,554.6311702717693,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0006761250000000001,0.004067,0.0,0.0013335545018389762,0.005409000000000001,0.004067,0.0,0.0010818,0.0015581628156261464,0.005327,0.004125,0.001202,0.0026635,0.0014615000000000001,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.14,172.30.0.20,47073,1883,6,2026-05-07 12:22:50,0.004424,253616.63652802893,2938.517179023508,1808.3182640144666,1130.1989150090417,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.1999999999999997,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,0.00036866666666666667,0.003852,0.0,0.0010516780506515395,0.004424,0.003906,0.0,0.000632,0.0013379246188460266,0.004336,0.00389,7.2e-05,0.001084,0.001620740417216773,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,68.4,0,8,5,780,342
172.30.0.12,172.30.0.10,59308,8080,6,2026-05-07 12:22:50,0.007873,98183.66569287439,1143.147466023117,762.098310682078,381.049155341039,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000984125,0.007639,0.0,0.0025154996738968186,0.007873,0.007696,0.0,0.0015746,0.0030608892564089932,0.007787,0.007658,0.000129,0.0038935,0.0037645,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.11,172.30.0.10,45852,8080,6,2026-05-07 12:22:52,0.006392,120932.41551939925,1408.0100125156446,938.6733416770963,469.3366708385482,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000799,0.004968,0.0,0.0016239342659110313,0.006392,0.005019,0.0,0.0012784,0.0019258423196097858,0.006299,0.005018,0.001281,0.0031495,0.0018685,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.12,172.30.0.10,37888,8080,6,2026-05-07 12:22:55,0.003235,238639.87635239566,2782.0710973724886,1854.7140649149922,927.3570324574961,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000404375,0.003051,0.0,0.0010005742023333401,0.003235,0.003094,0.0,0.000647,0.0012237503013278485,0.0031590000000000003,0.003066,9.3e-05,0.0015795000000000002,0.0014865,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.11,172.30.0.10,45856,8080,6,2026-05-07 12:22:55,0.002468,313209.0761750405,3646.6774716369528,2431.118314424635,1215.5591572123176,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0003085,0.00225,0.0,0.0007343764361688084,0.002468,0.002294,0.0,0.0004936000000000001,0.0009007762430259804,0.002395,0.00227,0.000125,0.0011975,0.0010724999999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.14,172.30.0.20,35971,1883,6,2026-05-07 12:22:57,0.002007,591928.2511210762,6975.585450921773,4484.304932735426,2491.2805181863478,9,5,846,342,280,54,94.0,66.69999167083073,74,66,68.4,3.1999999999999997,280,54,84.85714285714286,54.90102411594517,3014.122448979593,180,100,20,3,0.0001543846153846154,0.000886,0.0,0.00026199311161277574,0.002007,0.000943,0.0,0.000250875,0.0003200591498067193,0.001098,0.000667,6.5e-05,0.0002745,0.00024415824786396217,3,1,0,0,1,3,2,4,11,0,0,0.5555555555555556,84.85714285714286,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,68.4,0,9,5,846,342
172.30.0.11,172.30.0.10,37606,8080,6,2026-05-07 12:23:00,0.007661,100900.66570943741,1174.7813601357525,783.187573423835,391.5937867119175,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0009576249999999999,0.006966,0.0,0.0022763034143925102,0.007660999999999999,0.007003,0.0,0.0015321999999999998,0.002741219830659336,0.0075769999999999995,0.007016,0.000561,0.0037884999999999998,0.0032275,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.12,172.30.0.10,37686,8080,6,2026-05-07 12:23:01,0.002977,259321.46456163924,3023.1776956667786,2015.4517971111857,1007.7258985555928,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000372125,0.001841,0.0,0.0005987335462248628,0.002977,0.001957,0.0,0.0005954,0.000728464302488461,0.0028209999999999997,0.001914,0.000907,0.0014104999999999999,0.0005034999999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
