src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,39104,8080,6,2026-05-07 13:44:28,0.000132,1999999.9999999998,30303.0303030303,22727.272727272724,7575.757575757575,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,4.4000000000000006e-05,0.000107,0.0,4.5701932854822084e-05,0.000132,0.000132,0.0,6.6e-05,6.6e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,39106,8080,6,2026-05-07 13:44:28,2.012747,487.3935969100935,4.471500889083426,2.9810005927222845,1.4905002963611422,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.251593375,2.01129,0.0,0.6651028696261836,2.012747,2.0113,0.0,0.4025494,0.8043753601787165,2.012691,2.011904,0.000787,1.0063455,1.0055585,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,48681,1883,6,2026-05-07 13:44:29,1.407732,3848.033574572433,26.28341189942404,14.207249675364345,12.076162224059694,20,17,4283,1134,309,66,214.15,115.68330692022941,74,66,66.70588235294117,2.0512465616661992,309,66,146.40540540540542,112.40550613123642,12634.997808619428,400,340,20,14,0.03910366666666667,1.001525,0.0,0.16377835311192854,1.407732,1.001619,0.0,0.07409115789473684,0.21965142850800368,1.407686,1.00181,5.2e-05,0.087980375,0.2368667168749324,14,1,0,0,2,3,0,15,35,0,0,0.85,146.40540540540542,64240,65160,0,0,0,0,0,0,0,0,2909.0,12.0,0,0,7207.113463105971077400285906,0,214.15,66.70588235294117,0,20,17,4283,1134
172.30.0.200,172.30.0.10,39112,8080,6,2026-05-07 13:44:30,2.00344,489.65778860360183,4.492273289941301,2.9948488599608676,1.4974244299804338,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25043000000000004,2.003061,0.0,0.6624322580132251,2.00344,2.003066,0.0,0.40068800000000004,0.8011890070181942,2.0034009999999998,2.003341,6e-05,1.0017004999999999,1.0016405,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,38725,1883,6,2026-05-07 13:44:31,1.321541,3999.8759024502456,26.484233179295988,14.377155154474965,12.107078024821023,19,16,4218,1068,551,66,222.0,138.09493302187371,74,66,66.75,2.1065374432940898,551,66,151.02857142857144,127.81157687656258,16335.799183673465,380,320,20,13,0.03886885294117648,1.008966,0.0,0.16958984697813312,1.3215409999999999,1.008981,0.0,0.07341894444444445,0.22758026173112647,1.321207,1.008991,3.5e-05,0.08808046666666666,0.24671618844220355,13,1,0,0,2,3,0,14,33,0,0,0.8421052631578947,151.02857142857144,64240,65160,0,0,0,0,0,0,0,0,2910.0,11.0,0,0,9384.523598368189367431510715,0,222.0,66.75,0,19,16,4218,1068
172.30.0.200,172.30.0.10,59370,8080,6,2026-05-07 13:44:32,2.002625,489.8570626053305,4.494101491792023,2.9960676611946817,1.4980338305973409,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25032812499999996,2.001902,0.0,0.6620327253647355,2.002625,2.001906,0.0,0.4005249999999999,0.8006905384793803,2.0025589999999998,2.002515,4.4e-05,1.0012794999999999,1.0012355,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,44323,1883,6,2026-05-07 13:44:32,1.349857,4015.240132843701,27.410310869966224,14.075565041334007,13.334745828632217,19,18,4220,1200,309,66,222.10526315789474,113.57070356892781,74,66,66.66666666666667,2.0,309,66,146.48648648648648,112.52233931274262,12661.276844411981,380,360,20,14,0.037496027777777774,1.036959,0.0,0.16959145393865516,1.349555,1.036985,0.0,0.07497527777777778,0.23391712767673503,1.349837,1.037172,5.9e-05,0.07940217647058823,0.2400279217417731,14,1,0,0,2,3,0,15,35,0,0,0.9473684210526315,146.48648648648648,64240,65160,0,0,0,0,0,0,0,0,2912.0,12.0,0,0,9461.580200863629126850807906,0,222.10526315789474,66.66666666666667,0,19,18,4220,1200
172.30.0.200,172.30.0.20,56485,1883,6,2026-05-07 13:44:34,1.370771,3949.602085249834,26.992108820510502,14.590329092167838,12.401779728342664,20,17,4280,1134,309,66,214.0,115.56080650462768,74,66,66.70588235294117,2.0512465616661992,309,66,146.32432432432432,112.28849284117881,12608.705624543463,400,340,20,14,0.03807697222222223,1.010485,0.0,0.1658564761023294,1.370771,1.0105,0.0,0.07214584210526316,0.2229278779341835,1.370708,1.011132,0.000136,0.08566925,0.24065036854285615,14,1,0,0,2,3,0,15,35,0,0,0.85,146.32432432432432,64240,65160,0,0,0,0,0,0,0,0,2906.0,12.0,0,0,8145.372189692432315769115417,0,214.0,66.70588235294117,0,20,17,4280,1134
172.30.0.200,172.30.0.10,59374,8080,6,2026-05-07 13:44:34,2.007188,488.7434560190674,4.483884917606123,2.9892566117374155,1.4946283058687078,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.2508985,2.004293,0.0,0.6627209915564015,2.0071879999999998,2.004828,0.0,0.40143759999999995,0.8016953646378653,2.007121,2.005256,0.001865,1.0035605,1.0016955,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,37399,1883,6,2026-05-07 13:44:35,1.258876,4302.250579088011,29.39129826924971,15.88718825364849,13.504110015601217,20,17,4282,1134,309,66,214.1,115.64250948505051,74,66,66.70588235294117,2.0512465616661992,309,66,146.3783783783784,112.36652174104687,12626.235208181159,400,340,20,14,0.03496877777777777,1.003065,0.0,0.16406811057219012,1.258876,1.003077,0.0,0.06625663157894736,0.22120582502376201,1.2588460000000001,1.003082,0.000106,0.07867787500000001,0.23903570613636232,14,1,0,0,2,3,0,15,35,0,0,0.85,146.3783783783784,64240,65160,0,0,0,0,0,0,0,0,2908.0,12.0,0,0,11477.42207943418045759708249,0,214.1,66.70588235294117,0,20,17,4282,1134
172.30.0.200,172.30.0.10,59386,8080,6,2026-05-07 13:44:36,2.006224,488.97829953185686,4.486039445246393,2.9906929634975956,1.4953464817487978,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.25077799999999995,2.005858,0.0,0.6633578901814615,2.006224,2.005866,0.0,0.4012448,0.8023106031221077,2.006185,2.006039,0.000146,1.0030925,1.0029465,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,54877,1883,6,2026-05-07 13:44:36,1.317698,4010.7824402860138,26.561473114476915,14.419085405001752,12.14238770947516,19,16,4217,1068,552,66,221.94736842105263,138.1545563506438,74,66,66.75,2.1065374432940898,552,66,151.0,127.83069159746306,16340.685714285713,380,320,20,13,0.03875582352941176,1.001091,0.0,0.16838040510237362,1.317698,1.001108,0.0,0.07320544444444442,0.22590824945372606,1.317653,1.001106,3.5e-05,0.08784353333333333,0.2448854319445093,13,1,0,0,2,3,0,14,33,0,0,0.8421052631578947,151.0,64240,65160,0,0,0,0,0,0,0,0,2909.0,11.0,0,0,9268.227407700052251264862936,0,221.94736842105263,66.75,0,19,16,4217,1068
172.30.0.200,172.30.0.20,47431,1883,6,2026-05-07 13:44:38,1.274177,4253.726130671014,29.038351814543823,15.696406386239904,13.341945428303918,20,17,4286,1134,309,66,214.3,115.80548346257184,74,66,66.70588235294117,2.0512465616661992,309,66,146.48648648648648,112.5223393127426,12661.27684441198,400,340,20,14,0.03539380555555555,1.002237,0.0,0.16386938421597644,1.2741770000000001,1.002253,0.0,0.06706194736842105,0.22081692529534952,1.2741520000000002,1.00225,5.3e-05,0.0796345,0.23855795943465186,14,1,0,0,2,3,0,15,35,0,0,0.85,146.48648648648648,64240,65160,0,0,0,0,0,0,0,0,2912.0,12.0,0,0,10772.37802464477417588718598,0,214.3,66.70588235294117,0,20,17,4286,1134
172.30.0.200,172.30.0.10,59390,8080,6,2026-05-07 13:44:38,2.365348,414.73812732841003,3.8049369479670645,2.536624631978043,1.2683123159890215,6,3,775,206,429,66,129.16666666666666,134.13726385891266,74,66,68.66666666666667,3.7712361663282534,429,66,109.0,113.19599521773434,12813.333333333334,120,60,20,1,0.29566849999999995,2.364776,0.0,0.7820491326110848,2.365348,2.364784,0.0,0.4730696,0.9458572069873126,2.3653,2.36507,0.00023,1.18265,1.18242,1,0,0,0,2,3,0,1,7,0,0,0.5,109.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16666666666666,68.66666666666667,0,6,3,775,206
172.30.0.200,172.30.0.20,46549,1883,6,2026-05-07 13:44:39,1.26726,4168.047598756372,27.61864179410697,14.203872922683585,13.414768871423385,18,17,4148,1134,550,66,230.44444444444446,136.53213794326237,74,66,66.70588235294117,2.0512465616661992,550,66,150.9142857142857,127.61647261083758,16285.964081632656,360,340,20,13,0.037272352941176465,1.018295,0.0,0.1711873821406518,1.267242,1.018308,0.0,0.07454364705882353,0.23629790343346657,1.267236,1.018308,0.0001,0.07920225000000002,0.24282334283628396,13,1,0,0,2,3,0,14,33,0,0,0.9444444444444444,150.9142857142857,64240,65160,0,0,0,0,0,0,0,0,2906.0,11.0,0,0,11847.87749310980283435802932,0,230.44444444444446,66.70588235294117,0,18,17,4148,1134
