filename,label,attack_type
benign_ref01.pcap,0,benign
benign_ref02.pcap,0,benign
benign_ref03.pcap,0,benign
benign_ref04.pcap,0,benign
bruteforce_ref01.pcap,1,bruteforce
bruteforce_ref02.pcap,1,bruteforce
bruteforce_ref03.pcap,1,bruteforce
c2_ref01.pcap,1,c2_beacon
c2_ref02.pcap,1,c2_beacon
c2_ref03.pcap,1,c2_beacon
c2_ref04.pcap,1,c2_beacon
dos_flood_ref01.pcap,1,dos_flood
dos_flood_ref02.pcap,1,dos_flood
dos_flood_ref03.pcap,1,dos_flood
dos_flood_ref04.pcap,1,dos_flood
mqtt_abuse_ref01.pcap,1,mqtt_abuse
mqtt_abuse_ref02.pcap,1,mqtt_abuse
mqtt_abuse_ref03.pcap,1,mqtt_abuse
mqtt_abuse_ref04.pcap,1,mqtt_abuse
slow_dos_ref01.pcap,1,slow_dos
slow_dos_ref02.pcap,1,slow_dos
slow_dos_ref03.pcap,1,slow_dos
slow_dos_ref04.pcap,1,slow_dos
scan_ref01.pcap,1,scan
