src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,37226,8081,6,2026-05-07 13:37:35,2.011593,385.26680098807265,4.474066075990521,2.982710717327014,1.491355358663507,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.25144912499999994,2.011018,0.0,0.665054538426819,2.011593,2.011023,0.0,0.4023185999999999,0.8043522195980067,2.011545,2.011479,6.6e-05,1.0057725,1.0057065,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,37240,8081,6,2026-05-07 13:37:37,2.242456,347.38697214125943,4.0134566742892614,2.675637782859508,1.337818891429754,6,3,573,206,227,66,95.5,58.91731494221372,74,66,68.66666666666667,3.7712361663282534,227,66,86.55555555555556,49.788689280266404,2478.9135802469145,120,60,20,1,0.280307,2.239522,0.0,0.7405139013555045,2.242456,2.239541,0.0,0.4484912,0.8955251193916115,2.2424009999999996,2.24096,0.001441,1.1212004999999998,1.1197594999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,86.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,68.66666666666667,0,6,3,573,206
172.30.0.200,172.30.0.10,51564,8081,6,2026-05-07 13:37:40,2.003817,388.25900768383536,4.491428109453109,2.994285406302072,1.497142703151036,6,3,572,206,226,66,95.33333333333333,58.54532906693373,74,66,68.66666666666667,3.7712361663282534,226,66,86.44444444444444,49.47527128915821,2447.8024691358023,120,60,20,1,0.250477125,2.002995,0.0,0.66238951444853,2.0038169999999997,2.003001,0.0,0.40076340000000005,0.8011188218551851,2.0037570000000002,2.003473,0.000284,1.0018785000000001,1.0015945000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,86.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333333,68.66666666666667,0,6,3,572,206
172.30.0.200,172.30.0.10,51572,8081,6,2026-05-07 13:37:42,2.062021,375.35990176627683,4.364650020538103,2.9097666803587354,1.4548833401793677,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.25775262499999996,2.061566,0.0,0.6817773750495717,2.0620209999999997,2.061574,0.0,0.41240419999999994,0.8245849046142912,2.061846,2.061635,0.000211,1.030923,1.0307119999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
172.30.0.200,172.30.0.10,51578,8081,6,2026-05-07 13:37:44,2.002638,388.9869262442838,4.49407231861175,2.996048212407834,1.498024106203917,6,3,573,206,227,66,95.5,58.91731494221372,74,66,68.66666666666667,3.7712361663282534,227,66,86.55555555555556,49.788689280266404,2478.9135802469145,120,60,20,1,0.25032974999999996,2.002315,0.0,0.6621881841419307,2.0026379999999997,2.002328,0.0,0.40052759999999993,0.8009002024486196,2.0025939999999998,2.002382,0.000212,1.0012969999999999,1.0010849999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,86.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,68.66666666666667,0,6,3,573,206
172.30.0.200,172.30.0.10,51584,8081,6,2026-05-07 13:37:46,2.414471,321.39545266851417,3.7275245799183345,2.485016386612223,1.2425081933061115,6,3,570,206,224,66,95.0,57.8013840664737,74,66,68.66666666666667,3.7712361663282534,224,66,86.22222222222223,48.84846813878786,2386.1728395061723,120,60,20,1,0.301808875,2.413503,0.0,0.7981453739589734,2.4144710000000003,2.413511,0.0,0.48289420000000005,0.9653084479140127,2.413993,2.413907,8.6e-05,1.2069965,1.2069105,1,0,0,0,2,3,0,1,7,0,0,0.5,86.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,68.66666666666667,0,6,3,570,206
172.30.0.200,172.30.0.10,51586,8081,6,2026-05-07 13:37:49,2.001618,385.68797842545376,4.496362442783788,2.9975749618558583,1.4987874809279291,6,3,566,206,220,66,94.33333333333333,56.313606013309276,74,66,68.66666666666667,3.7712361663282534,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.25020225,2.001026,0.0,0.6617491819832023,2.001618,2.001103,0.0,0.4003236,0.8003897059869273,2.0015829999999997,2.0012,0.000383,1.0007914999999998,1.0004085,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33333333333333,68.66666666666667,0,6,3,566,206
172.30.0.200,172.30.0.10,56940,8081,6,2026-05-07 13:37:51,2.001969,386.61937322705796,4.495574107291372,2.9970494048609146,1.4985247024304573,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.25024612500000004,2.001679,0.0,0.6619794054750566,2.001969,2.001689,0.0,0.40039379999999997,0.800647601891219,2.001931,2.001749,0.000182,1.0009655,1.0007834999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
172.30.0.200,172.30.0.10,56944,8081,6,2026-05-07 13:37:53,2.002545,388.0062620315648,4.494281027392643,2.996187351595095,1.4980936757975476,6,3,571,206,225,66,95.16666666666667,58.1733520513378,74,66,68.66666666666667,3.7712361663282534,225,66,86.33333333333333,49.16186417223099,2416.888888888889,120,60,20,1,0.25031812499999995,2.00222,0.0,0.6621566709736143,2.002545,2.002229,0.0,0.4005089999999999,0.800860001943161,2.002499,2.002297,0.000202,1.0012495,1.0010475,1,0,0,0,2,3,0,1,7,0,0,0.5,86.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.16666666666667,68.66666666666667,0,6,3,571,206
172.30.0.200,172.30.0.10,56958,8081,6,2026-05-07 13:37:55,2.017976,383.0570829385483,4.45991429035826,2.973276193572173,1.4866380967860866,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.25224700000000005,2.013161,0.0,0.6655641751549959,2.017976,2.013272,0.0,0.4035952000000001,0.8048397713809626,2.01791,2.013753,0.004157,1.008955,1.0047979999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.200,172.30.0.10,56968,8081,6,2026-05-07 13:37:57,2.13104,365.07996095802986,4.223290036789549,2.8155266911930323,1.4077633455965162,6,3,572,206,226,66,95.33333333333333,58.54532906693373,74,66,68.66666666666667,3.7712361663282534,226,66,86.44444444444444,49.47527128915821,2447.8024691358023,120,60,20,1,0.26637999999999995,2.130562,0.0,0.7045945720258211,2.13104,2.13057,0.0,0.42620800000000003,0.8521810056468051,2.1309780000000003,2.130821,0.000157,1.0654890000000001,1.065332,1,0,0,0,2,3,0,1,7,0,0,0.5,86.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333333,68.66666666666667,0,6,3,572,206
172.30.0.200,172.30.0.10,56980,8081,6,2026-05-07 13:37:59,2.003077,389.4009067050343,4.493087385058088,2.995391590038725,1.4976957950193626,6,3,574,206,228,66,95.66666666666667,59.289309510418676,74,66,68.66666666666667,3.7712361663282534,228,66,86.66666666666667,50.1021179414825,2510.222222222222,120,60,20,1,0.25038462499999997,2.002836,0.0,0.6623643614327649,2.0030769999999998,2.002843,0.0,0.40061539999999995,0.8011138010017304,2.00304,2.002909,0.000131,1.00152,1.0013889999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,86.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66666666666667,68.66666666666667,0,6,3,574,206
172.30.0.200,172.30.0.10,60182,8081,6,2026-05-07 13:38:01,2.001482,387.21307511134245,4.496667969034944,2.9977786460232965,1.4988893230116482,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.25018524999999997,2.00113,0.0,0.6617949117579308,2.001482,2.001142,0.0,0.40029640000000005,0.8004228020836489,2.0014309999999997,2.001251,0.00018,1.0007154999999999,1.0005354999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,60186,8081,6,2026-05-07 13:38:04,2.245355,347.3838212665703,4.008274860768119,2.6721832405120796,1.3360916202560398,6,3,574,206,228,66,95.66666666666667,59.289309510418676,74,66,68.66666666666667,3.7712361663282534,228,66,86.66666666666667,50.1021179414825,2510.222222222222,120,60,20,1,0.28066937499999994,2.243461,0.0,0.741865697460116,2.245355,2.243477,0.0,0.4490709999999999,0.8972032180120622,2.2452859999999997,2.243568,0.001718,1.1226429999999998,1.120925,1,0,0,0,2,3,0,1,7,0,0,0.5,86.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66666666666667,68.66666666666667,0,6,3,574,206
172.30.0.200,172.30.0.10,60200,8081,6,2026-05-07 13:38:06,2.001328,387.2428707338327,4.497013982715477,2.998009321810318,1.499004660905159,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.250166,2.000434,0.0,0.6615391475842528,2.001328,2.000444,0.0,0.4002656,0.800089224910972,2.001281,2.000649,0.000632,1.0006405,1.0000085,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,60216,8081,6,2026-05-07 13:38:08,2.069498,377.8694156747192,4.3488807430594285,2.8992538287062857,1.4496269143531428,6,3,576,206,230,66,96.0,60.03332407921454,74,66,68.66666666666667,3.7712361663282534,230,66,86.88888888888889,50.729006483129865,2573.432098765432,120,60,20,1,0.25868725000000004,2.067162,0.0,0.6835395455253029,2.069498,2.067236,0.0,0.4138996,0.8266685887562439,2.0694540000000003,2.067238,0.002216,1.0347270000000002,1.032511,1,0,0,0,2,3,0,1,7,0,0,0.5,86.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,68.66666666666667,0,6,3,576,206
172.30.0.200,172.30.0.10,47690,8081,6,2026-05-07 13:38:10,2.376598,326.5171476202538,3.786925681162738,2.5246171207751584,1.2623085603875792,6,3,570,206,224,66,95.0,57.8013840664737,74,66,68.66666666666667,3.7712361663282534,224,66,86.22222222222223,48.84846813878786,2386.1728395061723,120,60,20,1,0.29707475,2.374634,0.0,0.7852437163450832,2.376598,2.374648,0.0,0.4753196,0.9496643357255447,2.376482,2.376053,0.000429,1.188241,1.187812,1,0,0,0,2,3,0,1,7,0,0,0.5,86.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,68.66666666666667,0,6,3,570,206
172.30.0.200,172.30.0.10,47692,8081,6,2026-05-07 13:38:13,2.015468,386.5107260447698,4.465464100645607,2.9769760670970715,1.4884880335485358,6,3,573,206,227,66,95.5,58.91731494221372,74,66,68.66666666666667,3.7712361663282534,227,66,86.55555555555556,49.788689280266404,2478.9135802469145,120,60,20,1,0.2519335,2.014885,0.0,0.6663330419446795,2.015468,2.014897,0.0,0.40309359999999994,0.8059017070505806,2.015404,2.015083,0.000321,1.007702,1.007381,1,0,0,0,2,3,0,1,7,0,0,0.5,86.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,68.66666666666667,0,6,3,573,206
172.30.0.200,172.30.0.10,47702,8081,6,2026-05-07 13:38:15,2.09677,370.5699719091746,4.292316276940246,2.861544184626831,1.4307720923134155,6,3,571,206,225,66,95.16666666666667,58.1733520513378,74,66,68.66666666666667,3.7712361663282534,225,66,86.33333333333333,49.16186417223099,2416.888888888889,120,60,20,1,0.26209625,2.096053,0.0,0.6931705225946841,2.0967700000000002,2.096058,0.0,0.41935400000000006,0.8383520326275831,2.096714,2.096652,6.2e-05,1.048357,1.048295,1,0,0,0,2,3,0,1,7,0,0,0.5,86.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.16666666666667,68.66666666666667,0,6,3,571,206
172.30.0.200,172.30.0.10,47714,8081,6,2026-05-07 13:38:17,2.004809,388.56569378928367,4.48920570488261,2.9928038032550734,1.4964019016275367,6,3,573,206,227,66,95.5,58.91731494221372,74,66,68.66666666666667,3.7712361663282534,227,66,86.55555555555556,49.788689280266404,2478.9135802469145,120,60,20,1,0.250601125,2.00134,0.0,0.6617179367484376,2.0048090000000003,2.001358,0.0,0.40096180000000003,0.8001990554956686,2.0047449999999998,2.001455,0.00329,1.0023724999999999,0.9990825,1,0,0,0,2,3,0,1,7,0,0,0.5,86.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,68.66666666666667,0,6,3,573,206
