src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,33954,8081,6,2026-05-07 12:25:58,0.000747,353413.6546184739,5354.75234270415,4016.064257028112,1338.6880856760374,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00024900000000000004,0.000697,0.0,0.0003174408081306918,0.000747,0.000747,0.0,0.0003735,0.0003735,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,33964,8081,6,2026-05-07 12:25:58,2.047096,381.5160598232814,4.396471880165855,2.9309812534439033,1.4654906267219516,6,3,575,206,229,66,95.83333333333333,59.66131260894469,74,66,68.66666666666667,3.7712361663282534,229,66,86.77777777777777,50.41555707380142,2541.7283950617284,120,60,20,1,0.255887,2.044702,0.0,0.6761088900789206,2.047096,2.04471,0.0,0.4094192,0.8176458490650826,2.04701,2.046898,0.000112,1.023505,1.023393,1,0,0,0,2,3,0,1,7,0,0,0.5,86.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.83333333333333,68.66666666666667,0,6,3,575,206
172.30.0.200,172.30.0.10,41608,8081,6,2026-05-07 12:26:00,2.004296,387.1683623576557,4.4903547180655945,2.99356981204373,1.496784906021865,6,3,570,206,224,66,95.0,57.8013840664737,74,66,68.66666666666667,3.7712361663282534,224,66,86.22222222222223,48.84846813878786,2386.1728395061723,120,60,20,1,0.250537,2.003011,0.0,0.6623729929514789,2.004296,2.003022,0.0,0.4008592,0.8010815005222378,2.004188,2.00405,0.000138,1.002094,1.001956,1,0,0,0,2,3,0,1,7,0,0,0.5,86.22222222222223,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,68.66666666666667,0,6,3,570,206
172.30.0.200,172.30.0.10,41614,8081,6,2026-05-07 12:26:01,2.006765,385.6953853590231,4.484830062314222,2.989886708209481,1.4949433541047406,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.250845625,2.003652,0.0,0.6624988346119822,2.006765,2.003667,0.0,0.401353,0.8011572849844155,2.006682,2.005322,0.00136,1.003341,1.001981,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
172.30.0.200,172.30.0.10,41616,8081,6,2026-05-07 12:26:02,2.089313,370.4567003603577,4.307636050701833,2.8717573671345553,1.4358786835672777,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.26116412499999997,2.087982,0.0,0.6904723217525516,2.089313,2.088012,0.0,0.4178626,0.8350747699947831,2.089196,2.088168,0.001028,1.044598,1.04357,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
172.30.0.200,172.30.0.10,41624,8081,6,2026-05-07 12:26:03,2.979243,259.79753917354174,3.020901618296997,2.013934412197998,1.006967206098999,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.372405375,2.96869,0.0,0.9813087793834234,2.979243,2.968711,0.0,0.5958486,1.1864374889418488,2.97912,2.978742,0.000378,1.48956,1.489182,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
172.30.0.200,172.30.0.10,41636,8081,6,2026-05-07 12:26:05,2.00202,388.6075064185173,4.495459585818324,2.996973057212216,1.498486528606108,6,3,572,206,226,66,95.33333333333333,58.54532906693373,74,66,68.66666666666667,3.7712361663282534,226,66,86.44444444444444,49.47527128915821,2447.8024691358023,120,60,20,1,0.25025250000000004,2.001428,0.0,0.6618821332306835,2.00202,2.001451,0.0,0.400404,0.8005235082646854,2.00194,2.001541,0.000399,1.00097,1.0005709999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,86.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333333,68.66666666666667,0,6,3,572,206
172.30.0.200,172.30.0.10,41650,8081,6,2026-05-07 12:26:06,2.080887,371.47620221568974,4.325078680389661,2.88338578692644,1.44169289346322,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.7712361663282534,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.260110875,2.079556,0.0,0.6876856486099658,2.0808869999999997,2.079566,0.0,0.4161773999999999,0.8316943363535908,2.0807569999999997,2.079951,0.000806,1.0403784999999999,1.0395724999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,68.66666666666667,0,6,3,567,206
172.30.0.200,172.30.0.10,41660,8081,6,2026-05-07 12:26:07,2.002355,387.0442553892791,4.494707481940015,2.996471654626677,1.4982358273133385,6,3,569,206,223,66,94.83333333333333,57.42942528781643,74,66,68.66666666666667,3.7712361663282534,223,66,86.11111111111111,48.53508340353043,2355.654320987655,120,60,20,1,0.250294375,2.000752,0.0,0.6616108702851582,2.002355,2.001058,0.0,0.400471,0.8002935847894822,2.002269,2.000908,0.001361,1.0011345,0.9997735,1,0,0,0,2,3,0,1,7,0,0,0.5,86.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.83333333333333,68.66666666666667,0,6,3,569,206
172.30.0.200,172.30.0.10,41666,8081,6,2026-05-07 12:26:08,2.008178,385.42400125885257,4.481674433242471,2.987782955494981,1.4938914777474905,6,3,568,206,222,66,94.66666666666667,57.057475895412296,74,66,68.66666666666667,3.7712361663282534,222,66,86.0,48.22171018673367,2325.3333333333335,120,60,20,1,0.25102225,2.007543,0.0,0.6639024461322894,2.008178,2.007567,0.0,0.4016356,0.8029657064990011,2.0080869999999997,2.007739,0.000348,1.0040434999999999,1.0036954999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,86.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66666666666667,68.66666666666667,0,6,3,568,206
