src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,36734,8080,6,2026-05-07 12:47:49,0.000182,1450549.4505494505,21978.021978021978,16483.516483516483,5494.505494505494,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,6.0666666666666666e-05,0.000163,0.0,7.277514838337482e-05,0.000182,0.000182,0.0,9.1e-05,9.1e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,36746,8080,6,2026-05-07 12:47:49,0.000645,409302.32558139536,6201.5503875969,4651.162790697675,1550.387596899225,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000215,0.000624,0.0,0.00028933371735765604,0.000645,0.000645,0.0,0.0003225,0.0003225,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,36784,8080,6,2026-05-07 12:47:49,2.002024,440.0546646793445,4.495450603988763,2.996967069325842,1.498483534662921,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.250253,2.00189,0.0,0.6620565558179301,2.002024,2.001894,0.0,0.4004048,0.8007446002548877,2.001993,2.001935,5.8e-05,1.0009965,1.0009385000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,36792,8080,6,2026-05-07 12:47:49,2.003343,629.4478778721367,4.492490801625084,2.994993867750056,1.497496933875028,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.250417875,2.002319,0.0,0.66215645595498,2.003343,2.002323,0.0,0.40066860000000004,0.8008272830593623,2.0033079999999996,2.003265,4.3e-05,1.0016539999999998,1.001611,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,36762,8080,6,2026-05-07 12:47:50,0.000267,988764.0449438203,14981.273408239702,11235.955056179775,3745.3183520599255,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,8.9e-05,0.00023,0.0,0.0001008398069547273,0.000267,0.000267,0.0,0.0001335,0.0001335,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,36774,8080,6,2026-05-07 12:47:50,0.001163,226999.14015477215,3439.3809114359415,2579.535683576956,859.8452278589854,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00038766666666666664,0.001133,0.0,0.0005271725418578711,0.001163,0.001163,0.0,0.0005815,0.0005815,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,54528,8080,6,2026-05-07 12:47:50,2.029153,498.2374419277403,4.435348147724691,2.956898765149794,1.478449382574897,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.253644125,2.028206,0.0,0.6707213822175787,2.029153,2.028215,0.0,0.4058306,0.8111922472185246,2.029086,2.028925,0.000161,1.014543,1.0143820000000001,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,54532,8080,6,2026-05-07 12:47:50,2.058709,408.50843902659386,4.371671761283406,2.9144478408556043,1.4572239204278021,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.257338625,2.056564,0.0,0.6800435989559672,2.058709,2.05657,0.0,0.4117418,0.8224144847018199,2.058671,2.05862,5.1e-05,1.0293355,1.0292845,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.20,58939,1883,6,2026-05-07 12:47:50,0.000362,1104972.3756906076,16574.585635359115,11049.723756906076,5524.861878453038,4,2,268,132,68,66,67.0,1.0,66,66,66.0,0.0,68,66,66.66666666666667,0.9428090415820634,0.888888888888889,80,40,20,2,7.24e-05,0.000303,0.0,0.00011562283511486821,0.000362,0.00032,0.0,0.00012066666666666667,0.000141989044960831,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,66.66666666666667,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,66.0,0,4,2,268,132
172.30.0.200,172.30.0.20,39531,1883,6,2026-05-07 12:47:50,1.166435,2565.0807803263788,23.14745356577949,12.859696425433048,10.28775714034644,15,12,2188,804,352,66,145.86666666666667,85.64489995842654,74,66,67.0,2.3804761428476167,352,66,110.81481481481481,74.92220016001637,5613.336076817558,300,240,20,9,0.04486288461538461,1.048441,0.0,0.2009641435718412,1.1664349999999999,1.048463,0.0,0.0833167857142857,0.2679618493629746,1.166386,1.048611,3.3e-05,0.1060350909090909,0.29835314790528306,9,1,0,0,2,3,0,10,25,0,0,0.8,110.81481481481481,64240,65160,0,0,0,0,0,0,0,0,1143.0,7.0,0,0,9863.311587449518484001242622,0,145.86666666666667,67.0,0,15,12,2188,804
