src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,41572,8080,6,2026-05-07 12:56:39,0.002459,107360.71573810493,1626.6775111834081,1220.008133387556,406.66937779585203,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0008196666666666666,0.002414,0.0,0.0011275135870085508,0.002459,0.002459,0.0,0.0012295,0.0012295,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,41594,8080,6,2026-05-07 12:56:39,2.161896,467.64506710776095,4.163012466834667,2.7753416445564447,1.3876708222782224,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.27023699999999995,2.161502,0.0,0.7148309821319653,2.161896,2.16151,0.0,0.4323791999999999,0.8645654034071453,2.1618470000000003,2.161706,0.000141,1.0809235000000001,1.0807825,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,41576,8080,6,2026-05-07 12:56:41,0.00026,1015384.6153846155,15384.615384615387,11538.461538461539,3846.1538461538466,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,8.666666666666668e-05,0.000241,0.0,0.00010940546401142659,0.00026,0.00026,0.0,0.00013,0.00013,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,41584,8080,6,2026-05-07 12:56:41,0.000588,448979.59183673473,6802.721088435374,5102.040816326531,1700.6802721088436,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000196,0.000578,0.0,0.00027014563973284234,0.000588,0.000588,0.0,0.000294,0.000294,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,39144,8080,6,2026-05-07 12:56:41,2.001991,420.081808559579,4.495524705156018,2.9970164701040116,1.4985082350520058,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.2502488749999999,2.00052,0.0,0.6615403431075533,2.0019910000000003,2.000522,0.0,0.4003982,0.8000619291490879,2.001582,2.000894,0.000688,1.000791,1.000103,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.10,39152,8080,6,2026-05-07 12:56:41,2.002253,440.00433511649123,4.494936454084474,2.9966243027229824,1.4983121513614912,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.250281625,2.001089,0.0,0.6617430845787013,2.002253,2.001093,0.0,0.4004506,0.8003213164609825,2.002226,2.002197,2.9e-05,1.001113,1.0010839999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,39168,8080,6,2026-05-07 12:56:41,2.006189,503.9405559496139,4.486117708750272,2.9907451391668483,1.4953725695834241,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.250773625,2.005035,0.0,0.6630485478275587,2.006189,2.005039,0.0,0.4012378,0.8019006809859685,2.005194,2.005144,5e-05,1.002597,1.0025469999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,39184,8080,6,2026-05-07 12:56:42,9.115733,285.7696687693683,3.0716125625882196,1.6455067299579749,1.4261058326302447,15,13,1739,866,145,66,115.93333333333334,31.93006246296567,74,66,66.61538461538461,2.1317548400847715,145,66,93.03571428571429,33.24956870304645,1105.533818938606,340,280,20,12,0.33761974074074075,3.681596,0.0,0.7376540096336237,9.115483,3.681598,0.0,0.6511059285714286,0.919507407903855,9.115712,3.682083,6e-06,0.7596426666666667,0.9509018515914539,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.9017021171653489978809574,0,115.93333333333334,66.61538461538461,0,15,13,1739,866
172.30.0.200,172.30.0.10,39200,8080,6,2026-05-07 12:56:42,29.93393,93.6395588551186,1.0356141007879687,0.5679174101095312,0.4676966906784375,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9977976666666667,20.836964,0.0,3.750166380310882,29.93393,20.836987,0.0,1.870870625,4.973551798402801,29.933896999999998,20.840538,6e-06,2.3026074615384617,5.427877483627415,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8656127645794695163237069,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39202,8080,6,2026-05-07 12:56:42,29.910149,93.71400991683458,1.036437498188324,0.5683689506194035,0.46806854756892047,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9970049666666666,20.840302,0.0,3.750107084037544,29.910149,20.840343,0.0,1.8693843125,4.973741310141111,29.909781,20.844071,1.4e-05,2.300752384615385,5.428300133572253,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8802298521046560176915755,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39208,8080,6,2026-05-07 12:56:42,29.875202,93.82363339334073,1.0376498876894622,0.5690338093780922,0.46861607831137003,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9958400666666667,20.840069,0.0,3.749326145606896,29.875201999999998,20.840296,0.0,1.867200125,4.973078428184497,29.875144,20.841155,1.7e-05,2.298088,5.426915368843648,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8834316405984039959354635,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39210,8080,6,2026-05-07 12:56:42,29.901698,95.94772845341426,1.0701733393200614,0.5685295865137826,0.5016437528062788,17,15,1871,998,145,66,110.05882352941177,34.03539781607187,74,66,66.53333333333333,1.995550606279435,145,66,89.65625,33.00057705461376,1089.0380859375,340,300,20,12,0.9645709032258064,20.840098,0.0,3.691593339868375,29.901698,20.840105,0.0,1.868856125,4.971332391226847,29.901653,20.881898,1.6e-05,2.1358323571428572,5.272465282621765,12,0,0,0,2,3,0,12,30,0,0,0.8823529411764706,89.65625,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8960665374388113834613006,0,110.05882352941177,66.53333333333333,0,17,15,1871,998
172.30.0.200,172.30.0.10,39224,8080,6,2026-05-07 12:56:42,29.832428,96.17051619130699,1.0726582496067703,0.5698496951035966,0.5028085545031735,17,15,1871,998,145,66,110.05882352941177,34.03539781607187,74,66,66.53333333333333,1.995550606279435,145,66,89.65625,33.00057705461376,1089.0380859375,340,300,20,12,0.962336387096774,20.841528,0.0,3.689496916175986,29.832428,20.841536,0.0,1.8645267500000002,4.96911827086668,29.832384,20.88548,1.9e-05,2.1308845714285716,5.270924647393754,12,0,0,0,2,3,0,12,30,0,0,0.8823529411764706,89.65625,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8694094283836996058979699,0,110.05882352941177,66.53333333333333,0,17,15,1871,998
172.30.0.200,172.30.0.10,39236,8080,6,2026-05-07 12:56:42,29.739077,94.25309332902295,1.042399533785127,0.5716384540111987,0.4707610797739284,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9913025666666667,20.841498,0.0,3.746280196337523,29.739076999999998,20.841502,0.0,1.8586923124999997,4.970185729205696,29.738687000000002,20.850197,9e-06,2.2875913076923076,5.426806361923862,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8917718963574804940608975,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39238,8080,6,2026-05-07 12:56:42,29.783733,96.32775045357813,1.0744119952995819,0.5707813725029028,0.5036306227966789,17,15,1871,998,145,66,110.05882352941177,34.03539781607187,74,66,66.53333333333333,1.995550606279435,145,66,89.65625,33.00057705461376,1089.0380859375,340,300,20,12,0.9607655806451612,20.84349,0.0,3.6888425332916723,29.783733,20.843494,0.0,1.8614833124999999,4.9687185112770615,29.783691,20.88539,1.4e-05,2.1274065,5.270093405912539,12,0,0,0,2,3,0,12,30,0,0,0.8823529411764706,89.65625,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8962403147996082304005701,0,110.05882352941177,66.53333333333333,0,17,15,1871,998
172.30.0.200,172.30.0.10,39250,8080,6,2026-05-07 12:56:42,29.70957,94.34670377255544,1.0434348258827038,0.5722061948389021,0.4712286310438017,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.990319,20.843189,0.0,3.74547206513268,29.709570000000003,20.843648,0.0,1.8568481250000002,4.969487930665731,29.709524000000002,20.866042,1.4e-05,2.285348,5.430238369323281,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8988966816159673180277376,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39254,8080,6,2026-05-07 12:56:42,29.658329,94.50970754286259,1.0452375789613773,0.5731948013659165,0.47204277759546065,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9886109666666667,20.842797,0.0,3.7449753889040314,29.658329,20.842854,0.0,1.8536455624999997,4.969234042610227,29.658174,20.843445,1.4e-05,2.281398,5.42381708951121,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8841266225198710264847651,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
172.30.0.200,172.30.0.10,39270,8080,6,2026-05-07 12:56:43,29.638454,94.57308400768812,1.0459384959822804,0.5735791752160893,0.47235932076619114,17,14,1871,932,145,66,110.05882352941177,34.03539781607187,74,66,66.57142857142857,2.060315014550851,145,66,90.41935483870968,33.24956870304645,1105.533818938606,340,280,20,12,0.9879484666666668,20.842822,0.0,3.744219321866494,29.638454000000003,20.842832,0.0,1.8524033750000002,4.968372623070303,29.638396,20.854895,1.6e-05,2.2798766153846155,5.42635715098479,12,0,0,0,2,3,0,12,29,0,0,0.8235294117647058,90.41935483870968,64240,65160,0,0,0,0,0,0,0,0,366.5,6.0,0,0,134.8830096907830004716304964,0,110.05882352941177,66.57142857142857,0,17,14,1871,932
