Rank,Feature,Importance
1,fwd_pkt_len_mean,0.05421188276492117
2,fwd_seg_size_avg,0.04915664033564122
3,pkt_len_mean,0.04684397735794115
4,totlen_fwd_pkts,0.04365170011426452
5,pkt_len_std,0.04312116715507588
6,pkt_size_avg,0.04310341110686853
7,pkt_len_var,0.04235685012121737
8,fwd_pkt_len_std,0.041146510379407156
9,subflow_fwd_byts,0.037817865915508994
10,fwd_pkt_len_max,0.03246712517808136
11,pkt_len_max,0.029754586092921077
12,bwd_iat_tot,0.028031403054242662
13,fwd_iat_tot,0.027266920323718743
14,flow_duration,0.024897727133224357
15,subflow_fwd_pkts,0.024726394148015907
16,flow_byts_s,0.022537823437641682
17,psh_flag_cnt,0.021783342271166142
18,fwd_psh_flags,0.020874811033363184
19,fwd_header_len,0.020360369385586947
20,flow_pkts_s,0.020281222805040775
21,fwd_act_data_pkts,0.01964235804048801
22,flow_iat_mean,0.019113338861816494
23,bwd_pkts_s,0.01883489562044817
24,fwd_pkts_s,0.018557553216045696
25,tot_fwd_pkts,0.018086213860860338
26,bwd_iat_std,0.01783906211713166
27,fwd_iat_mean,0.017272477092406435
28,flow_iat_std,0.016635626884521373
29,bwd_iat_mean,0.016426732741680206
30,fwd_iat_max,0.014338437898555982
31,fwd_iat_std,0.013951191587803018
32,flow_iat_max,0.013317504864581158
33,bwd_seg_size_avg,0.0131676039130029
34,bwd_iat_max,0.013022611916786742
35,bwd_pkt_len_mean,0.012612939806472554
36,ack_flag_cnt,0.010525838840085918
37,tot_bwd_pkts,0.00801408334571466
38,down_up_ratio,0.007777630395603264
39,subflow_bwd_byts,0.007268255857265475
40,totlen_bwd_pkts,0.007188490097444858
41,bwd_header_len,0.006221590119878689
42,bwd_psh_flags,0.006143732847638013
43,bwd_iat_min,0.00576382110652808
44,bwd_pkt_len_std,0.005306665075008686
45,subflow_bwd_pkts,0.004767719525099678
46,fwd_blk_rate_avg,0.004527917277248195
47,fwd_byts_b_avg,0.002268437011593545
48,bwd_pkt_len_min,0.001251586680615308
49,fin_flag_cnt,0.001045604618770855
50,init_bwd_win_byts,0.0008232359403746785
51,syn_flag_cnt,0.0008079857266633333
52,fwd_pkts_b_avg,0.0007980076584068776
53,bwd_pkt_len_max,0.000689789902471043
54,init_fwd_win_byts,0.0006093093692798121
55,rst_flag_cnt,0.000568065760598346
56,fwd_pkt_len_min,0.00026626133233481196
57,pkt_len_min,0.00015569297492641854
58,protocol,0.0
59,fwd_seg_size_min,0.0
60,flow_iat_min,0.0
61,fwd_iat_min,0.0
62,bwd_urg_flags,0.0
63,fwd_urg_flags,0.0
64,active_mean,0.0
65,active_std,0.0
66,active_max,0.0
67,ece_flag_cnt,0.0
68,urg_flag_cnt,0.0
69,active_min,0.0
70,idle_max,0.0
71,bwd_pkts_b_avg,0.0
72,idle_mean,0.0
73,idle_std,0.0
74,idle_min,0.0
75,bwd_byts_b_avg,0.0
76,cwr_flag_count,0.0
77,bwd_blk_rate_avg,0.0
