src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.13,172.30.0.100,36508,9090,6,2026-05-03 18:27:27,0.00469,158848.61407249467,1918.976545842217,1279.317697228145,639.6588486140726,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.771236166328253,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.00058625,0.002923,0.0,0.0009770671356155,0.00469,0.00319,0.0,0.0009379999999999,0.0012308871597347,0.004403,0.004247,0.000156,0.0022015,0.0020455,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,36520,9090,6,2026-05-03 18:27:29,0.000427,1744730.6791569083,21077.28337236534,14051.522248243558,7025.761124121779,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.771236166328253,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,5.3375e-05,0.000282,0.0,8.889591877583583e-05,0.0004269999999999,0.000298,0.0,8.539999999999999e-05,0.0001089102382698,0.00039,0.000298,9.2e-05,0.000195,0.0001029999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,36534,9090,6,2026-05-03 18:27:32,0.000278,2676258.992805756,32374.100719424463,17985.61151079137,14388.489208633096,5,4,472,272,192,66,94.4,48.93097178679368,74,66,68.0,3.4641016151377544,192,66,82.66666666666667,38.82725274282943,1507.5555555555557,100,80,20,1,3.4750000000000004e-05,0.00012,0.0,3.9101630400790194e-05,0.000269,0.00012,0.0,6.725e-05,5.373720778008474e-05,0.000259,0.00014,4.4e-05,8.633333333333332e-05,4.0002777681333855e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,68.0,0,5,4,472,272,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,36544,9090,6,2026-05-03 18:27:34,0.001038,717726.3969171483,8670.520231213872,5780.346820809248,2890.173410404624,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.771236166328253,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.00012975,0.000549,0.0,0.0001713211531014,0.001038,0.00058,0.0,0.0002076,0.00019916887307,0.000847,0.000613,0.000234,0.0004235,0.0001895,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,44506,9090,6,2026-05-03 18:27:36,0.000587,1269165.247018739,15332.197614991484,8517.887563884158,6814.310051107326,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7.3375e-05,0.000295,0.0,9.42243831234782e-05,0.00056,0.000386,0.0,0.00014,0.0001509486667711,0.000566,0.000322,7.9e-05,0.0001886666666666,0.0001006059419495,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,44508,9090,6,2026-05-03 18:27:39,0.00056,1330357.142857143,16071.428571428572,8928.57142857143,7142.857142857143,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7e-05,0.00027,0.0,8.892693630166284e-05,0.000547,0.000358,0.0,0.00013675,0.0001388909194296,0.000534,0.000283,7.9e-05,0.000178,8.339064695755754e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,44522,9090,6,2026-05-03 18:27:41,0.000677,1100443.131462334,13293.943870014771,7385.5243722304285,5908.419497784343,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,8.4625e-05,0.000313,0.0,0.0001027727316704,0.000653,0.000433,0.0,0.0001632499999999,0.0001686703515737,0.00065,0.000313,0.000129,0.0002166666666666,7.536724900261535e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,44532,9090,6,2026-05-03 18:27:44,0.00093,801075.2688172043,9677.419354838708,6451.612903225806,3225.806451612903,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.771236166328253,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.0001162499999999,0.000639,0.0,0.0002020864604569,0.0009299999999999,0.000673,0.0,0.000186,0.0002481829970001,0.000855,0.000672,0.000183,0.0004275,0.0002445,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,37044,9090,6,2026-05-03 18:27:46,0.00078,955128.2051282052,11538.46153846154,6410.25641025641,5128.205128205128,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,9.75e-05,0.000434,0.0,0.0001399321264041,0.000763,0.000531,0.0,0.00019075,0.0002083859100323,0.000752,0.000451,8.7e-05,0.0002506666666666,0.0001508472369282,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272,1,c2_beacon,c2_04,test,c2_04.csv
172.30.0.13,172.30.0.100,37052,9090,6,2026-05-03 18:27:49,0.000816,914215.6862745098,11029.411764705885,6127.450980392157,4901.9607843137255,5,4,474,272,194,66,94.8,49.72886485734417,74,66,68.0,3.4641016151377544,194,66,82.88888888888889,39.45305070430604,1556.543209876543,100,80,20,1,0.000102,0.000422,0.0,0.0001356723995512,0.000771,0.000615,0.0,0.00019275,0.0002479076188825,0.000794,0.000422,0.000141,0.0002646666666666,0.0001171618064425,1,0,0,0,2,3,0,1,7,0,0,0.8,82.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8,68.0,0,5,4,474,272,1,c2_beacon,c2_04,test,c2_04.csv
