src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.13,172.30.0.100,35810,9090,6,2026-05-03 18:26:47,0.000474,1569620.253164557,18987.3417721519,10548.523206751055,8438.818565400845,5,4,472,272,192,66,94.4,48.930971786793684,74,66,68.0,3.4641016151377544,192,66,82.66666666666667,38.82725274282943,1507.5555555555557,100,80,20,1,5.925e-05,0.000247,0.0,8.117227051154847e-05,0.000464,0.000297,0.0,0.000116,0.000114936939231911,0.000451,0.000247,5.2e-05,0.00015033333333333335,7.961713941664124e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,68.0,0,5,4,472,272
172.30.0.13,172.30.0.100,35812,9090,6,2026-05-03 18:26:49,0.001507,494359.6549435965,5972.1300597213,3981.4200398142,1990.7100199071,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,0.000188375,0.001206,0.0,0.00038704745752297617,0.001507,0.001242,0.0,0.0003014,0.00047285414241603083,0.0014320000000000001,0.001239,0.000193,0.0007160000000000001,0.000523,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,35822,9090,6,2026-05-03 18:26:51,0.00064,1164062.5,14062.499999999998,7812.499999999999,6249.999999999999,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7.999999999999999e-05,0.000276,0.0,9.503683496413378e-05,0.000619,0.000382,0.0,0.00015475,0.00014918340222692337,0.000609,0.000276,0.000114,0.00020299999999999997,6.7096944788865e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,35830,9090,6,2026-05-03 18:26:53,0.000597,1247906.1976549414,15075.37688442211,8375.209380234506,6700.167504187605,5,4,473,272,193,66,94.6,49.329909791119626,74,66,68.0,3.4641016151377544,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,100,80,20,1,7.462500000000001e-05,0.000263,0.0,9.132625238670423e-05,0.000581,0.000344,0.0,0.00014525,0.00013413682380316002,0.000567,0.000263,8.5e-05,0.000189,7.570116687784058e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,68.0,0,5,4,473,272
172.30.0.13,172.30.0.100,35846,9090,6,2026-05-03 18:26:55,0.000416,1790865.3846153847,21634.615384615387,14423.076923076924,7211.538461538462,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,5.2e-05,0.000278,0.0,8.759851596916468e-05,0.00041600000000000003,0.000295,0.0,8.32e-05,0.00010816912683386143,0.000378,0.000293,8.5e-05,0.000189,0.00010400000000000001,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,51080,9090,6,2026-05-03 18:26:57,0.000361,2063711.9113573409,24930.747922437673,16620.498614958447,8310.249307479224,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,4.5125e-05,0.000199,0.0,6.31475207351801e-05,0.000361,0.000213,0.0,7.219999999999999e-05,7.562909493045648e-05,0.00032300000000000004,0.000218,0.000105,0.00016150000000000002,5.6500000000000005e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,51096,9090,6,2026-05-03 18:26:59,0.000524,1421755.7251908395,17175.57251908397,11450.381679389311,5725.190839694656,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,6.549999999999999e-05,0.000339,0.0,0.00010738715006927039,0.0005239999999999999,0.000361,0.0,0.00010479999999999999,0.00013234107450070065,0.000477,0.000355,0.000122,0.0002385,0.0001165,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,51098,9090,6,2026-05-03 18:27:01,0.000643,1158631.4152410575,13996.889580093311,9331.259720062208,4665.629860031104,6,3,539,206,193,66,89.83333333333333,46.27604371834548,74,66,68.66666666666667,3.7712361663282534,193,66,82.77777777777777,39.14014074174939,1531.9506172839506,120,60,20,1,8.037500000000002e-05,0.000349,0.0,0.00010964024979449837,0.000643,0.000379,0.0,0.0001286,0.00013366615128745197,0.000558,0.000381,0.000177,0.000279,0.000102,1,0,0,0,2,3,0,1,7,0,0,0.5,82.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,68.66666666666667,0,6,3,539,206
172.30.0.13,172.30.0.100,51112,9090,6,2026-05-03 18:27:02,0.000521,1428023.0326295586,17274.47216890595,11516.314779270633,5758.157389635317,6,3,538,206,192,66,89.66666666666667,45.90449021852026,74,66,68.66666666666667,3.7712361663282534,192,66,82.66666666666667,38.82725274282943,1507.5555555555557,120,60,20,1,6.5125e-05,0.000291,0.0,9.187687072925373e-05,0.000521,0.000313,0.0,0.0001042,0.00011126257232331096,0.000463,0.000315,0.000148,0.0002315,8.350000000000001e-05,1,0,0,0,2,3,0,1,7,0,0,0.5,82.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.66666666666667,68.66666666666667,0,6,3,538,206
172.30.0.13,172.30.0.100,51114,9090,6,2026-05-03 18:27:04,0.000693,1076479.0764790764,12987.012987012986,8658.008658008657,4329.004329004329,6,3,540,206,194,66,90.0,46.647615158762406,74,66,68.66666666666667,3.7712361663282534,194,66,82.88888888888889,39.45305070430604,1556.543209876543,120,60,20,1,8.6625e-05,0.00039,0.0,0.00012168292556887346,0.000693,0.000439,0.0,0.0001386,0.00015725469786305273,0.000601,0.000419,0.000182,0.0003005,0.0001185,1,0,0,0,2,3,0,1,7,0,0,0.5,82.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,68.66666666666667,0,6,3,540,206
