src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,34098,8080,6,2026-05-07 01:06:57,0.000893,295632.6987681971,4479.283314669653,3359.4624860022395,1119.8208286674133,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0002976666666666667,0.000845,0.0,0.00038751888842853695,0.000893,0.000893,0.0,0.0004465,0.0004465,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,34106,8080,6,2026-05-07 01:06:57,2.004232,509.42206291487213,4.490498106007688,2.993665404005125,1.4968327020025625,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.25052900000000006,2.003296,0.0,0.6624836949478455,2.004232,2.003307,0.0,0.4008464,0.8012303507248337,2.004133,2.004026,0.000107,1.0020665,1.0019595,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
172.30.0.200,172.30.0.20,45031,1883,6,2026-05-07 01:06:58,1.328619,2970.0011816781184,20.32185299171546,10.537257106815423,9.784595884900035,14,13,3076,870,590,66,219.71428571428572,159.93857239195148,74,66,66.92307692307692,2.3025583918608867,590,66,146.14814814814815,138.18364155306858,19094.718792866945,280,260,20,9,0.05110073076923078,1.208325,0.0,0.23167122145793625,1.3285550000000002,1.208344,0.0,0.10219653846153848,0.31957086122164025,1.328603,1.208339,4.1e-05,0.11071691666666666,0.3312083083457344,9,1,0,0,2,3,0,10,25,0,0,0.9285714285714286,146.14814814814815,64240,65160,0,0,0,0,0,0,0,0,2098.0,7.0,0,0,17874.63897148407214606425669,0,219.71428571428572,66.92307692307692,0,14,13,3076,870
172.30.0.200,172.30.0.10,34114,8080,6,2026-05-07 01:06:59,2.109085,484.09618389017044,4.267253334977016,2.8448355566513444,1.4224177783256722,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.26363562500000004,2.108553,0.0,0.6973132283545426,2.109085,2.108561,0.0,0.42181700000000005,0.8433720054035466,2.10901,2.108777,0.000233,1.054505,1.054272,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
172.30.0.200,172.30.0.20,35409,1883,6,2026-05-07 01:07:00,1.358977,2805.7870000743205,18.39619066400682,9.566019145283548,8.830171518723274,13,12,3009,804,853,66,231.46153846153845,216.28137491724675,74,66,67.0,2.3804761428476167,853,66,152.52,176.2900155992959,31078.169599999994,260,240,20,8,0.05662404166666666,1.234529,0.0,0.2458654022084508,1.3589579999999999,1.234726,0.0,0.11324649999999999,0.33842281734478735,1.358844,1.235272,8.3e-05,0.12353127272727273,0.351863533270058,8,1,0,0,2,3,0,9,23,0,0,0.9230769230769231,152.52,64240,65160,0,0,0,0,0,0,0,0,2097.0,6.0,0,0,17818.90486387274395839706332,0,231.46153846153845,67.0,0,13,12,3009,804
172.30.0.200,172.30.0.10,57576,8080,6,2026-05-07 01:07:01,2.03503,501.7125054667499,4.422539225465964,2.948359483643976,1.474179741821988,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.25437875,2.030478,0.0,0.6713035151713699,2.03503,2.030647,0.0,0.407006,0.8118217253215142,2.034986,2.031005,0.003981,1.017493,1.013512,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
172.30.0.200,172.30.0.20,41635,1883,6,2026-05-07 01:07:01,1.428566,2671.2101505985725,17.5000665002527,9.800037240141512,7.700029260111188,14,11,3078,738,854,66,219.85714285714286,213.01135353472094,74,66,67.0909090909091,2.466301812045552,854,66,152.64,176.5287240083041,31162.3904,280,220,20,8,0.059523583333333345,1.31856,0.0,0.2627266918202762,1.428566,1.318687,0.0,0.10988969230769231,0.34917588271625305,1.42852,1.318778,9.4e-05,0.142852,0.39220276948359245,8,1,0,0,2,3,0,9,23,0,0,0.7857142857142857,152.64,64240,65160,0,0,0,0,0,0,0,0,2100.0,6.0,0,0,19744.82168545558825465178597,0,219.85714285714286,67.0909090909091,0,14,11,3078,738
172.30.0.200,172.30.0.20,40191,1883,6,2026-05-07 01:07:03,1.320518,3088.1820618878346,21.961078909942916,12.116457329623676,9.844621580319238,16,13,3208,870,329,66,200.5,128.01025349556966,74,66,66.92307692307692,2.3025583918608867,329,66,140.6206896551724,116.00101479731603,13456.235434007134,320,260,20,10,0.047161357142857144,1.141758,0.0,0.21143255839463568,1.320518,1.141779,0.0,0.08803453333333335,0.28258890392626684,1.320478,1.143172,0.000508,0.11003983333333334,0.3125311959647211,10,1,0,0,2,3,0,11,27,0,0,0.8125,140.6206896551724,64240,65160,0,0,0,0,0,0,0,0,2098.0,8.0,0,0,12144.57719736963971473557470,0,200.5,66.92307692307692,0,16,13,3208,870
172.30.0.200,172.30.0.10,57592,8080,6,2026-05-07 01:07:03,2.005076,509.2076310324397,4.48860791311651,2.992405275411007,1.4962026377055035,6,3,815,206,469,66,135.83333333333334,149.03961069311592,74,66,68.66666666666667,3.7712361663282534,469,66,113.44444444444444,125.76089403759741,15815.802469135802,120,60,20,1,0.2506345,2.000896,0.0,0.6615379067774575,2.005076,2.000905,0.0,0.40101519999999996,0.7999463493503548,2.0050179999999997,2.004847,0.000171,1.0025089999999999,1.002338,1,0,0,0,2,3,0,1,7,0,0,0.5,113.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.83333333333334,68.66666666666667,0,6,3,815,206
172.30.0.200,172.30.0.20,34643,1883,6,2026-05-07 01:07:04,1.623609,2349.087742184233,15.39779589790399,8.622765702826234,6.775030195077756,14,11,3076,738,852,66,219.71428571428572,212.58626100326177,74,66,67.0909090909091,2.466301812045552,852,66,152.56,176.21102803173244,31050.32639999999,280,220,20,8,0.067650375,1.422155,0.0,0.2830104363037125,1.623609,1.422231,0.0,0.124893,0.37514722714545434,1.6235680000000001,1.422274,2.2e-05,0.1623568,0.4206151738662789,8,1,0,0,2,3,0,9,23,0,0,0.7857142857142857,152.56,64240,65160,0,0,0,0,0,0,0,0,2098.0,6.0,0,0,10900.85315542808450499319346,0,219.71428571428572,67.0909090909091,0,14,11,3076,738
