src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.14,172.30.0.20,43173,1883,6,2026-05-07 12:21:09,0.001963,475802.3433520123,5094.243504839532,3565.970453387672,1528.2730514518594,7,3,724,210,280,66,103.42857142857143,72.84201523621837,74,66,70.0,3.265986323710904,280,66,93.4,62.86525272358332,3952.04,140,60,20,2,0.00021811111111111114,0.001373,0.0,0.000418567250522394,0.001963,0.001373,0.0,0.00032716666666666674,0.000479179651997963,0.001698,0.001399,0.000299,0.000849,0.00055,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.42857142857143,70.0,0,7,3,724,210
172.30.0.14,172.30.0.20,39129,1883,6,2026-05-07 12:21:15,0.002482,452457.69540692994,5237.711522965351,3223.2070910556004,2014.5044319097503,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.00020683333333333336,0.001831,0.0,0.0004936791862018175,0.002482,0.001888,0.0,0.00035457142857142854,0.0006298684345940501,0.002382,0.001873,7.5e-05,0.0005955,0.000739861304569985,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.14,172.30.0.20,60063,1883,6,2026-05-07 12:21:23,0.003781,247289.0769637662,2644.8029621793175,1851.3620735255224,793.4408886537952,7,3,725,210,281,66,103.57142857142857,73.18832292275113,74,66,70.0,3.265986323710904,281,66,93.5,63.162093062215725,3989.45,140,60,20,2,0.0004201111111111111,0.002107,0.0,0.0006297135935300612,0.003781,0.002107,0.0,0.0006301666666666667,0.0007379908347819926,0.00101,0.000516,0.000494,0.000505,1.0999999999999996e-05,2,1,0,0,0,3,1,3,8,0,0,0.42857142857142855,93.5,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.57142857142857,70.0,0,7,3,725,210
172.30.0.14,172.30.0.20,36573,1883,6,2026-05-07 12:21:29,0.006854,163845.92938430115,1896.7026553837177,1167.2016340822877,729.5010213014299,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.0005711666666666668,0.004051,0.0,0.0011873736307030272,0.006854000000000001,0.004152,0.0,0.0009791428571428572,0.0014623336954111036,0.0067139999999999995,0.004104,0.000108,0.0016784999999999999,0.0015985838263913468,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.14,172.30.0.20,37921,1883,6,2026-05-07 12:21:36,0.004792,234348.9148580968,2712.854757929883,1669.449081803005,1043.405676126878,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.00039933333333333335,0.00424,0.0,0.0011589765839835687,0.004792,0.004302,0.0,0.0006845714285714286,0.001477705833585374,0.004669,0.004276,6.1e-05,0.00116725,0.0017953494611077814,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.14,172.30.0.20,40287,1883,6,2026-05-07 12:21:42,0.00083,1351807.2289156627,15662.650602409638,9638.55421686747,6024.096385542169,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.1999999999999997,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,6.916666666666666e-05,0.000251,0.0,6.9148190303306e-05,0.00083,0.000307,0.0,0.00011857142857142858,8.85645158592749e-05,0.000744,0.000321,0.000127,0.000186,7.943865557774755e-05,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,68.4,0,8,5,780,342
172.30.0.14,172.30.0.20,57849,1883,6,2026-05-07 12:21:48,0.001757,639157.65509391,7398.975526465566,4553.215708594194,2845.7598178713715,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.00014641666666666666,0.000702,0.0,0.0001923661692074663,0.001757,0.000702,0.0,0.000251,0.00021618576667830312,0.001642,0.000828,0.000137,0.0004105,0.00025718524452230925,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.14,172.30.0.20,36699,1883,6,2026-05-07 12:21:53,0.003013,372386.32592100895,4314.63657484235,2655.1609691337535,1659.475605708596,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.1999999999999997,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,0.00025108333333333336,0.001248,0.0,0.0004195047592764062,0.003013,0.001248,0.0,0.00043042857142857146,0.0004923247642251888,0.002879,0.001321,0.000109,0.0007197499999999999,0.00052605768457461,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,68.4,0,8,5,780,342
172.30.0.14,172.30.0.20,59075,1883,6,2026-05-07 12:21:58,0.002259,497122.6206285967,5754.758742806551,3541.3899955732622,2213.368747233289,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.1999999999999997,281,54,86.38461538461539,56.97710533665588,3246.3905325443798,160,100,20,3,0.00018825000000000002,0.001291,0.0,0.0003449616222615689,0.002259,0.001335,0.0,0.0003227142857142857,0.00042459349106299454,0.00214,0.001357,0.000229,0.000535,0.0004760509426521493,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.625,68.4,0,8,5,781,342
172.30.0.14,172.30.0.20,34027,1883,6,2026-05-07 12:22:06,0.002704,414571.0059171598,4807.692307692308,2958.579881656805,1849.1124260355032,8,5,779,342,279,54,97.375,69.63644430181655,74,66,68.4,3.1999999999999997,279,54,86.23076923076923,56.4516864177527,3186.792899408284,160,100,20,3,0.00022533333333333335,0.001946,0.0,0.0005224715834909643,0.0027040000000000002,0.001946,0.0,0.00038628571428571434,0.0006415380434740326,0.002576,0.002006,0.000128,0.000644,0.0007873385548796654,3,1,0,0,1,3,1,4,10,0,0,0.625,86.23076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.375,68.4,0,8,5,779,342
