src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,54422,8080,6,2026-05-07 12:41:45,0.000164,1609756.0975609757,24390.243902439022,18292.682926829268,6097.560975609756,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,5.4666666666666676e-05,0.000131,0.0,5.5631725560950286e-05,0.000164,0.000164,0.0,8.2e-05,8.2e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,54436,8080,6,2026-05-07 12:41:45,0.000159,1660377.3584905663,25157.23270440252,18867.924528301886,6289.30817610063,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,5.300000000000001e-05,0.000126,0.0,5.3347914673396556e-05,0.000159,0.000159,0.0,7.95e-05,7.95e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,54456,8080,6,2026-05-07 12:41:45,2.009462,503.11974050765826,4.478810746358976,2.985873830905984,1.492936915452992,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.25118275,2.009046,0.0,0.664409861615131,2.009462,2.009053,0.0,0.40189240000000004,0.8035803067964273,2.009389,2.009308,8.1e-05,1.0046945,1.0046135,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,54466,8080,6,2026-05-07 12:41:45,2.036302,432.64702386974034,4.419776634310628,2.946517756207085,1.4732588781035425,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.25453775,2.033276,0.0,0.6723002959704373,2.0363019999999996,2.033285,0.0,0.4072604,0.8130127683859829,2.036247,2.035643,0.000604,1.0181235,1.0175195,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,54446,8080,6,2026-05-07 12:41:46,0.001039,254090.4716073147,3849.8556304138597,2887.3917228103946,962.4639076034649,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0003463333333333333,0.000941,0.0,0.00042239186650418464,0.001039,0.001039,0.0,0.0005195,0.0005195,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,54476,8080,6,2026-05-07 12:41:46,2.030427,621.051631011605,4.432565169789409,2.9550434465262727,1.4775217232631364,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.253803375,2.027673,0.0,0.6704599676742337,2.030427,2.027691,0.0,0.4060854,0.8108032080786557,2.0300710000000004,2.029593,0.000478,1.0150355000000002,1.0145575000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,54482,8080,6,2026-05-07 12:41:47,2.008879,503.2657516953485,4.480110549216753,2.9867403661445016,1.4933701830722508,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.251109875,2.007074,0.0,0.663692140106849,2.0088790000000003,2.008058,0.0,0.40177580000000007,0.8031411299612043,2.008816,2.007198,0.001618,1.004408,1.0027899999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,54490,8080,6,2026-05-07 12:41:47,2.003771,439.6710003288799,4.491531217888671,2.994354145259114,1.497177072629557,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.250471375,2.002451,0.0,0.6621861267789325,2.003771,2.002456,0.0,0.4007542,0.8008509782176457,2.003469,2.003412,5.7e-05,1.0017345,1.0016775,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,54498,8080,6,2026-05-07 12:41:48,2.01359,626.2446674844432,4.46962887181601,2.9797525812106733,1.4898762906053367,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.25169874999999997,2.013158,0.0,0.6657690206739777,2.01359,2.013166,0.0,0.402718,0.8052240044608705,2.013521,2.013368,0.000153,1.0067605,1.0066074999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,54500,8080,6,2026-05-07 12:41:48,2.006666,419.1031292701426,4.485051323937316,2.9900342159582114,1.4950171079791057,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.25083325,2.001531,0.0,0.6617033510427369,2.006666,2.00154,0.0,0.4013332,0.8001054714762047,2.006606,2.006298,0.000308,1.003303,1.002995,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
