src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,48960,8080,6,2026-05-07 12:44:27,0.000494,534412.9554655871,8097.165991902834,6072.8744939271255,2024.2914979757086,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00016466666666666667,0.000459,0.0,0.00020861500958038043,0.000494,0.000494,0.0,0.000247,0.000247,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,48978,8080,6,2026-05-07 12:44:27,2.013634,502.0773387815263,4.469531205770264,2.9796874705135092,1.4898437352567546,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.25170424999999996,2.013384,0.0,0.6658523596045428,2.013634,2.013389,0.0,0.40272680000000005,0.8053311022446358,2.013576,2.013523,5.3e-05,1.006788,1.006735,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,48964,8080,6,2026-05-07 12:44:28,0.003341,79018.25800658486,1197.246333433104,897.934750074828,299.311583358276,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0011136666666666667,0.0033,0.0,0.0015460617351480143,0.003341,0.003341,0.0,0.0016705,0.0016705,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,48986,8080,6,2026-05-07 12:44:28,2.005292,419.39029328397066,4.488124422777331,2.992082948518221,1.4960414742591106,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.25066150000000004,2.002721,0.0,0.6622164758081378,2.005292,2.002725,0.0,0.4010584,0.800833537698216,2.004984,2.003205,0.001779,1.002492,1.000713,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.20,41955,1883,6,2026-05-07 12:44:28,0.001785,224089.63585434176,3361.3445378151264,2240.8963585434176,1120.4481792717088,4,2,268,132,68,66,67.0,1.0,66,66,66.0,0.0,68,66,66.66666666666667,0.9428090415820634,0.888888888888889,80,40,20,2,0.000357,0.001147,0.0,0.0004498297455704769,0.0017850000000000001,0.001159,0.0,0.000595,0.0004736672531077768,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,66.66666666666667,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,66.0,0,4,2,268,132
172.30.0.200,172.30.0.20,57329,1883,6,2026-05-07 12:44:28,1.252644,3302.6143102110414,24.747653762761008,13.571293998933456,11.176359763827552,17,14,3201,936,470,66,188.2941176470588,118.45066717259645,74,66,66.85714285714286,2.2314999074019006,470,66,133.4516129032258,106.5299711605286,11348.634755463056,340,280,20,11,0.0417548,1.014482,0.0,0.1811494624992302,1.2526439999999999,1.014503,0.0,0.07829025,0.2422218448402466,1.2526089999999999,1.014503,6e-05,0.09635453846153845,0.26549670753213184,11,1,0,0,2,3,0,12,29,0,0,0.8235294117647058,133.4516129032258,64240,65160,0,0,0,0,0,0,0,0,2024.0,9.0,0,0,8628.039422978549261671725267,0,188.2941176470588,66.85714285714286,0,17,14,3201,936
172.30.0.200,172.30.0.10,48974,8080,6,2026-05-07 12:44:28,0.000525,502857.1428571429,7619.047619047619,5714.285714285715,1904.7619047619048,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000175,0.000491,0.0,0.00022387645402468446,0.000525,0.000525,0.0,0.0002625,0.0002625,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,48994,8080,6,2026-05-07 12:44:28,2.04237,617.4199581858331,4.406645220993258,2.9377634806621717,1.4688817403310859,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.25529625,2.041351,0.0,0.6750652884384128,2.04237,2.04136,0.0,0.408474,0.8164430522389177,2.042322,2.042138,0.000184,1.021161,1.020977,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,48976,8080,6,2026-05-07 12:44:28,0.000381,692913.3858267716,10498.687664041994,7874.0157480314965,2624.6719160104985,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000127,0.000361,0.0,0.00016566431923219514,0.000381,0.000381,0.0,0.0001905,0.0001905,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,49006,8080,6,2026-05-07 12:44:28,2.006217,439.1349490109993,4.486055097728711,2.990703398485807,1.4953516992429035,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.25077712500000005,2.005789,0.0,0.6633321452940144,2.006217,2.005796,0.0,0.4012434000000001,0.8022763071203338,2.006182,2.005859,0.000323,1.003091,1.0027679999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
