src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,42376,8080,6,2026-05-07 12:54:05,0.000613,430668.84176182706,6525.285481239804,4893.964110929853,1631.321370309951,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.00020433333333333336,0.000581,0.0,0.0002666637499840493,0.000613,0.000613,0.0,0.0003065,0.0003065,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,42378,8080,6,2026-05-07 12:54:05,0.000219,1205479.4520547944,18264.8401826484,13698.630136986301,4566.2100456621,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,7.3e-05,0.000189,0.0,8.293370846646133e-05,0.000219,0.000219,0.0,0.0001095,0.0001095,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,42406,8080,6,2026-05-07 12:54:05,2.022213,435.66132746649345,4.450569747103792,2.9670464980691946,1.4835232490345973,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.25277662500000003,2.021034,0.0,0.6683385087651948,2.022213,2.02105,0.0,0.4044426,0.8083037470215265,2.022141,2.021749,0.000392,1.0110705,1.0106784999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,42412,8080,6,2026-05-07 12:54:05,2.021114,416.1071567462301,4.452989786820536,2.968659857880357,1.4843299289401786,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.25263925,2.019125,0.0,0.6676689756433852,2.021114,2.019136,0.0,0.4042228,0.8074567267856279,2.020824,2.020426,0.000398,1.010412,1.010014,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.10,42386,8080,6,2026-05-07 12:54:05,0.000378,698412.6984126983,10582.010582010582,7936.507936507936,2645.5026455026455,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.000126,0.000345,0.0,0.00015544130725132234,0.000378,0.000378,0.0,0.000189,0.000189,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,42428,8080,6,2026-05-07 12:54:05,2.005245,504.17779373592754,4.4882296178272485,2.9921530785514987,1.4960765392757494,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.250655625,2.003271,0.0,0.6624264584957595,2.005245,2.003301,0.0,0.401049,0.8011261074737235,2.005172,2.004024,0.001148,1.002586,1.001438,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,42398,8080,6,2026-05-07 12:54:06,0.004529,58291.0134687569,883.197173769044,662.3978803267829,220.799293442261,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.0015096666666666668,0.004487,0.0,0.0021053624127187432,0.004529,0.004529,0.0,0.0022645,0.0022645,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,42440,8080,6,2026-05-07 12:54:06,2.589611,486.94572273596305,3.475425459653979,2.3169503064359858,1.1584751532179929,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.32370137499999996,2.588714,0.0,0.8560943349041531,2.589611,2.588723,0.0,0.5179221999999999,1.0354004382130422,2.589547,2.589451,9.6e-05,1.2947735,1.2946775,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,42444,8080,6,2026-05-07 12:54:07,2.002417,419.9924391373026,4.494568314192299,2.9963788761281993,1.4981894380640997,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.25030212500000004,2.001348,0.0,0.6618331826059791,2.002417,2.00137,0.0,0.40048340000000004,0.8004433549276551,2.002364,2.0015,0.000864,1.001182,1.000318,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.10,42448,8080,6,2026-05-07 12:54:07,2.001191,440.2378383672523,4.497321844841397,2.9982145632275983,1.4991072816137991,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.250148875,2.001039,0.0,0.6617742635809505,2.001191,2.001047,0.0,0.4002382,0.8004044002526222,2.001155,2.001086,6.9e-05,1.0005775,1.0005085,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,42458,8080,6,2026-05-07 12:54:07,2.005951,504.0003469675979,4.486649973005322,2.9910999820035484,1.4955499910017742,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.250743875,2.005076,0.0,0.6630752516463417,2.0059509999999996,2.005101,0.0,0.4011902,0.8019554374700378,2.0058849999999997,2.005152,0.000733,1.0029424999999998,1.0022095,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,42460,8080,6,2026-05-07 12:54:09,2.008602,627.799832918617,4.480728387206624,2.9871522581377494,1.4935761290688747,6,3,1055,206,709,66,175.83333333333334,238.46622169374194,74,66,68.66666666666667,3.7712361663282534,709,66,140.11111111111111,201.1657384372092,40467.65432098767,120,60,20,1,0.25107525,2.004948,0.0,0.6629024765113928,2.008602,2.004957,0.0,0.40172040000000003,0.8016192990163349,2.008545,2.005169,0.003376,1.0042725,1.0008965,1,0,0,0,2,3,0,1,7,0,0,0.5,140.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.83333333333334,68.66666666666667,0,6,3,1055,206
172.30.0.200,172.30.0.10,42476,8080,6,2026-05-07 12:54:09,2.752618,320.058940252516,3.2696145996284263,2.179743066418951,1.0898715332094755,6,3,675,206,329,66,112.5,96.88782173214547,74,66,68.66666666666667,3.7712361663282534,329,66,97.88888888888889,81.79166548744362,6689.876543209876,120,60,20,1,0.34407725,2.748612,0.0,0.9088295582295326,2.752618,2.748627,0.0,0.5505236,1.0990526797064097,2.752561,2.752436,0.000125,1.3762805,1.3761555,1,0,0,0,2,3,0,1,7,0,0,0.5,97.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,68.66666666666667,0,6,3,675,206
172.30.0.200,172.30.0.10,42478,8080,6,2026-05-07 12:54:09,2.748979,305.9317659392815,3.2739427983989695,2.1826285322659795,1.0913142661329898,6,3,635,206,289,66,105.83333333333333,81.99271647869436,74,66,68.66666666666667,3.7712361663282534,289,66,93.44444444444444,69.23568622403897,4793.58024691358,120,60,20,1,0.343622375,2.746486,0.0,0.908197372148111,2.748979,2.746504,0.0,0.5497958,1.098354439051511,2.748908,2.748735,0.000173,1.374454,1.3742809999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,93.44444444444444,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83333333333333,68.66666666666667,0,6,3,635,206
172.30.0.200,172.30.0.10,42480,8080,6,2026-05-07 12:54:09,50.314479,65.09060741739967,0.6956248120943477,0.37762489799407445,0.31799991410027323,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4798376176470587,31.46305,0.0,5.328035857218503,50.314479,31.463103,0.0,2.7952488333333334,7.067222176588395,50.314419,31.463411,1.2e-05,3.3542946000000002,7.6197929504879145,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1711864.406779661016949152542,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42492,8080,6,2026-05-07 12:54:09,2.722172,371.394606953565,3.3061834446904896,2.2041222964603264,1.1020611482301632,6,3,805,206,459,66,134.16666666666666,145.31393219126957,74,66,68.66666666666667,3.7712361663282534,459,66,112.33333333333333,122.61955617092877,15035.555555555558,120,60,20,1,0.34027149999999995,2.717699,0.0,0.8985842273720087,2.722172,2.717707,0.0,0.5444343999999999,1.0866375828270618,2.722124,2.722011,0.000113,1.361062,1.3609490000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,112.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.16666666666666,68.66666666666667,0,6,3,805,206
172.30.0.200,172.30.0.10,42494,8080,6,2026-05-07 12:54:09,50.27318,65.14407881100817,0.6961962621023774,0.37793511371271915,0.31826114838965824,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4786229411764704,31.460582,0.0,5.326748160803162,50.273179999999996,31.46061,0.0,2.7929544444444443,7.065821499901569,50.273118,31.462089,1.6e-05,3.3515411999999998,7.618738399876558,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1.2625E+6,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42506,8080,6,2026-05-07 12:54:09,50.239591,65.18763259836251,0.6966617224252483,0.37818779217370624,0.3184739302515421,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4776350294117646,31.458824,0.0,5.32541764705697,50.239591,31.458855,0.0,2.791088388888889,7.06422904184733,50.239537,31.471697,1.6e-05,3.3493024666666664,7.620259923214682,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1422535.211267605633802816901,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42514,8080,6,2026-05-07 12:54:09,50.187705,65.25502610649362,0.697381958390008,0.37857877741171864,0.3188031809782894,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4761089705882355,31.456959,0.0,5.324295956692029,50.187705,31.457241,0.0,2.7882058333333335,7.0632382318197235,50.187641,31.459121,2.6e-05,3.3458427333333334,7.61638998538966,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,814516.1290322580645161290323,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42516,8080,6,2026-05-07 12:54:09,50.149582,65.30463205057222,0.6979120982503901,0.3788665676216404,0.3190455306287498,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4749877058823526,31.456574,0.0,5.3235081651876435,50.149582,31.456591,0.0,2.786087888888889,7.0624436231005205,50.149509,31.457326,1.7e-05,3.3433006,7.6154006198905195,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1402777.777777777777777777778,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42522,8080,6,2026-05-07 12:54:09,50.115789,65.34866686424911,0.6983826993125859,0.3791220367696895,0.3192606625428964,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.473993794117647,31.456712,0.0,5.322527210567373,50.115789,31.456726,0.0,2.7842105,7.061395680980639,50.115724,31.469488,3.9e-05,3.3410482666666668,7.6176829919910025,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,580459.7701149425287356321839,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42524,8080,6,2026-05-07 12:54:09,50.049009,65.43586107768887,0.6993145458684307,0.3796278963285767,0.31968664953985404,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4720296764705882,31.458115,0.0,5.321767843486094,50.049009,31.458255,0.0,2.7805005,7.061030842404421,50.048936,31.458389,2.9e-05,3.3365957333333336,7.614126926579965,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,731884.0579710144927536231884,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42534,8080,6,2026-05-07 12:54:09,50.000698,65.49908563276456,0.6999902281364152,0.379994695274054,0.31999553286236126,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4706087647058823,31.458014,0.0,5.320456623716349,50.000698,31.458032,0.0,2.7778165555555554,7.059626947268186,50.000649,31.469735,1.6e-05,3.3333766,7.615986862470336,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1442857.142857142857142857143,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42550,8080,6,2026-05-07 12:54:09,49.952298,65.56254929452895,0.7006684657430575,0.3803628814033741,0.3203055843396834,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.469185235294118,31.457947,0.0,5.3196579348852,49.952298,31.457955,0.0,2.775127666666666,7.0589786238461185,49.952228,31.463198,1.6e-05,3.3301485333333334,7.613720352080612,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,1311688.311688311688311688312,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42562,8080,6,2026-05-07 12:54:09,49.880771,65.65656332778015,0.7016731958694062,0.3809083063291062,0.32076488954029997,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4670815,31.458014,0.0,5.318243708283305,49.880770999999996,31.458149,0.0,2.7711539444444444,7.0577339695420065,49.880721,31.462752,2.6e-05,3.3253813999999995,7.612519006206366,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,841666.6666666666666666666667,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42568,8080,6,2026-05-07 12:54:10,49.832883,65.7196574398475,0.7023474840899733,0.38127434850598546,0.32107313558398776,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4656730294117648,31.454386,0.0,5.316701536699729,49.832883,31.454625,0.0,2.7684935,7.05605307648809,49.83283,31.460568,2.7e-05,3.322188666666667,7.611241407674911,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,814516.1290322580645161290323,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42578,8080,6,2026-05-07 12:54:10,49.795228,65.7693544449681,0.7028785971217965,0.38156266700897523,0.3213159301128212,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4645655294117648,31.45416,0.0,5.31595921009371,49.795228,31.454183,0.0,2.7664015555555554,7.055350626315095,49.795187999999996,31.459369,1.8e-05,3.3196792,7.610428139205513,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,789062.5,0,116.36842105263158,66.5,0,19,16,2211,1064
172.30.0.200,172.30.0.10,42588,8080,6,2026-05-07 12:54:10,49.756985,65.81990448175266,0.7034188265225475,0.3818559343979544,0.32156289212459316,19,16,2211,1064,150,66,116.36842105263158,36.36251761059195,74,66,66.5,1.9364916731037085,150,66,93.57142857142857,36.56015451224439,1336.6448979591835,380,320,20,14,1.4634407352941177,31.452227,0.0,5.314815167744751,49.756985,31.452259,0.0,2.764276944444444,7.054094726387414,49.756935999999996,31.461858,3.2e-05,3.317129066666667,7.610432924141968,14,0,0,0,2,3,0,14,33,0,0,0.8421052631578947,93.57142857142857,64240,65160,0,0,0,0,0,0,0,0,101.0,4.0,0,0,157812.5,0,116.36842105263158,66.5,0,19,16,2211,1064
