src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.100,33142,9090,6,2026-05-06 15:12:32,0.002269,458792.41956809163,3966.505068312031,2203.6139268400175,1762.891141472014,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.000283625,0.000911,0.0,0.00036566068201954665,0.0022470000000000003,0.001301,0.0,0.00056175,0.0005615814166262983,0.002246,0.000945,0.000483,0.0007486666666666667,0.0001948783096077025,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33150,9090,6,2026-05-06 15:12:33,0.001621,642196.1752004935,5552.128315854411,3084.5157310302284,2467.6125848241827,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.000202625,0.000842,0.0,0.0002832591293762656,0.0016029999999999998,0.001251,0.0,0.00040074999999999996,0.0005061814768440267,0.001599,0.00086,0.00034,0.000533,0.0002324750882711235,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33160,9090,6,2026-05-06 15:12:34,0.001855,561185.9838274933,4851.752021563342,2695.4177897574123,2156.33423180593,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.00023187499999999998,0.001157,0.0,0.0003707706290619579,0.001832,0.001513,0.0,0.000458,0.0006179025003995372,0.001827,0.001157,0.000309,0.0006090000000000001,0.0003880755940105828,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33172,9090,6,2026-05-06 15:12:35,0.001265,822924.9011857708,7114.624505928853,3952.569169960474,3162.0553359683795,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.000158125,0.000577,0.0,0.00020530674459208592,0.001244,0.000989,0.0,0.000311,0.000398771237678948,0.001234,0.000598,0.000236,0.0004113333333333334,0.00014800300297253732,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33176,9090,6,2026-05-06 15:12:37,0.001242,838164.2512077295,7246.376811594203,4025.7648953301127,3220.6119162640903,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.00015525,0.000577,0.0,0.00019898602337852777,0.001222,0.000944,0.0,0.0003055,0.0003769333495460438,0.001203,0.000577,0.000249,0.00040100000000000004,0.00013497654117166684,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33190,9090,6,2026-05-06 15:12:38,0.001881,553429.0271132377,4784.688995215311,2658.160552897395,2126.528442317916,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.00023512499999999998,0.000969,0.0,0.0003209787522173391,0.001851,0.000969,0.0,0.00046275,0.0004398905403620314,0.00185,0.001026,0.000331,0.0006166666666666667,0.0002969021537289497,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,33206,9090,6,2026-05-06 15:12:40,0.001104,942934.7826086957,8152.173913043479,4528.985507246377,3623.1884057971015,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.000138,0.000514,0.0,0.0001755712106240656,0.001082,0.000525,0.0,0.0002705,0.0002494939879035164,0.001077,0.000543,0.000246,0.00035899999999999994,0.00013123261789661897,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,36846,9090,6,2026-05-06 15:12:41,0.000938,1109808.1023454159,9594.882729211087,5330.490405117271,4264.392324093817,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,0.00011725,0.000411,0.0,0.00015094514732180033,0.00091,0.000753,0.0,0.0002275,0.0003054296154599288,0.000902,0.000439,0.00013,0.0003006666666666667,0.00012820383076266568,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,36856,9090,6,2026-05-06 15:12:43,0.000735,1416326.530612245,12244.897959183674,6802.721088435374,5442.1768707483,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,9.1875e-05,0.000379,0.0,0.0001271066850130236,0.000711,0.000608,0.0,0.00017775,0.00024934952877436923,0.000708,0.000403,8.6e-05,0.00023600000000000002,0.00012997179181140292,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
172.30.0.200,172.30.0.100,36866,9090,6,2026-05-06 15:12:44,0.000412,2526699.029126214,21844.660194174758,12135.922330097088,9708.73786407767,5,4,769,272,489,66,153.8,167.63818180832192,74,66,68.0,3.4641016151377544,489,66,115.66666666666667,132.04376378896336,17435.555555555555,100,80,20,1,5.1500000000000005e-05,0.000224,0.0,7.270488291717415e-05,0.00039600000000000003,0.000337,0.0,9.9e-05,0.00013794020443656013,0.000394,0.00024,4.6e-05,0.00013133333333333335,8.090048756891944e-05,1,0,0,0,2,3,0,1,7,0,0,0.8,115.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,68.0,0,5,4,769,272
