src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,47352,8080,6,2026-05-06 16:11:26,0.000124,2129032.258064516,32258.06451612903,24193.548387096773,8064.516129032258,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,4.133333333333333e-05,9.4e-05,0.0,3.920317447463775e-05,0.000124,0.000124,0.0,6.2e-05,6.2e-05,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,251,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
172.30.0.200,172.30.0.10,47360,8080,6,2026-05-06 16:11:26,2.002195,469.9841923488971,4.495066664335892,2.996711109557261,1.4983555547786305,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25027437499999994,2.000485,0.0,0.6615176200553801,2.002195,2.000493,0.0,0.400439,0.8000272148888437,2.002144,2.002017,0.000127,1.001072,1.000945,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,47370,8080,6,2026-05-06 16:11:28,2.002458,469.9224652901584,4.49447628864126,2.99631752576084,1.49815876288042,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25030725,2.001804,0.0,0.6620035693500357,2.002458,2.001808,0.0,0.40049159999999995,0.8006582296769577,2.002405,2.002356,4.9e-05,1.0012025,1.0011534999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,47376,8080,6,2026-05-06 16:11:29,2.005131,469.29602105797574,4.488484792265443,2.9923231948436286,1.4961615974218143,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25064137500000006,2.002434,0.0,0.6621155969847594,2.005131,2.002451,0.0,0.4010262000000001,0.8007126235036889,2.005039,2.003881,0.001158,1.0025195,1.0013614999999998,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,54996,8080,6,2026-05-06 16:11:30,2.001104,470.2404272841391,4.497517370411533,2.998344913607688,1.499172456803844,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25013799999999997,2.000373,0.0,0.6615266651861058,2.001104,2.000385,0.0,0.40022079999999993,0.8000821184871962,2.0010019999999997,2.000847,0.000155,1.0005009999999999,1.000346,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,54998,8080,6,2026-05-06 16:11:31,2.004254,469.5013705847662,4.490448815369708,2.993632543579806,1.496816271789903,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.25053175,2.00377,0.0,0.6626617813062237,2.004254,2.003775,0.0,0.40085080000000006,0.8014621127530359,2.004204,2.00414,6.4e-05,1.002102,1.002038,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,55006,8080,6,2026-05-06 16:11:32,2.001296,470.1953134368929,4.497085888344353,2.9980572588962353,1.4990286294481177,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250162,2.000987,0.0,0.6617496505108634,2.001296,2.000997,0.0,0.4002592,0.8003689020728878,2.001258,2.001072,0.000186,1.000629,1.000443,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,55012,8080,6,2026-05-06 16:11:33,2.004799,469.3737377163496,4.489228097180814,2.992818731453876,1.496409365726938,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250599875,2.003775,0.0,0.6626379422451294,2.0047989999999998,2.003787,0.0,0.40095980000000003,0.801413630609163,2.004744,2.004354,0.00039,1.002372,1.0019820000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,55026,8080,6,2026-05-06 16:11:34,2.002069,470.0137707541548,4.49534956087927,2.996899707252847,1.4984498536264235,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250258625,2.001562,0.0,0.6619304623833113,2.002069,2.001572,0.0,0.40041380000000004,0.8005791064526728,2.0019940000000003,2.001818,0.000176,1.0009970000000001,1.000821,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
172.30.0.200,172.30.0.10,55036,8080,6,2026-05-06 16:11:35,2.004488,469.44656191506266,4.489924609177007,2.9932830727846715,1.4966415363923358,6,3,735,206,389,66,122.5,119.23611030220668,74,66,68.66666666666667,3.7712361663282534,389,66,104.55555555555556,100.63256719495391,10126.913580246914,120,60,20,1,0.250561,2.003695,0.0,0.6626223852155539,2.004488,2.003703,0.0,0.40089759999999997,0.8014027164986651,2.0044440000000003,2.004071,0.000373,1.0022220000000002,1.0018490000000002,1,0,0,0,2,3,0,1,7,0,0,0.5,104.55555555555556,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,68.66666666666667,0,6,3,735,206
