modelo,rodada_validacao,train_acc,val_acc,gap,min_recall_fold,macro_f1_fold,weighted_f1_fold
rf_regularizado_depth6_leaf10,1,0.9535749751737835,0.4158878504672897,0.5376871247064938,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth6_leaf10,10,0.9511201629327902,0.918918918918919,0.032201244013871255,0.0,0.1368209255533199,0.9577464788732394
rf_regularizado_depth6_leaf10,11,0.9502850627137971,0.9295774647887324,0.020707597925064714,0.0,0.13764337851929093,0.9635036496350365
rf_regularizado_depth6_leaf10,12,0.9503448275862069,0.9339622641509434,0.016382563435263453,0.0,0.13797909407665504,0.9658536585365853
rf_regularizado_depth6_leaf10,2,0.9497148781752203,1.0,-0.05028512182477973,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,3,0.9492943021432305,1.0,-0.05070569785676948,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,4,0.9501028806584362,1.0,-0.04989711934156382,1.0,1.0,1.0
rf_regularizado_depth6_leaf10,5,0.9753862267609322,0.8210361067503925,0.15435012001053972,0.5755395683453237,0.8525511149604271,0.8311195346337793
rf_regularizado_depth6_leaf10,6,0.9561808118081181,1.0,-0.04381918819188191,0.0,0.14285714285714285,1.0
rf_regularizado_depth6_leaf10,7,0.9559228650137741,1.0,-0.0440771349862259,0.0,0.14285714285714285,1.0
rf_regularizado_depth6_leaf10,8,0.9467915049097968,0.0,0.9467915049097968,0.0,0.0,0.0
rf_regularizado_depth6_leaf10,9,0.9543297746144721,0.8754612546125461,0.07886852000192601,0.625,0.8953639272497991,0.8776915763724636
rf_regularizado_depth8_leaf5,1,0.948857994041708,0.4158878504672897,0.5329701435744183,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth8_leaf5,10,0.9520253451007015,0.972972972972973,-0.020947627872271557,0.0,0.14090019569471623,0.9863013698630138
rf_regularizado_depth8_leaf5,11,0.9516533637400229,0.9577464788732394,-0.006093115133216531,0.0,0.13977389516957864,0.9784172661870504
rf_regularizado_depth8_leaf5,12,0.9514942528735633,0.9528301886792453,-0.0013359358056820314,0.0,0.13940648723257418,0.9758454106280192
rf_regularizado_depth8_leaf5,2,0.9450492483151892,1.0,-0.054950751684810784,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,3,0.946941975953999,1.0,-0.05305802404600102,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,4,0.9477880658436214,1.0,-0.05221193415637859,1.0,1.0,1.0
rf_regularizado_depth8_leaf5,5,0.98114689709348,0.8226059654631083,0.15854093163037175,0.5755395683453237,0.8592605640885781,0.8343744042093765
rf_regularizado_depth8_leaf5,6,0.9508763837638377,1.0,-0.04912361623616235,0.0,0.14285714285714285,1.0
rf_regularizado_depth8_leaf5,7,0.9517906336088154,1.0,-0.04820936639118456,0.0,0.14285714285714285,1.0
rf_regularizado_depth8_leaf5,8,0.9547841973053208,0.0,0.9547841973053208,0.0,0.0,0.0
rf_regularizado_depth8_leaf5,9,0.9605575326215896,0.9317343173431735,0.028823215278416137,0.625,0.9401622187336474,0.9280708068069692
rf_regularizado_depth10_leaf3,1,0.9543197616683218,0.4158878504672897,0.5384319112010321,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth10_leaf3,10,0.9581353247341028,1.0,-0.04186467526589721,0.0,0.14285714285714285,1.0
rf_regularizado_depth10_leaf3,11,0.9573546180159636,0.9577464788732394,-0.00039186085727582753,0.0,0.13977389516957864,0.9784172661870504
rf_regularizado_depth10_leaf3,12,0.9572413793103448,0.9528301886792453,0.004411190631099515,0.0,0.13940648723257418,0.9758454106280192
rf_regularizado_depth10_leaf3,2,0.9525660964230172,1.0,-0.04743390357698285,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,3,0.9537375849451124,1.0,-0.046262415054887596,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,4,0.95190329218107,1.0,-0.04809670781893005,1.0,1.0,1.0
rf_regularizado_depth10_leaf3,5,0.9814087457449594,0.8288854003139717,0.15252334543098767,0.5755395683453237,0.8700423374962697,0.8410489290623456
rf_regularizado_depth10_leaf3,6,0.9571033210332104,1.0,-0.042896678966789614,0.0,0.14285714285714285,1.0
rf_regularizado_depth10_leaf3,7,0.9575298438934803,1.0,-0.04247015610651972,0.0,0.14285714285714285,1.0
rf_regularizado_depth10_leaf3,8,0.9623201644211007,0.0,0.9623201644211007,0.0,0.0,0.0
rf_regularizado_depth10_leaf3,9,0.9647093712930012,0.9317343173431735,0.03297505394982769,0.625,0.9401622187336474,0.9280708068069692
rf_regularizado_depth12_leaf3,1,0.9610228401191658,0.4158878504672897,0.5451349896518761,0.0,0.7606177606177607,0.32116696135387723
rf_regularizado_depth12_leaf3,10,0.9644715999094818,1.0,-0.035528400090518164,0.0,0.14285714285714285,1.0
rf_regularizado_depth12_leaf3,11,0.9637400228050171,0.9577464788732394,0.005993543931777756,0.0,0.13977389516957864,0.9784172661870504
rf_regularizado_depth12_leaf3,12,0.9634482758620689,0.9528301886792453,0.010618087182823643,0.0,0.13940648723257418,0.9758454106280192
rf_regularizado_depth12_leaf3,2,0.9606013478486263,1.0,-0.039398652151373725,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,3,0.9597490852064819,1.0,-0.040250914793518056,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,4,0.9583333333333334,1.0,-0.04166666666666663,1.0,1.0,1.0
rf_regularizado_depth12_leaf3,5,0.9829798376538361,0.8288854003139717,0.1540944373398644,0.5755395683453237,0.8700423374962697,0.8410489290623456
rf_regularizado_depth12_leaf3,6,0.9630996309963099,1.0,-0.03690036900369009,0.0,0.14285714285714285,1.0
rf_regularizado_depth12_leaf3,7,0.9630394857667585,1.0,-0.03696051423324154,0.0,0.14285714285714285,1.0
rf_regularizado_depth12_leaf3,8,0.9682575930577757,0.0,0.9682575930577757,0.0,0.0,0.0
rf_regularizado_depth12_leaf3,9,0.9709371293001187,0.9317343173431735,0.039202811956945194,0.625,0.9401622187336474,0.9280708068069692
extratrees_regularizado_depth10_leaf3,1,0.9473684210526315,1.0,-0.052631578947368474,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,10,0.9520253451007015,0.972972972972973,-0.020947627872271557,0.0,0.14090019569471623,0.9863013698630138
extratrees_regularizado_depth10_leaf3,11,0.9518814139110604,0.9577464788732394,-0.0058650649621789785,0.0,0.13977389516957864,0.9784172661870504
extratrees_regularizado_depth10_leaf3,12,0.9517241379310345,0.9528301886792453,-0.0011060507482107962,0.0,0.13940648723257418,0.9758454106280192
extratrees_regularizado_depth10_leaf3,2,0.9455676516329704,1.0,-0.05443234836702959,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,3,0.9458964976476738,1.0,-0.054103502352326194,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,4,0.9454732510288066,1.0,-0.05452674897119336,1.0,1.0,1.0
extratrees_regularizado_depth10_leaf3,5,0.9803613511390417,0.8273155416012559,0.1530458095377858,0.5755395683453237,0.8688466518367358,0.8396584870378049
extratrees_regularizado_depth10_leaf3,6,0.9508763837638377,1.0,-0.04912361623616235,0.0,0.14285714285714285,1.0
extratrees_regularizado_depth10_leaf3,7,0.9511019283746557,1.0,-0.04889807162534432,0.0,0.14285714285714285,1.0
extratrees_regularizado_depth10_leaf3,8,0.9513587577072391,0.961038961038961,-0.009680203331721926,0.0,0.1400189214758751,0.9801324503311258
extratrees_regularizado_depth10_leaf3,9,0.9602609727164887,0.9326568265682657,0.02760414614822304,0.6319444444444444,0.9407525123232416,0.9290995629304216
