source_csv,binary_prediction,macro_prediction,detailed_prediction,p_benign,p_malicious,macro_top1,macro_top2,detail_top1,detail_top2,detail_top3,focused_family,focused_prediction,focused_top1_prob,focused_top2
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.9960818371341048,0.0039181628658951665,benign:0.9922,auth_control_repetition:0.0055,benign:0.9988,bruteforce:0.0009,c2_beacon:0.0002,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.99875,0.00125,benign:0.9987,auth_control_repetition:0.0013,benign:0.9994,c2_beacon:0.0004,scan:0.0002,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:0.9982,auth_control_repetition:0.0018,benign:0.9996,bruteforce:0.0002,c2_beacon:0.0002,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:0.9999,c2_beacon:0.0001,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.9999384230697327,6.157693026733969e-05,benign:0.9984,auth_control_repetition:0.0015,benign:0.9990,c2_beacon:0.0008,bruteforce:0.0002,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:0.9999,c2_beacon:0.0001,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.9969740041025537,0.0030259958974463417,benign:0.9966,auth_control_repetition:0.0027,benign:0.9674,c2_beacon:0.0191,dos_flood:0.0098,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.99875,0.00125,benign:0.9957,auth_control_repetition:0.0042,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:0.9975,auth_control_repetition:0.0025,benign:0.9995,bruteforce:0.0005,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,c2_beacon:0.0000,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.999974619044867,2.538095513302125e-05,benign:0.9998,auth_control_repetition:0.0002,benign:0.9998,c2_beacon:0.0002,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.99875,0.00125,benign:0.9970,auth_control_repetition:0.0030,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.9998966864460433,0.00010331355395663548,benign:0.9998,auth_control_repetition:0.0002,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:0.9997,auth_control_repetition:0.0003,benign:0.9998,c2_beacon:0.0002,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:0.9999,bruteforce:0.0001,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:0.9995,auth_control_repetition:0.0005,benign:1.0000,c2_beacon:0.0000,bruteforce:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:0.9976,auth_control_repetition:0.0024,benign:0.9995,bruteforce:0.0005,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:0.9993,bruteforce:0.0007,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
benign_17.csv,benign,benign,benign,0.9820123257796339,0.017987674220365964,benign:0.9988,auth_control_repetition:0.0013,benign:0.9953,bruteforce:0.0019,mqtt_abuse:0.0013,benign,benign,1.0,
