source_csv,binary_prediction,macro_prediction,detailed_prediction,p_benign,p_malicious,macro_top1,macro_top2,detail_top1,detail_top2,detail_top3,focused_family,focused_prediction,focused_top1_prob,focused_top2
incident_final.csv,benign,benign,benign,1.0,0.0,benign:0.9987,auth_control_repetition:0.0013,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,benign,benign,benign,0.9998065932970153,0.00019340670298465863,benign:0.9982,auth_control_repetition:0.0018,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,benign,benign,benign,0.9999384230697327,6.157693026733969e-05,benign:0.9997,auth_control_repetition:0.0003,benign:0.9973,bruteforce:0.0015,c2_beacon:0.0011,benign,benign,1.0,
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9652,availability_abuse:0.0348,c2_beacon:0.9657,dos_flood:0.0343,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.010013036924911562,0.9899869630750885,auth_control_repetition:0.9792,availability_abuse:0.0110,c2_beacon:0.9750,dos_flood:0.0133,benign:0.0105,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:0.9995,auth_control_repetition:0.0005,benign:0.9997,c2_beacon:0.0003,bruteforce:0.0000,benign,benign,1.0,
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9999,availability_abuse:0.0001,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.032445619857415474,0.9675543801425845,auth_control_repetition:0.9552,availability_abuse:0.0282,c2_beacon:0.9593,dos_flood:0.0286,benign:0.0105,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9987,availability_abuse:0.0013,c2_beacon:0.9991,dos_flood:0.0008,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:0.9986,auth_control_repetition:0.0013,benign:0.9992,bruteforce:0.0007,scan:0.0002,benign,benign,1.0,
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:0.9996,dos_flood:0.0004,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9994,availability_abuse:0.0006,c2_beacon:0.9996,dos_flood:0.0004,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:0.9999,dos_flood:0.0001,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
incident_final.csv,benign,benign,benign,1.0,0.0,benign:1.0000,auth_control_repetition:0.0000,benign:1.0000,bruteforce:0.0000,c2_beacon:0.0000,benign,benign,1.0,
