source_csv,binary_prediction,macro_prediction,detailed_prediction,p_benign,p_malicious,macro_top1,macro_top2,detail_top1,detail_top2,detail_top3,focused_family,focused_prediction,focused_top1_prob,focused_top2
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9900,availability_abuse:0.0100,c2_beacon:0.9939,dos_flood:0.0061,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,mqtt_abuse,0.0034434129349110087,0.9965565870650892,availability_abuse:0.7472,auth_control_repetition:0.1967,mqtt_abuse:0.4163,slow_dos:0.2152,bruteforce:0.1436,availability_abuse,mqtt_abuse,0.653445391758126,slow_dos:0.2654 | dos_flood:0.0811
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:0.9992,mqtt_abuse:0.0007,dos_flood:0.0002,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00014404883299342993,0.9998559511670067,auth_control_repetition:0.9592,availability_abuse:0.0405,bruteforce:0.7176,c2_beacon:0.2390,dos_flood:0.0312,auth_control_repetition,bruteforce,0.7627276600563933,c2_beacon:0.2373
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:0.9995,dos_flood:0.0005,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9274,recon_scan:0.0713,dos_flood:0.4127,slow_dos:0.2938,mqtt_abuse:0.2696,availability_abuse,dos_flood,0.38822804302328906,mqtt_abuse:0.3410 | slow_dos:0.2707
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9558,availability_abuse:0.0439,bruteforce:0.6370,c2_beacon:0.2971,dos_flood:0.0366,auth_control_repetition,bruteforce,0.6933747436097565,c2_beacon:0.3066
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9993,availability_abuse:0.0007,c2_beacon:0.9989,dos_flood:0.0011,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9301,recon_scan:0.0686,dos_flood:0.4168,slow_dos:0.2925,mqtt_abuse:0.2669,availability_abuse,dos_flood,0.39991997093357134,mqtt_abuse:0.3179 | slow_dos:0.2822
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.005642526461911109,0.9943574735380889,auth_control_repetition:0.9653,availability_abuse:0.0317,c2_beacon:0.9629,dos_flood:0.0323,benign:0.0047,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9808,availability_abuse:0.0189,bruteforce:0.6379,c2_beacon:0.3367,dos_flood:0.0199,auth_control_repetition,bruteforce,0.6078083278919639,c2_beacon:0.3922
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0011884230697326603,0.9988115769302673,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9368,recon_scan:0.0619,dos_flood:0.4343,slow_dos:0.2866,mqtt_abuse:0.2542,availability_abuse,dos_flood,0.45247457256484724,slow_dos:0.3136 | mqtt_abuse:0.2340
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.8626,availability_abuse:0.1304,bruteforce:0.5268,c2_beacon:0.3472,slow_dos:0.0604,auth_control_repetition,bruteforce,0.7132968988233437,c2_beacon:0.2867
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8803,recon_scan:0.1184,dos_flood:0.3719,slow_dos:0.3340,mqtt_abuse:0.2684,availability_abuse,slow_dos,0.39887339950270045,mqtt_abuse:0.3049 | dos_flood:0.2963
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9998,availability_abuse:0.0002,c2_beacon:0.9997,dos_flood:0.0003,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9243,availability_abuse:0.0754,bruteforce:0.5412,c2_beacon:0.3820,dos_flood:0.0420,auth_control_repetition,bruteforce,0.6110227335909333,c2_beacon:0.3890
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9994,availability_abuse:0.0006,c2_beacon:0.9996,scan:0.0004,dos_flood:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,slow_dos,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9577,recon_scan:0.0408,slow_dos:0.3334,dos_flood:0.3318,mqtt_abuse:0.3061,availability_abuse,slow_dos,0.3905140002107009,dos_flood:0.3396 | mqtt_abuse:0.2699
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9490,availability_abuse:0.0507,bruteforce:0.6917,c2_beacon:0.2609,dos_flood:0.0294,auth_control_repetition,bruteforce,0.7504127891206709,c2_beacon:0.2496
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9977,availability_abuse:0.0023,c2_beacon:0.9957,dos_flood:0.0043,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9258,recon_scan:0.0729,dos_flood:0.3927,slow_dos:0.3193,mqtt_abuse:0.2670,availability_abuse,dos_flood,0.4110707906858109,slow_dos:0.3049 | mqtt_abuse:0.2840
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9121,availability_abuse:0.0876,bruteforce:0.6378,c2_beacon:0.2884,dos_flood:0.0583,auth_control_repetition,bruteforce,0.7033582843025846,c2_beacon:0.2966
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9838,availability_abuse:0.0153,c2_beacon:0.9871,dos_flood:0.0129,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9318,recon_scan:0.0669,dos_flood:0.3534,slow_dos:0.3461,mqtt_abuse:0.2783,availability_abuse,slow_dos,0.3972666303292869,dos_flood:0.3066 | mqtt_abuse:0.2961
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:1.0000,availability_abuse:0.0000,c2_beacon:1.0000,dos_flood:0.0000,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00034932451066395283,0.9996506754893361,auth_control_repetition:0.8651,availability_abuse:0.1259,bruteforce:0.6798,c2_beacon:0.2073,dos_flood:0.0599,auth_control_repetition,bruteforce,0.8330073354965015,c2_beacon:0.1670
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8812,recon_scan:0.1175,dos_flood:0.3712,slow_dos:0.3353,mqtt_abuse:0.2679,availability_abuse,slow_dos,0.3876614571053432,dos_flood:0.3136 | mqtt_abuse:0.2988
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9982,availability_abuse:0.0018,c2_beacon:0.9951,dos_flood:0.0049,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00024128696785682537,0.9997587130321431,auth_control_repetition:0.9223,availability_abuse:0.0774,bruteforce:0.6989,c2_beacon:0.2530,dos_flood:0.0431,auth_control_repetition,bruteforce,0.7328749171453157,c2_beacon:0.2671
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0,1.0,auth_control_repetition:0.9987,availability_abuse:0.0013,c2_beacon:0.9984,dos_flood:0.0016,mqtt_abuse:0.0000,auth_control_repetition,c2_beacon,1.0,bruteforce:0.0000
flood_17.csv,malicious,availability_abuse,slow_dos,0.00014404883299342993,0.9998559511670067,availability_abuse:0.9380,recon_scan:0.0596,slow_dos:0.3498,dos_flood:0.3451,mqtt_abuse:0.2798,availability_abuse,dos_flood,0.36300119738422565,slow_dos:0.3299 | mqtt_abuse:0.3071
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9745,availability_abuse:0.0252,bruteforce:0.6063,c2_beacon:0.3520,dos_flood:0.0314,auth_control_repetition,bruteforce,0.6253436402880083,c2_beacon:0.3747
flood_17.csv,malicious,availability_abuse,dos_flood,0.00014404883299342993,0.9998559511670067,availability_abuse:0.9209,recon_scan:0.0778,dos_flood:0.3798,slow_dos:0.3215,mqtt_abuse:0.2735,availability_abuse,dos_flood,0.48839387909292176,slow_dos:0.2664 | mqtt_abuse:0.2452
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9632,availability_abuse:0.0365,bruteforce:0.6164,c2_beacon:0.3329,dos_flood:0.0351,auth_control_repetition,bruteforce,0.6641621750902771,c2_beacon:0.3358
flood_17.csv,malicious,availability_abuse,dos_flood,0.00014404883299342993,0.9998559511670067,availability_abuse:0.9325,recon_scan:0.0651,dos_flood:0.3703,slow_dos:0.3317,mqtt_abuse:0.2724,availability_abuse,dos_flood,0.4285560895167782,slow_dos:0.3275 | mqtt_abuse:0.2440
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9780,availability_abuse:0.0217,bruteforce:0.7653,c2_beacon:0.2043,dos_flood:0.0184,auth_control_repetition,bruteforce,0.7885277474302125,c2_beacon:0.2115
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9398,recon_scan:0.0589,dos_flood:0.3585,slow_dos:0.3381,mqtt_abuse:0.2821,availability_abuse,slow_dos,0.3654494132326089,dos_flood:0.3309 | mqtt_abuse:0.3037
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00024128696785682537,0.9997587130321431,auth_control_repetition:0.9769,availability_abuse:0.0227,bruteforce:0.6296,c2_beacon:0.3319,dos_flood:0.0335,auth_control_repetition,bruteforce,0.678532770172004,c2_beacon:0.3215
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9107,recon_scan:0.0877,dos_flood:0.3413,mqtt_abuse:0.3236,slow_dos:0.3036,availability_abuse,mqtt_abuse,0.4708724342654708,slow_dos:0.2940 | dos_flood:0.2351
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9803,availability_abuse:0.0194,bruteforce:0.7574,c2_beacon:0.2160,dos_flood:0.0163,auth_control_repetition,bruteforce,0.7698845332808827,c2_beacon:0.2301
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8820,recon_scan:0.1152,dos_flood:0.3329,slow_dos:0.3185,mqtt_abuse:0.3109,availability_abuse,mqtt_abuse,0.39931685277937135,slow_dos:0.3646 | dos_flood:0.2360
flood_17.csv,malicious,availability_abuse,dos_flood,0.01142398924182104,0.9885760107581789,availability_abuse:0.9216,recon_scan:0.0553,dos_flood:0.3373,slow_dos:0.3216,mqtt_abuse:0.3044,availability_abuse,dos_flood,0.40161467245397114,slow_dos:0.3008 | mqtt_abuse:0.2976
flood_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9728,availability_abuse:0.0269,bruteforce:0.7935,c2_beacon:0.1647,dos_flood:0.0296,auth_control_repetition,bruteforce,0.8411636920745923,c2_beacon:0.1588
flood_17.csv,malicious,availability_abuse,dos_flood,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9331,recon_scan:0.0656,dos_flood:0.3515,slow_dos:0.3512,mqtt_abuse:0.2718,availability_abuse,dos_flood,0.3818877919973122,slow_dos:0.3516 | mqtt_abuse:0.2666
flood_17.csv,malicious,auth_control_repetition,c2_beacon,0.0036972114249425605,0.9963027885750574,auth_control_repetition:0.9108,availability_abuse:0.0801,c2_beacon:0.5271,bruteforce:0.4298,dos_flood:0.0276,auth_control_repetition,c2_beacon,0.5163978751347839,bruteforce:0.4836
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9257,recon_scan:0.0730,dos_flood:0.4150,slow_dos:0.2920,mqtt_abuse:0.2678,availability_abuse,dos_flood,0.41522923317918,slow_dos:0.2947 | mqtt_abuse:0.2901
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8952,recon_scan:0.1035,dos_flood:0.3750,slow_dos:0.3358,mqtt_abuse:0.2626,availability_abuse,slow_dos,0.3814085588667083,dos_flood:0.3474 | mqtt_abuse:0.2712
flood_17.csv,malicious,availability_abuse,slow_dos,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9575,recon_scan:0.0411,slow_dos:0.3310,mqtt_abuse:0.3265,dos_flood:0.3141,availability_abuse,mqtt_abuse,0.37491868723859834,slow_dos:0.3487 | dos_flood:0.2763
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9482,recon_scan:0.0505,dos_flood:0.3751,slow_dos:0.3222,mqtt_abuse:0.2818,availability_abuse,dos_flood,0.36326290400561123,mqtt_abuse:0.3219 | slow_dos:0.3148
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9296,recon_scan:0.0691,dos_flood:0.4454,slow_dos:0.2707,mqtt_abuse:0.2603,availability_abuse,dos_flood,0.46046180269552756,mqtt_abuse:0.3013 | slow_dos:0.2382
flood_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8643,recon_scan:0.1344,dos_flood:0.4250,slow_dos:0.3025,mqtt_abuse:0.2473,availability_abuse,dos_flood,0.4278737961849297,slow_dos:0.3295 | mqtt_abuse:0.2427
flood_17.csv,malicious,availability_abuse,dos_flood,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9246,recon_scan:0.0732,dos_flood:0.3406,slow_dos:0.3383,mqtt_abuse:0.2906,availability_abuse,dos_flood,0.42137465269059576,slow_dos:0.3273 | mqtt_abuse:0.2514
