src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Attack_Type,capture_id,usage,source_csv
172.30.0.11,172.30.0.10,48756,8080,6,2026-05-06 15:26:30,0.001013,762092.7936821323,8884.501480750247,5923.000987166831,2961.5004935834154,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000126625,0.000766,0.0,0.000247245797487,0.001013,0.000785,0.0,0.0002026,0.0002972814154971,0.000972,0.000784,0.000188,0.000486,0.000298,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.12,172.30.0.10,50434,8080,6,2026-05-06 15:26:31,0.002499,309323.72949179675,3601.4405762304923,2400.9603841536614,1200.4801920768307,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000312375,0.002189,0.0,0.0007119404710894,0.002499,0.002217,0.0,0.0004998,0.0008614525872037,0.002441,0.002212,0.000229,0.0012205,0.0009915,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.14,172.30.0.20,45703,1883,6,2026-05-06 15:26:35,0.00082,1368292.6829268292,15853.658536585366,9756.09756097561,6097.5609756097565,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,6.833333333333333e-05,0.000251,0.0,9.19631568739472e-05,0.00082,0.000257,0.0,0.0001171428571428,0.0001004126181191,0.000787,0.000411,2.5e-05,0.0001967499999999,0.0001537406501222,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,48764,8080,6,2026-05-06 15:26:35,0.005649,136838.3784740662,1593.2023366967603,1062.1348911311736,531.0674455655868,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000706125,0.005347,0.0,0.0017545598050152,0.0056489999999999,0.005382,0.0,0.0011297999999999,0.0021265854697143,0.005573,0.005395,0.000178,0.0027865,0.0026084999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.12,172.30.0.10,50450,8080,6,2026-05-06 15:26:38,0.005015,154137.58723828514,1794.616151545364,1196.4107676969093,598.2053838484546,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0006268749999999,0.004619,0.0,0.001509635753874,0.0050149999999999,0.004709,0.0,0.001003,0.0018537910346098,0.004885,0.004651,0.000234,0.0024425,0.0022085,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,48774,8080,6,2026-05-06 15:26:39,0.01764,43764.17233560091,510.2040816326531,340.13605442176873,170.06802721088437,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.002205,0.017251,0.0,0.0056871478792097,0.01764,0.017297,0.0,0.003528,0.0068848124738441,0.0175449999999999,0.017293,0.000252,0.0087724999999999,0.0085205,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.14,172.30.0.20,43455,1883,6,2026-05-06 15:26:42,0.001133,990291.2621359224,11473.96293027361,7060.900264783761,4413.062665489851,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,9.441666666666668e-05,0.000567,0.0,0.0001515340766589,0.001133,0.000621,0.0,0.0001618571428571,0.000195589532711,0.001034,0.000607,6.4e-05,0.0002585,0.0002070054347112,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,0,benign,benign_09,blind,benign_09.csv
172.30.0.12,172.30.0.10,57914,8080,6,2026-05-06 15:26:44,0.001487,519838.6012104909,6052.454606590451,4034.969737726967,2017.4848688634836,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000185875,0.000846,0.0,0.0002928708919899,0.001487,0.000883,0.0,0.0002974,0.0003421126130384,0.001428,0.000914,0.000514,0.000714,0.0001999999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,60638,8080,6,2026-05-06 15:26:44,0.003009,256895.97873047524,2991.0269192422734,1994.0179461615155,997.0089730807578,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0003761249999999,0.002459,0.0,0.0007968441562658,0.003009,0.002498,0.0,0.0006017999999999,0.0009586806350396,0.0029,0.002477,0.000423,0.00145,0.001027,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.14,172.30.0.20,38117,1883,6,2026-05-06 15:26:48,0.001386,810245.3102453102,9379.50937950938,5772.005772005772,3607.5036075036073,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.2,281,54,86.38461538461539,56.97710533665588,3246.39053254438,160,100,20,3,0.0001155,0.000843,0.0,0.0002261314145948,0.001386,0.000843,0.0,0.000198,0.0002723878537254,0.001306,0.000889,4.9e-05,0.0003265,0.0003300852162699,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.625,68.4,0,8,5,781,342,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,60648,8080,6,2026-05-06 15:26:49,0.002615,295602.2944550669,3441.682600382409,2294.455066921606,1147.227533460803,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000326875,0.002287,0.0,0.0007433221773733,0.002615,0.00232,0.0,0.000523,0.0009011430519068,0.002549,0.002313,0.000236,0.0012745,0.0010385,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.12,172.30.0.10,49960,8080,6,2026-05-06 15:26:51,0.003243,238051.18717237128,2775.208140610546,1850.1387604070308,925.0693802035154,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000405375,0.00194,0.0,0.0006727239287962,0.003243,0.00198,0.0,0.0006486,0.0007739864598298,0.003131,0.001989,0.001142,0.0015655,0.0004234999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,44998,8080,6,2026-05-06 15:26:52,0.004315,179142.5260718424,2085.7473928157588,1390.4982618771726,695.2491309385863,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000539375,0.003722,0.0,0.0012087770614861,0.004315,0.003791,0.0,0.000863,0.0014703951849757,0.004209,0.003771,0.000438,0.0021045,0.0016665,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.14,172.30.0.20,33497,1883,6,2026-05-06 15:26:53,0.001314,853881.2785388128,9893.45509893455,6088.2800608828,3805.17503805175,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,0.0001094999999999,0.000629,0.0,0.0001736757035396,0.001314,0.000666,0.0,0.0001877142857142,0.0002125543387907,0.001242,0.000682,6.3e-05,0.0003105,0.0002282328854481,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,0,benign,benign_09,blind,benign_09.csv
172.30.0.11,172.30.0.10,45014,8080,6,2026-05-06 15:26:56,0.001124,685943.0604982206,8007.11743772242,5338.078291814946,2669.039145907473,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.0001405,0.000878,0.0,0.0002830958318308,0.001124,0.000897,0.0,0.0002248,0.0003408204219233,0.001077,0.000892,0.000185,0.0005385,0.0003535,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,0,benign,benign_09,blind,benign_09.csv
172.30.0.12,172.30.0.10,49976,8080,6,2026-05-06 15:26:56,0.001503,513639.3878908849,5988.023952095808,3992.015968063872,1996.007984031936,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000187875,0.001261,0.0,0.0004084496411737,0.001503,0.001288,0.0,0.0003006,0.0004967915458217,0.001456,0.001279,0.000177,0.000728,0.000551,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,0,benign,benign_09,blind,benign_09.csv
