feature,importance
subflow_fwd_byts,0.08463273791223883
totlen_fwd_pkts,0.08153836761395918
pkt_len_mean,0.07657748782061906
fwd_pkt_len_mean,0.07031789174713111
fwd_seg_size_avg,0.06889243991602723
pkt_size_avg,0.06459174797873769
fwd_byts_b_avg,0.04664566025376654
fwd_pkt_len_std,0.04470071208353339
pkt_len_std,0.04441303562706576
pkt_len_var,0.04408750549449078
fwd_blk_rate_avg,0.04217905424753792
pkt_len_max,0.03324802143267019
fwd_pkt_len_max,0.028573614186173293
fwd_pkts_b_avg,0.018992844152731392
psh_flag_cnt,0.014473144305999643
fwd_psh_flags,0.014184763183075782
flow_iat_mean,0.012939441424545634
fwd_iat_max,0.012903345866358683
bwd_iat_mean,0.010878859106466528
bwd_header_len,0.01076316164891044
fwd_iat_mean,0.010695491239667428
bwd_seg_size_avg,0.00982405270583389
bwd_pkts_s,0.009670173617028986
ack_flag_cnt,0.009141791321419472
bwd_pkt_len_mean,0.008963976465571644
bwd_iat_tot,0.008947788014007817
flow_byts_s,0.008750766835438984
fwd_iat_std,0.008254788797994869
subflow_bwd_pkts,0.008004965285364582
subflow_bwd_byts,0.007976427605843946
flow_iat_max,0.007673595440094081
flow_iat_std,0.007614133031367631
fwd_act_data_pkts,0.00729375467496796
fwd_header_len,0.006932247049714938
bwd_iat_std,0.0064981409531530265
flow_duration,0.006489718710669187
bwd_iat_min,0.005670252298461805
tot_fwd_pkts,0.0052636155122516215
fwd_pkts_s,0.004830785689082097
bwd_iat_max,0.004314121125123666
totlen_bwd_pkts,0.0039738327727480306
tot_bwd_pkts,0.00392121823739205
fwd_iat_tot,0.0035993316781250573
bwd_pkt_len_std,0.0033831973149914905
subflow_fwd_pkts,0.002465580322896003
bwd_psh_flags,0.00179316389967851
flow_pkts_s,0.001576354946834173
bwd_pkt_len_max,0.0005527719214737661
fin_flag_cnt,0.00016797561417811476
down_up_ratio,0.00011030344095291008
fwd_pkt_len_min,8.82473702234857e-05
pkt_len_min,1.3343292457413866e-05
init_bwd_win_byts,1.0256812952280146e-05
bwd_pkt_len_min,0.0
rst_flag_cnt,0.0
syn_flag_cnt,0.0
