source_csv,binary_prediction,macro_prediction,detailed_prediction,p_benign,p_malicious,macro_top1,macro_top2,detail_top1,detail_top2,detail_top3,focused_family,focused_prediction,focused_top1_prob,focused_top2
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.023177281593285325,0.9768227184067151,availability_abuse:0.7938,recon_scan:0.1117,dos_flood:0.7182,slow_dos:0.0877,benign:0.0743,availability_abuse,dos_flood,0.8129176196620014,slow_dos:0.1342 | mqtt_abuse:0.0529
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.9314,recon_scan:0.0673,dos_flood:0.3560,slow_dos:0.3433,mqtt_abuse:0.2785,availability_abuse,slow_dos,0.39255861346889065,dos_flood:0.3141 | mqtt_abuse:0.2933
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9702,recon_scan:0.0284,dos_flood:0.3534,mqtt_abuse:0.3268,slow_dos:0.2964,availability_abuse,mqtt_abuse,0.40048562649941066,dos_flood:0.3777 | slow_dos:0.2218
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:0.9985,dos_flood:0.0013,slow_dos:0.0003,availability_abuse,mqtt_abuse,0.99625,dos_flood:0.0037 | slow_dos:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9647,recon_scan:0.0339,dos_flood:0.3390,slow_dos:0.3326,mqtt_abuse:0.3007,availability_abuse,slow_dos,0.3883468224643744,dos_flood:0.3447 | mqtt_abuse:0.2670
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,slow_dos,0.00014404883299342993,0.9998559511670067,availability_abuse:0.9208,recon_scan:0.0779,slow_dos:0.3546,dos_flood:0.3238,mqtt_abuse:0.2997,availability_abuse,slow_dos,0.3820752427718426,mqtt_abuse:0.3711 | dos_flood:0.2468
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:0.9992,auth_control_repetition:0.0008,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.00014404883299342993,0.9998559511670067,availability_abuse:0.9300,recon_scan:0.0687,dos_flood:0.3803,slow_dos:0.3201,mqtt_abuse:0.2750,availability_abuse,dos_flood,0.47267850546437323,slow_dos:0.2798 | mqtt_abuse:0.2476
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:0.9985,dos_flood:0.0013,slow_dos:0.0003,availability_abuse,mqtt_abuse,0.99625,dos_flood:0.0037 | slow_dos:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:0.9992,auth_control_repetition:0.0008,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.0,1.0,availability_abuse:0.8699,recon_scan:0.1281,dos_flood:0.3833,slow_dos:0.3277,mqtt_abuse:0.2326,availability_abuse,dos_flood,0.4837492878987515,slow_dos:0.3368 | mqtt_abuse:0.1794
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:1.0000,auth_control_repetition:0.0000,mqtt_abuse:0.9989,slow_dos:0.0011,benign:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
mqtt_abuse_17.csv,malicious,availability_abuse,dos_flood,0.00024128696785682537,0.9997587130321431,availability_abuse:0.9594,recon_scan:0.0392,dos_flood:0.3456,slow_dos:0.3246,mqtt_abuse:0.3021,availability_abuse,dos_flood,0.39300757162890465,slow_dos:0.3320 | mqtt_abuse:0.2750
mqtt_abuse_17.csv,malicious,availability_abuse,mqtt_abuse,0.0,1.0,availability_abuse:0.9992,auth_control_repetition:0.0008,mqtt_abuse:1.0000,benign:0.0000,bruteforce:0.0000,availability_abuse,mqtt_abuse,0.9997716259870782,slow_dos:0.0002 | dos_flood:0.0000
